system:index,landcover,19-1_swir2,19-2_swir2,20-1_swir2,20-2_swir2,21-1_swir2,21-2_swir2,22-1_swir2,22-2_swir2,23-1_swir2,23-2_swir2
00000000000000000148_0,0,0.0337,0.02975,0.0442,0.0411,0.0462,0.0319,0.0276,0.0245,0.0299,0.0377
00000000000000000455_0,0,0.1056,0.09365,0.106,0.0969,0.10915,0.0899,0.1157,0.096,0.1243,0.0884
000000000000000004a7_0,0,0.01485,0.01605,0.021,0.03615,0.0573,0.0092,0.0093,0.00845,0.0097,0.0064
000000000000000008aa_0,0,0.0669,0.0562999999999999,0.0657,0.05775,0.0687,0.0584,0.0679,0.0618,0.0609,0.05915
00000000000000000437_0,0,0.01375,0.00875,0.0073,0.0074,0.0109,0.0065,0.01015,0.0074,0.0101,0.0075
00000000000000000947_0,0,0.0626,0.0794,0.07745,0.0788,0.0777,0.0727,0.0749,0.0715,0.07,0.0706
0000000000000000046f_0,0,0.0984,0.0719,0.0937,0.0704,0.0488,0.0548,0.0739,0.0468,0.0568,0.0433
000000000000000000b2_0,0,0.0584,0.0114,0.0104,0.0196,0.0134,0.011,0.0204,0.0159,0.1138,0.1549
00000000000000000038_0,0,0.1205,0.10815,0.1122,0.0982,0.0876,0.0926,0.0916,0.1134,0.2614,0.107
00000000000000000a3f_0,0,0.0809,0.0694,0.0755,0.0659,0.0713,0.07175,0.08295,0.0745,0.0754,0.0705
000000000000000004a1_0,0,0.0731,0.0623,0.0605,0.1158,0.07865,0.0649,0.0653,0.0843,0.1014,0.0965
00000000000000000517_0,0,0.0683,0.11405,0.1131,0.0703,0.0833,0.09705,0.0495,0.0596,0.078,0.0343
000000000000000004e7_0,0,0.07165,0.0562,0.05815,0.06735,0.113,0.0481,0.0947,0.0385999999999999,0.0805,0.0455
0000000000000000049a_0,0,0.02785,0.0226,0.0262,0.0308,0.0311,0.0277,0.0296,0.0265,0.0368,0.0233
00000000000000000479_0,0,0.1326,0.0934,0.1264,0.1054,0.1929,0.08275,0.1371,0.0939,0.0922,0.145
00000000000000000029_0,0,0.1188,0.1176,0.1027999999999999,0.0907,0.065,0.0699,0.076,0.0999,0.1339,0.1177
000000000000000008b6_0,0,0.0787,0.06615,0.0718,0.0873,0.06505,0.06035,0.061,0.0534,0.08225,0.08025
00000000000000000032_0,0,0.087,0.0402,0.0502,0.05195,0.0189,0.0346,0.0258,0.0369,0.069,0.0353
00000000000000000033_0,0,0.0993,0.0846,0.0882,0.0829,0.083,0.0872,0.0905,0.1045,0.1002,0.0896
