system:index,blue_S2_1,green_S2_1,landcover_S2_1,nir_S2_1,red_S2_1,swir1_S2_1,swir2_S2_1,blue_S2_2,green_S2_2,landcover_S2_2,nir_S2_2,red_S2_2,swir1_S2_2,swir2_S2_2
000000000000000001dc_0,0.0546,0.06575,1,0.23595,0.04745,0.08165,0.0365,0.0255,0.0509,1,0.282,0.0312,0.076,0.0306
000000000000000000dd_0,0.0576,0.0763,1,0.113,0.0647,0.0553,0.0324,0.0524,0.0638,1,0.1521,0.0531,0.0909,0.0499
000000000000000001df_0,0.05955,0.07505,1,0.2121,0.0564,0.1118,0.0509,0.0455,0.0727,1,0.2633,0.0453,0.1273,0.0539
000000000000000001c7_0,0.0624,0.091,1,0.0448,0.0661,0.0129,0.0068,0.0637,0.0905,1,0.0455,0.07735,0.0149,0.011
0000000000000000020e_0,0.0689,0.0807,1,0.205,0.0712,0.1005,0.0627,0.044,0.05945,1,0.2201,0.0507,0.093,0.0517
000000000000000001cb_0,0.06935,0.08435,1,0.2283,0.0662,0.0871,0.0402,0.0357,0.0585,1,0.2486,0.0357,0.0779,0.0314
000000000000000001ed_0,0.0705,0.0958,1,0.08,0.0665,0.0214,0.0097,0.0575,0.0772,1,0.0862,0.0544,0.0227,0.0106
000000000000000001e0_0,0.0714,0.0999,1,0.0781,0.0654,0.0376,0.0185,0.0655,0.0924,1,0.0846,0.0648,0.0314,0.0236
00000000000000000028_0,0.0747,0.0899,1,0.1675,0.0908,0.1128,0.0818,0.0511,0.0708,1,0.0999,0.0484,0.0426,0.0227
00000000000000000207_0,0.0753,0.09745,1,0.2291,0.0834,0.10085,0.04325,0.0532,0.074,1,0.2064,0.0609,0.0595,0.0222
00000000000000000216_0,0.0753,0.0854,1,0.2759,0.0668,0.0967,0.0479,0.03805,0.06215,1,0.26935,0.0352,0.07805,0.03185
000000000000000001f5_0,0.07575,0.0932,1,0.11025,0.0792,0.08365,0.05805,0.0588,0.08045,1,0.0824,0.06255,0.05335,0.03875
00000000000000000210_0,0.0761,0.0991,1,0.1886,0.0755,0.0917,0.0534,0.04465,0.0679,1,0.2086,0.056,0.10235,0.06605
000000000000000001e2_0,0.0773,0.10965,1,0.30945,0.12475,0.2842,0.206,0.0702,0.1025,1,0.33375,0.1178,0.2861,0.20385
00000000000000000206_0,0.0774,0.1035,1,0.1279,0.1052,0.1274,0.0857,0.0919,0.1153,1,0.1134,0.1172,0.1082,0.0849
000000000000000001e1_0,0.0781,0.0913,1,0.2219,0.0754,0.1189,0.0626,0.0333,0.0571,1,0.1759,0.0324,0.053,0.0233
000000000000000000e4_0,0.0787,0.0878,1,0.1295,0.0657,0.0576,0.0315,0.0382,0.0591,1,0.1612,0.0383,0.043,0.0205
000000000000000000f6_0,0.0603,0.0764,0,0.0146,0.0366,0.0068,0.0056,0.0744,0.0898,0,0.04235,0.06015,0.02375,0.0189
000000000000000000d1_0,0.0582,0.0797,0,0.0162,0.0345,0.0095,0.0102,0.0679,0.0884,0,0.0222,0.04815,0.0145,0.01305
00000000000000000155_0,0.06965,0.09025,0,0.01775,0.05605,0.0129,0.00985,0.0609,0.0802,0,0.0116,0.0491,0.0079,0.0067
