system:index,blue_L8_1,green_L8_1,landcover_L8_1,nir_L8_1,red_L8_1,swir1_L8_1,swir2_L8_1,blue_S2_1,green_S2_1,landcover_S2_1,nir_S2_1,red_S2_1,swir1_S2_1,swir2_S2_1
00000000000000000114_0,0.17366,0.2308,0,0.30384,0.25432,0.3109,0.2693,0.14665,0.16975,0,0.1981,0.18295,0.2205,0.2064
00000000000000000115_0,0.12388,0.14468,0,0.31032,0.16324,0.41336,0.27308,0.0525,0.0797,0,0.273,0.0901,0.3081,0.1974
00000000000000000116_0,0.046,0.101,0,0.0349600000000001,0.0805600000000001,0.0164000000000001,0.01328,0.1195,0.1293,0,0.0942,0.116,0.0537,0.0432
00000000000000000117_0,0.04416,0.0762800000000001,0,0.43912,0.06176,0.20468,0.0884800000000001,0.0393,0.0487,0,0.341,0.0345,0.1592,0.0705
00000000000000000119_0,0.0755400000000001,0.10706,0,0.0722000000000001,0.0887000000000001,0.03824,0.02804,0.0581,0.0728,0,0.0258,0.0606,0.0107,0.0067
0000000000000000011b_0,0.1088,0.15532,0,0.2274,0.16668,0.19652,0.12204,0.1074,0.1298,0,0.15,0.1342,0.1175,0.0769
0000000000000000011c_0,0.0680000000000001,0.0988000000000001,0,0.38076,0.0948000000000001,0.24112,0.1218,0.0377,0.0519,0,0.3525,0.0454,0.1758,0.089
0000000000000000011e_0,0.0648400000000001,0.10324,0,0.38208,0.0944800000000001,0.26328,0.14368,0.07835,0.0899,0,0.3531,0.07595,0.23025,0.1279
00000000000000000120_0,0.17248,0.22744,0,0.3576,0.261,0.48168,0.38932,0.1191,0.1587,0,0.2861,0.1992,0.3817,0.3155
00000000000000000122_0,0.11748,0.16224,0,0.0886000000000001,0.15896,0.0506400000000001,0.0414000000000001,0.06425,0.09075,0,0.0251,0.0734,0.00755,0.0075
00000000000000000123_0,0.0786200000000001,0.10936,0,0.27468,0.1022,0.18982,0.11416,0.0921,0.1015,0,0.1724,0.0853,0.1169,0.0785
00000000000000000125_0,0.066,0.1219,0,0.24524,0.11954,0.18442,0.10514,0.09165,0.1141,0,0.1615,0.1046,0.1319,0.08265
00000000000000000126_0,0.0616200000000001,0.10008,0,0.35156,0.09536,0.25328,0.15028,0.0497,0.0714,0,0.2417,0.0627,0.2057,0.1306
00000000000000000127_0,0.07284,0.11674,0,0.38052,0.1265,0.33448,0.19808,0.0866,0.109,0,0.2543,0.1047,0.2292,0.1517
00000000000000000129_0,0.06926,0.1262,0,0.0444400000000001,0.07878,0.03714,0.0307000000000001,0.0956,0.1137,0,0.0455,0.0699,0.0305,0.02405
0000000000000000012a_0,0.13336,0.16908,0,0.23956,0.18024,0.22608,0.18612,0.1228,0.1594,0,0.20305,0.1855,0.2252,0.208
0000000000000000012b_0,0.0809200000000001,0.11244,0,0.34558,0.11376,0.29848,0.1888,0.07365,0.0919,0,0.24545,0.10085,0.30655,0.21305
0000000000000000012c_0,0.14984,0.19216,0,0.33416,0.21952,0.37108,0.30568,0.1219,0.1554,0,0.27215,0.18155,0.31525,0.2683
0000000000000000012e_0,0.0420400000000001,0.07672,0,0.3986,0.0496,0.19096,0.0873400000000001,0.0441,0.0714,0,0.3433,0.0373,0.1879,0.094
00000000000000000130_0,0.14796,0.17676,0,0.40916,0.17176,0.38424,0.2912,0.09225,0.1186,0,0.27545,0.12535,0.2567,0.20685
00000000000000000131_0,0.10812,0.16646,0,0.39126,0.18118,0.4028,0.30148,0.1014,0.1433,0,0.3327,0.1639,0.3405,0.2544
00000000000000000132_0,0.0920400000000001,0.12804,0,0.32936,0.11122,0.28504,0.1882,0.1,0.1106,0,0.2078,0.1059,0.2,0.1548
00000000000000000133_0,0.0980800000000001,0.13116,0,0.3476,0.11796,0.23616,0.15496,0.05065,0.07385,0,0.2194,0.06035,0.1909,0.124
00000000000000000134_0,0.07364,0.10338,0,0.22868,0.0867400000000001,0.18928,0.11528,0.08,0.0874,0,0.1273,0.0743,0.1132,0.0796
00000000000000000135_0,0.06134,0.0888800000000001,0,0.3127,0.0762600000000001,0.2391,0.1317,0.0587,0.0712,0,0.2271,0.0698,0.1962,0.1207
00000000000000000136_0,0.07536,0.12116,0,0.13436,0.11424,0.10928,0.10052,0.0961,0.1162,0,0.1675,0.1223,0.15025,0.12535
00000000000000000137_0,0.0754,0.1272,0,0.0485600000000001,0.10636,0.0147600000000001,0.00984,0.0927,0.124,0,0.072,0.1146,0.0217,0.01465
00000000000000000139_0,0.17156,0.21132,0,0.25192,0.2304,0.2526,0.21124,0.1661,0.20605,0,0.21655,0.239,0.22285,0.1847
0000000000000000013a_0,0.1832,0.23196,0,0.40912,0.24276,0.40092,0.3066,0.14765,0.1724,0,0.3233,0.1719,0.3289,0.29225
0000000000000000013d_0,0.14036,0.18052,0,0.29936,0.20196,0.30612,0.26916,0.1215,0.1366,0,0.1774,0.14,0.1993,0.2064
0000000000000000013e_0,0.11168,0.15648,0,0.28196,0.17284,0.27408,0.2168,0.1088,0.12285,0,0.1779,0.1299,0.18175,0.15815
0000000000000000013f_0,0.08212,0.12544,0,0.38968,0.13132,0.35068,0.21332,0.08415,0.11315,0,0.32555,0.08905,0.27985,0.1649
00000000000000000141_0,0.0564200000000001,0.0950200000000001,0,0.03428,0.0661200000000001,0.0296400000000001,0.0246400000000001,0.0946,0.1065,0,0.0804,0.0849,0.0719,0.0676
00000000000000000142_0,0.10048,0.15382,0,0.0767400000000001,0.11612,0.01234,0.00904,0.12395,0.15155,0,0.15475,0.1301,0.01865,0.01435
00000000000000000144_0,0.07006,0.13074,0,0.13736,0.12022,0.0968600000000001,0.0632000000000001,0.08165,0.10645,0,0.0712,0.083,0.0541,0.0417
00000000000000000146_0,0.1191,0.13946,0,0.31,0.13564,0.28516,0.183,0.061,0.0814,0,0.2304,0.08,0.258,0.1749
00000000000000000148_0,0.04432,0.0870600000000001,0,0.44598,0.0527200000000001,0.22498,0.104,0.02975,0.05325,0,0.2974,0.0336,0.1642,0.07955
00000000000000000149_0,0.10652,0.12392,0,0.13848,0.11536,0.09716,0.0691600000000001,0.09755,0.0976,0,0.0982,0.0891,0.072,0.0562
0000000000000000014b_0,0.10444,0.1302,0,0.2994,0.131,0.19524,0.13368,0.03745,0.0547,0,0.2187,0.0393,0.10665,0.0636
0000000000000000014d_0,0.0369,0.09454,0,0.01714,0.05238,0.0256400000000001,0.0243600000000001,0.0739,0.0837,0,0.0223,0.0501,0.0117,0.0084
0000000000000000014e_0,0.04606,0.0875000000000001,0,0.0153800000000001,0.0519200000000001,0.01938,0.01628,0.0809,0.0982,0,0.0594,0.0817,0.0232,0.0186
00000000000000000152_0,0.0504000000000001,0.11916,0,0.0121600000000001,0.0926000000000001,0.00724,0.0076,0.07405,0.10435,0,0.0195,0.0746,0.0139,0.0113
00000000000000000153_0,0.0514800000000001,0.0788800000000001,0,0.27902,0.0707600000000001,0.21676,0.122,0.04535,0.0607,0,0.21345,0.05535,0.17785,0.10855
00000000000000000154_0,0.113,0.14132,0,0.21156,0.14948,0.23348,0.21448,0.0998,0.11005,0,0.1466,0.11735,0.1648,0.16655
