system:index,blue_L8_1,green_L8_1,landcover_L8_1,nir_L8_1,red_L8_1,swir1_L8_1,swir2_L8_1,blue_L8_2,green_L8_2,landcover_L8_2,nir_L8_2,red_L8_2,swir1_L8_2,swir2_L8_2
000000000000000001e8_0,0.0522600000000001,0.08576,1,0.34772,0.0642400000000001,0.14098,0.06878,0.03018,0.0587800000000001,1,0.36444,0.03894,0.1272,0.0510400000000001
000000000000000001e9_0,0.1062,0.13172,1,0.1602,0.12584,0.11764,0.07824,0.1034,0.14796,1,0.21348,0.1324,0.1448,0.07636
000000000000000001ef_0,0.03232,0.0849200000000001,1,0.45404,0.0535000000000001,0.12488,0.04594,0.03186,0.08074,1,0.50852,0.0517,0.15378,0.0557000000000001
000000000000000001f2_0,0.021,0.0558400000000001,1,0.42676,0.03084,0.11228,0.0384800000000001,0.03182,0.0727200000000001,1,0.4463,0.0481200000000001,0.12922,0.05766
000000000000000001f3_0,0.0853,0.13038,1,0.1437,0.11564,0.0979000000000001,0.0549,0.07536,0.0989400000000001,1,0.14922,0.0961200000000001,0.11372,0.0609400000000001
000000000000000001f8_0,0.10392,0.1494,1,0.1776,0.14302,0.13778,0.08246,0.0889200000000001,0.129,1,0.2768,0.11404,0.15784,0.0864800000000001
000000000000000001f9_0,0.0374,0.0723200000000001,1,0.35526,0.0534000000000001,0.1186,0.0512000000000001,0.04446,0.0892800000000001,1,0.43934,0.06412,0.15328,0.0711600000000001
000000000000000001fa_0,0.05272,0.0989600000000001,1,0.30812,0.0882000000000001,0.2396,0.13728,0.0398000000000001,0.07468,1,0.3818,0.05776,0.15536,0.07364
000000000000000001fb_0,0.0567200000000001,0.09342,1,0.243,0.0730000000000001,0.1098,0.0512400000000001,0.0738800000000001,0.1134,1,0.31792,0.09612,0.16036,0.07268
000000000000000001fc_0,0.06168,0.107,1,0.33202,0.0844600000000001,0.14754,0.07794,0.0334,0.07096,1,0.44308,0.0370400000000001,0.193,0.0778800000000001
000000000000000001fe_0,0.09556,0.12598,1,0.2016,0.1175,0.0915200000000001,0.0493000000000001,0.06472,0.0991800000000001,1,0.2073,0.08974,0.0784000000000001,0.03776
00000000000000000202_0,0.0242000000000001,0.06608,1,0.33048,0.0369200000000001,0.10628,0.0449600000000001,0.04004,0.0741600000000001,1,0.30716,0.0571200000000001,0.1226,0.0686000000000001
00000000000000000205_0,0.0490800000000001,0.0840400000000001,1,0.2916,0.0733200000000001,0.11288,0.0577200000000001,0.03128,0.06304,1,0.35588,0.047,0.08996,0.0389200000000001
0000000000000000020a_0,0.0817600000000001,0.11768,1,0.26824,0.12008,0.187,0.10552,0.0842800000000001,0.1242,1,0.273,0.11776,0.17544,0.0922000000000001
0000000000000000020b_0,0.0315200000000001,0.06748,1,0.4218,0.0406,0.15296,0.0624400000000001,0.0386,0.09184,1,0.43588,0.0541200000000001,0.14328,0.051
0000000000000000020c_0,0.1459,0.22044,1,0.4346,0.2549,0.44678,0.3594,0.13788,0.19336,1,0.47632,0.21168,0.44628,0.29292
0000000000000000020d_0,0.0862000000000001,0.11992,1,0.22108,0.11344,0.16864,0.12196,0.08064,0.12518,1,0.3944,0.10806,0.2301,0.12476
00000000000000000215_0,0.0917000000000001,0.14552,1,0.19626,0.1427,0.20066,0.13136,0.0634200000000001,0.11594,1,0.15226,0.10744,0.12342,0.0808400000000001
00000000000000000217_0,0.0489800000000001,0.0878600000000001,1,0.38752,0.0645800000000001,0.13988,0.0679000000000001,0.0281,0.0588000000000001,1,0.41266,0.0359400000000001,0.12532,0.04736
00000000000000000219_0,0.0752,0.103,1,0.29528,0.0916000000000001,0.20196,0.12256,0.0562,0.0873200000000001,1,0.37748,0.0847200000000001,0.22376,0.11788
000000000000000001eb_0,0.0508400000000001,0.0950800000000001,1,0.28808,0.08396,0.13132,0.0658800000000001,0.04016,0.0798400000000001,1,0.30952,0.0688,0.14412,0.0625200000000001
000000000000000000d9_0,0.0611200000000001,0.0968000000000001,1,0.2342,0.0777200000000001,0.0929200000000001,0.04432,0.04556,0.0760000000000001,1,0.24872,0.0560800000000001,0.08568,0.037
00000000000000000200_0,0.0355200000000001,0.0803200000000001,1,0.27924,0.06264,0.08324,0.032,0.0357800000000001,0.07542,1,0.36352,0.0528,0.0921,0.03502
000000000000000001c5_0,0.0307000000000001,0.0504200000000001,1,0.25836,0.0393200000000001,0.0947400000000001,0.04704,0.0410000000000001,0.06396,1,0.26416,0.0532600000000001,0.11272,0.06074
000000000000000001c4_0,0.02296,0.06484,1,0.45176,0.0436800000000001,0.1167,0.04434,0.0110000000000001,0.0545600000000001,1,0.49944,0.0274800000000001,0.1228,0.03716
000000000000000001f1_0,0.0636000000000001,0.11,1,0.31332,0.0999200000000001,0.1438,0.07492,0.0561,0.11384,1,0.35792,0.0928000000000001,0.14432,0.0657600000000001
00000000000000000143_0,0.0775600000000001,0.11064,1,0.38136,0.0870800000000001,0.24108,0.13248,0.05892,0.0953200000000001,1,0.35572,0.0790000000000001,0.20524,0.11232
