system:index,blue_L8_1,green_L8_1,landcover_L8_1,nir_L8_1,red_L8_1,swir1_L8_1,swir2_L8_1
00000000000000000001_0,0.10688000000000000,0.17932000000000000,0,0.13964000000000000,0.18036000000000000,0.15612000000000000,0.10864000000000000
00000000000000000003_0,0.11468000000000000,0.14644000000000000,0,0.3487200000000000,0.16180000000000000,0.3496000000000000,0.22400000000000000
00000000000000000004_0,0.08832000000000010,0.15288000000000000,0,0.14016000000000000,0.17428000000000000,0.08272000000000010,0.06368000000000010
00000000000000000005_0,0.12584000000000000,0.17372000000000000,0,0.3323200000000000,0.2076800000000000,0.39632000000000000,0.34932
00000000000000000007_0,0.09342000000000010,0.14238000000000000,0,0.5588000000000000,0.11436000000000000,0.28388,0.16496000000000000
0000000000000000000a_0,0.09156000000000000,0.10932000000000000,0,0.04288000000000000,0.06564000000000000,0.019760000000000100,0.012680000000000000
0000000000000000000c_0,0.06232000000000000,0.10796000000000000,0,0.2610400000000000,0.09956000000000000,0.16184000000000000,0.09424000000000010
0000000000000000000d_0,0.05242000000000010,0.10590000000000000,0,0.027780000000000000,0.052240000000000000,0.026540000000000100,0.023060000000000100
0000000000000000000e_0,0.07504000000000010,0.10268000000000000,0,0.39788000000000000,0.11104000000000000,0.3402000000000000,0.20172000000000000
00000000000000000013_0,0.07052000000000000,0.11452000000000000,0,0.27876000000000000,0.10112000000000000,0.19956000000000000,0.11448000000000000
00000000000000000015_0,0.12106000000000000,0.16532000000000000,0,0.2761800000000000,0.17600000000000000,0.2818800000000000,0.20434000000000000
00000000000000000017_0,0.06954000000000010,0.10486000000000000,0,0.38986000000000000,0.08652000000000000,0.2858800000000000,0.14804000000000000
00000000000000000018_0,0.06584000000000010,0.09672000000000000,0,0.37588000000000000,0.09212000000000000,0.2568000000000000,0.13976000000000000
00000000000000000019_0,0.09592000000000010,0.16252000000000000,0,0.2788000000000000,0.17920000000000000,0.2386000000000000,0.12052000000000000
0000000000000000001a_0,0.11642000000000000,0.17096000000000000,0,0.07880000000000010,0.16622000000000000,0.023060000000000100,0.014920000000000000
0000000000000000001c_0,0.07592000000000000,0.10816000000000000,0,0.18348000000000000,0.10916000000000000,0.15476000000000000,0.11916000000000000
0000000000000000001e_0,0.07436000000000000,0.13704000000000000,0,0.022080000000000000,0.09372000000000000,0.019160000000000100,0.014680000000000000
0000000000000000001f_0,0.04084000000000000,0.07324000000000000,0,0.64768,0.036800000000000100,0.26700000000000000,0.09692000000000010
00000000000000000020_0,0.10148000000000000,0.13032000000000000,0,0.06404000000000000,0.12032000000000000,0.03776000000000010,0.029360000000000100
00000000000000000022_0,0.07652000000000000,0.09608000000000010,0,0.14148000000000000,0.07924000000000000,0.10116000000000000,0.056960000000000100
00000000000000000025_0,0.12912000000000000,0.15580000000000000,0,0.30184000000000000,0.15632000000000000,0.3360800000000000,0.22916000000000000
00000000000000000027_0,0.040240000000000100,0.08066000000000010,0,0.17360000000000000,0.06646000000000010,0.10952000000000000,0.06658000000000000
0000000000000000002a_0,0.06448000000000000,0.10654000000000000,0,0.40124000000000000,0.07676000000000010,0.21096000000000000,0.09972000000000010
0000000000000000002b_0,0.13264000000000000,0.19460000000000000,0,0.11020000000000000,0.19360000000000000,0.08556000000000000,0.07168000000000010
0000000000000000002c_0,0.05216000000000000,0.07436000000000000,0,0.4746400000000000,0.04956000000000010,0.2139600000000000,0.08620000000000010
0000000000000000002d_0,0.031080000000000100,0.10544000000000000,0,0.0034800000000000400,0.06848000000000000,0.00548000000000004,0.006640000000000040
0000000000000000002e_0,0.07996000000000000,0.15820000000000000,0,0.38020000000000000,0.15688000000000000,0.30472000000000000,0.17872000000000000
0000000000000000002f_0,0.052840000000000100,0.11076000000000000,0,0.048280000000000000,0.06340000000000010,0.050640000000000100,0.04256000000000000
00000000000000000030_0,0.05892000000000000,0.08392000000000010,0,0.31344000000000000,0.06652000000000010,0.2161800000000000,0.13202000000000000
00000000000000000033_0,0.06716000000000010,0.11220000000000000,0,0.12476000000000000,0.11364000000000000,0.14356000000000000,0.11188000000000000
00000000000000000034_0,0.10314000000000000,0.14614000000000000,0,0.4258400000000000,0.14386000000000000,0.33602000000000000,0.21772000000000000
00000000000000000035_0,0.11164000000000000,0.15046000000000000,0,0.18664000000000000,0.15348000000000000,0.13908000000000000,0.09560000000000010
00000000000000000036_0,0.14640000000000000,0.17236000000000000,0,0.3796800000000000,0.17960000000000000,0.3491600000000000,0.24154000000000000
00000000000000000037_0,0.17108000000000000,0.23644000000000000,0,0.3680400000000000,0.2645600000000000,0.4258000000000000,0.3240000000000000
00000000000000000038_0,0.11516000000000000,0.14232000000000000,0,0.3630800000000000,0.13980000000000000,0.31792000000000000,0.19496000000000000
00000000000000000039_0,0.08958000000000010,0.13776000000000000,0,0.26016000000000000,0.14068000000000000,0.18226000000000000,0.12268000000000000
0000000000000000003a_0,0.08352000000000000,0.12380000000000000,0,0.042240000000000100,0.08404000000000010,0.020240000000000000,0.012840000000000000
00000000000000000040_0,0.06382000000000000,0.09630000000000010,0,0.026060000000000100,0.056420000000000000,0.01674000000000010,0.012860000000000100
00000000000000000041_0,0.08640000000000000,0.11592000000000000,0,0.05020000000000000,0.08220000000000010,0.016640000000000000,0.011080000000000000
00000000000000000042_0,0.04738000000000000,0.08462000000000000,0,0.0,0.02760000000000000,0.006480000000000040,0.008280000000000040
00000000000000000043_0,0.15470000000000000,0.17848000000000000,0,0.4043800000000000,0.16176000000000000,0.36330000000000000,0.3133
00000000000000000044_0,0.03500000000000000,0.07612000000000010,0,0.0044000000000000700,0.022840000000000000,0.007000000000000060,0.007080000000000030
00000000000000000045_0,0.10460000000000000,0.14636000000000000,0,0.16204000000000000,0.14808000000000000,0.15436000000000000,0.09732000000000010
00000000000000000046_0,0.058560000000000100,0.09296000000000000,0,0.03160000000000010,0.05288000000000000,0.025400000000000000,0.019840000000000000
00000000000000000047_0,0.04034000000000000,0.08496000000000010,0,0.03128000000000000,0.06414000000000010,0.022460000000000100,0.017520000000000000
00000000000000000048_0,0.09672000000000000,0.13296000000000000,0,0.42592000000000000,0.11844000000000000,0.3158,0.18520000000000000
00000000000000000049_0,0.10840000000000000,0.15220000000000000,0,0.06332000000000000,0.13232000000000000,0.01940000000000000,0.011720000000000100
0000000000000000004a_0,0.09184000000000000,0.12900000000000000,0,0.3050000000000000,0.12788000000000000,0.24656000000000000,0.18032000000000000
0000000000000000004b_0,0.09276000000000010,0.13840000000000000,0,0.3988000000000000,0.12608000000000000,0.25112000000000000,0.15172000000000000
0000000000000000004d_0,0.05872000000000010,0.12716000000000000,0,0.0,0.09132000000000010,0.011320000000000100,0.012880000000000100
0000000000000000004e_0,0.09592000000000010,0.14604000000000000,0,0.2849000000000000,0.13958000000000000,0.20212000000000000,0.10332000000000000
00000000000000000050_0,0.09344000000000010,0.12536000000000000,0,0.20860000000000000,0.11664000000000000,0.19344000000000000,0.12648000000000000
00000000000000000052_0,0.07708000000000000,0.10908000000000000,0,0.05076000000000000,0.08600000000000010,0.018760000000000100,0.010240000000000000
