system:index,landcover,19-1_nir,19-2_nir,20-1_nir,20-2_nir,21-1_nir,21-2_nir,22-1_nir,22-2_nir,23-1_nir,23-2_nir
00000000000000000009_0,0,0.3049,0.3156,0.2877,0.3704,0.3314,0.3593,0.3249,0.35755,0.3177,0.3555
0000000000000000000d_0,0,0.27735,0.3698,0.29985,0.3647,0.3137,0.35555,0.3062,0.4369,0.2943,0.4435
00000000000000000011_0,0,0.0571,0.051,0.04625,0.054,0.0639,0.055,0.0344,0.0528,0.0652,0.0497
0000000000000000095a_0,0,0.20585,0.2674,0.1775,0.2779,0.1928,0.2804,0.23535,0.2904,0.2027,0.2762
0000000000000000095b_0,0,0.35305,0.30565,0.21235,0.3318,0.23275,0.3007,0.3472,0.3391,0.289,0.2957
0000000000000000009a_0,0,0.2307,0.2754,0.2407,0.2852,0.2649,0.3576,0.3405,0.3614,0.3157,0.38775
00000000000000000477_0,0,0.27845,0.274,0.2418,0.2627,0.2154,0.33015,0.2688,0.2643,0.3409,0.2449
00000000000000000882_0,0,0.3218,0.37875,0.3492,0.41415,0.32855,0.4254,0.372,0.4176,0.3368,0.4308
00000000000000000060_0,0,0.37835,0.3884,0.3349,0.4367,0.382,0.4446,0.4635,0.5172,0.2354,0.20745
0000000000000000095c_0,0,0.2409,0.3131,0.26505,0.26735,0.2514,0.297,0.3175,0.3023,0.2715,0.2932
000000000000000004c9_0,0,0.3482,0.344,0.3091,0.3354,0.2657,0.33445,0.312,0.3397,0.3272,0.3287
00000000000000000914_0,0,0.2433,0.2767,0.2187,0.2659,0.209,0.2095,0.2346,0.2185,0.2132,0.2251
0000000000000000015f_0,0,0.4107,0.2912,0.3179,0.3661,0.27285,0.3828,0.3211,0.35555,0.3264,0.2456
000000000000000001e3_0,0,0.0763,0.0512,0.0409,0.0619,0.053,0.0512,0.0903,0.0416,0.0841,0.0465
00000000000000000941_0,0,0.301,0.3336,0.3167,0.3288999999999999,0.2955,0.3233,0.28865,0.34315,0.285,0.3137
00000000000000000010_0,0,0.3323,0.3555,0.3402,0.3305,0.3392,0.393,0.3588,0.37015,0.3489,0.41935
00000000000000000063_0,0,0.3481,0.31655,0.2675,0.2898,0.2275,0.2966,0.2344,0.3019,0.2378,0.2257
000000000000000008f2_0,0,0.2932,0.3407,0.3525,0.3641,0.3401,0.35195,0.3045,0.27545,0.26685,0.3056999999999999
00000000000000000859_0,0,0.31085,0.34755,0.2907,0.4488,0.25745,0.3316,0.3012,0.3624,0.3277,0.3037
00000000000000000000_0,0,0.0919,0.0308,0.0245,0.0301,0.0373,0.02355,0.1282,0.03815,0.0754,0.0629
0000000000000000045d_0,0,0.35515,0.3351,0.2894,0.3832,0.2554,0.4063,0.3271,0.4864,0.3339,0.3979
00000000000000000435_0,0,0.4883,0.46265,0.376,0.4021,0.37745,0.386,0.35455,0.3687,0.3259,0.55235
00000000000000000039_0,0,0.0245,0.0263,0.0246,0.0247,0.0405,0.01855,0.026,0.0293,0.0353,0.0317
00000000000000000456_0,0,0.3178,0.3394,0.2918,0.2747499999999999,0.3054,0.3158,0.2964,0.3603,0.3581,0.3473
00000000000000000917_0,0,0.3235,0.3621,0.30135,0.3518,0.28375,0.3519,0.3546,0.376,0.3193,0.3609
00000000000000000064_0,0,0.2221,0.0748,0.0549,0.175,0.0576,0.09855,0.0662,0.07575,0.1331,0.1623
00000000000000000188_0,0,0.29145,0.28525,0.2452,0.3186,0.25075,0.34855,0.2378,0.3298,0.2541,0.3206
0000000000000000084e_0,0,0.2682,0.3555,0.2529,0.3397,0.2489,0.3164,0.2768,0.3582,0.27445,0.3128
00000000000000000253_0,0,0.5048,0.5118,0.5017,0.5851000000000001,0.4063,0.37715,0.3912,0.4348,0.4286,0.3221
00000000000000000058_0,0,0.4286,0.4175,0.3242,0.38465,0.30155,0.3927,0.3701,0.4363,0.3124,0.3222
000000000000000000f5_0,0,0.2682,0.2368499999999999,0.1132,0.1527,0.2021,0.159,0.1161,0.1955,0.1768,0.0988
0000000000000000017e_0,0,0.2855499999999999,0.3141,0.348,0.3076,0.22415,0.3494,0.2163,0.35855,0.271,0.2505
000000000000000004a0_0,0,0.14305,0.169,0.1548,0.2321,0.1366,0.2321,0.1284,0.24845,0.1861,0.1698
00000000000000000061_0,0,0.4061,0.388,0.341,0.4372,0.31615,0.4084,0.2922,0.3981,0.3096,0.2572
000000000000000004c5_0,0,0.2776,0.33875,0.3321,0.3179,0.26895,0.3417,0.2462,0.2694,0.30305,0.25475
000000000000000005da_0,0,0.31505,0.3643,0.3186,0.331,0.4072,0.3939,0.2144,0.3678,0.3056,0.5192
00000000000000000a54_0,0,0.29485,0.3236,0.28025,0.373,0.2856,0.3195,0.28575,0.37415,0.30765,0.35645
0000000000000000008f_0,0,0.308,0.2201,0.2925,0.34475,0.1966,0.3842,0.2598,0.4354,0.297,0.31165
00000000000000000838_0,0,0.05515,0.0193,0.0186,0.0721,0.0157,0.0148,0.0175,0.01585,0.0526,0.0113
0000000000000000000a_0,0,0.31345,0.3337,0.3248,0.34715,0.3292,0.3731,0.3001,0.35035,0.32685,0.354
000000000000000008e0_0,0,0.31965,0.36715,0.28155,0.3218,0.2982,0.3329,0.2505,0.34795,0.3163,0.305
000000000000000000a5_0,0,0.24255,0.2723,0.219,0.2648,0.2143,0.30355,0.21705,0.2905,0.2301,0.2651
0000000000000000095d_0,0,0.0878,0.13155,0.077,0.0965,0.06785,0.0779,0.0787,0.0817,0.03705,0.0773
0000000000000000095e_0,0,0.01005,0.0247,0.01915,0.0183,0.0193,0.011,0.0379,0.0098,0.00805,0.01205
0000000000000000044e_0,0,0.3806,0.349,0.3233,0.3165,0.2658,0.3163,0.29975,0.3062,0.2716,0.2448
0000000000000000044f_0,0,0.2124,0.2595,0.2057999999999999,0.26155,0.19035,0.2357,0.24395,0.3891,0.2666,0.3005
00000000000000000108_0,0,0.3691,0.2923,0.2783,0.2988,0.25265,0.296,0.2329,0.3188,0.3285,0.2986
000000000000000004a8_0,0,0.2232,0.20915,0.0964,0.0467,0.0453,0.1898,0.3352,0.17165,0.2284,0.1688
00000000000000000015_0,0,0.289,0.2997,0.2512,0.27895,0.2444,0.316,0.2737,0.3844,0.3077499999999999,0.334
000000000000000008ef_0,0,0.3207,0.3412,0.341,0.3233,0.2732,0.4037,0.3325,0.3718,0.3696,0.3281
00000000000000000078_0,0,0.4017,0.3586,0.2955,0.355,0.2865,0.4099,0.35135,0.38915,0.3237,0.3563
000000000000000000b6_0,0,0.3616,0.3373,0.3054,0.3156,0.196,0.3225,0.2368,0.4183,0.2698,0.2921
000000000000000008a9_0,0,0.28265,0.4276,0.3446,0.3523,0.2988,0.3778,0.3319,0.3682,0.3127,0.38205
000000000000000004ee_0,0,0.3813,0.33485,0.2647,0.0812,0.0989,0.13015,0.1437,0.1091,0.1367,0.0607
000000000000000008bb_0,0,0.28525,0.2898,0.3321,0.3567,0.279,0.2966,0.2942,0.3387,0.287,0.3016
00000000000000000861_0,0,0.18995,0.2435,0.21145,0.2469,0.1767,0.2685,0.2427,0.28615,0.1994,0.296
0000000000000000001c_0,0,0.31435,0.3551,0.3587,0.39155,0.31305,0.3558,0.3212,0.3904,0.42345,0.4341
0000000000000000008a_0,0,0.0636,0.0814,0.0464,0.0587,0.1325,0.0576,0.0525,0.0658,0.09075,0.04555
00000000000000000885_0,0,0.35075,0.3262,0.16685,0.2493,0.16775,0.2507,0.18145,0.2097,0.1586,0.2575
00000000000000000831_0,0,0.2537,0.3085,0.2665,0.32115,0.228,0.3229,0.2432,0.1787,0.2848,0.2692
0000000000000000046a_0,0,0.3414,0.379,0.34045,0.4513,0.3226,0.3513,0.30825,0.4698,0.39965,0.4551
000000000000000004c0_0,0,0.3497,0.2628,0.2149,0.3022,0.27065,0.3998,0.3266,0.3849,0.33985,0.31955
0000000000000000053b_0,0,0.1833,0.20615,0.159,0.224,0.1703,0.21705,0.1972,0.2068,0.2559,0.2249
000000000000000008b9_0,0,0.0831,0.0175,0.0033,0.0382499999999999,0.0146,0.01155,0.0155,0.0243,0.057,0.0092
000000000000000000bd_0,0,0.3909,0.4168,0.3351,0.3873,0.2859,0.3725,0.3043,0.4036,0.301,0.3483
00000000000000000830_0,0,0.3351,0.2909,0.2674,0.2694,0.2535,0.3174,0.2583,0.3271,0.2485,0.2623
0000000000000000094a_0,0,0.3369,0.3888,0.36735,0.3705,0.3407,0.3959,0.398,0.4127,0.38105,0.5015000000000001
00000000000000000462_0,0,0.1448,0.1693,0.1882,0.2395,0.16,0.2231,0.1992,0.2669,0.2319,0.1833
000000000000000004b2_0,0,0.0569,0.03415,0.0348,0.0346,0.0313,0.0611,0.059,0.04205,0.0677,0.0273
000000000000000000ac_0,0,0.38625,0.4084,0.3127,0.39475,0.28465,0.44325,0.3556,0.4606,0.36605,0.386
000000000000000000db_0,0,0.1164,0.09145,0.0574,0.1066,0.1185,0.09035,0.0586,0.0679,0.1235,0.107
00000000000000000051_0,0,0.32165,0.40945,0.33085,0.4597,0.327,0.4848,0.3542,0.49995,0.38575,0.4602
00000000000000000001_0,0,0.3123,0.3787,0.24765,0.3138,0.2826,0.4334,0.36,0.38995,0.35745,0.33895
00000000000000000087_0,0,0.32115,0.226,0.3105,0.37155,0.33135,0.3385,0.2824,0.3799,0.3251,0.3147
0000000000000000009e_0,0,0.2688,0.2557,0.2488,0.2546,0.1737,0.19745,0.195,0.2602,0.1892,0.2613
000000000000000004d3_0,0,0.4504,0.3678,0.4184,0.2669,0.3581,0.35645,0.4052,0.34825,0.3331,0.3476
00000000000000000004_0,0,0.0348,0.0135,0.0321,0.0207,0.05295,0.0275,0.0183,0.1027,0.0885,0.08215
00000000000000000451_0,0,0.2616,0.3286,0.2644,0.4358,0.3677,0.44325,0.372,0.4878,0.389,0.4288
00000000000000000887_0,0,0.1459,0.07345,0.05855,0.0558,0.051,0.05165,0.0624,0.0504,0.0513999999999999,0.0691
00000000000000000007_0,0,0.0704,0.0316,0.0359,0.0229,0.0376,0.025,0.1336,0.0329,0.03235,0.02665
000000000000000000a4_0,0,0.3155,0.3125,0.2152,0.191,0.3207,0.30045,0.3995,0.3486999999999999,0.3475,0.3341
0000000000000000095f_0,0,0.2944,0.3706,0.2848,0.3398,0.2459,0.30705,0.2651,0.3097,0.3029,0.2281
00000000000000000008_0,0,0.1214,0.03135,0.03875,0.01735,0.0372,0.03005,0.1366,0.0205,0.03245,0.0254
00000000000000000013_0,0,0.0539,0.0445,0.0383,0.0745,0.0772,0.05355,0.0777,0.0474,0.0607,0.0651
00000000000000000066_0,0,0.3706,0.2893,0.30275,0.28435,0.25645,0.3293,0.3223,0.29775,0.3654,0.1847
00000000000000000238_0,0,0.0364,0.0513999999999999,0.0532,0.047,0.051,0.051,0.0588,0.0654,0.1027,0.0274
00000000000000000465_0,0,0.2948,0.2995,0.268,0.3481,0.2901,0.3009,0.263,0.3125,0.31565,0.27
