system:index,landcover,19-1_nir,19-2_nir,20-1_nir,20-2_nir,21-1_nir,21-2_nir,22-1_nir,22-2_nir,23-1_nir,23-2_nir
00000000000000000a3a_0,0,0.1955,0.2302,0.215,0.31295,0.3113,0.44025,0.4063,0.4718,0.45555,0.4819
0000000000000000029c_0,0,0.05065,0.0185,0.0077,0.05675,0.0105,0.0157,0.0266,0.0254,0.0435,0.0092
000000000000000000d6_0,0,0.25645,0.2727,0.2395499999999999,0.2495,0.1876,0.1443,0.2876,0.19915,0.39235,0.239
000000000000000000e0_0,0,0.152,0.13205,0.1911,0.1591,0.1481,0.1838,0.2087,0.40125,0.3996,0.3993
0000000000000000045a_0,0,0.3734,0.3934,0.3668,0.3861,0.3643,0.4368,0.3738,0.4323,0.392,0.3927
00000000000000000513_0,0,0.1662,0.2009,0.1783,0.1924,0.1694,0.1921999999999999,0.14795,0.2084,0.1592,0.25475
00000000000000000125_0,0,0.2469,0.20175,0.29425,0.3826,0.3517,0.31295,0.1841,0.341,0.24165,0.3325
0000000000000000017b_0,0,0.2688,0.26975,0.2391,0.3649,0.2359,0.3168,0.2322,0.3117,0.2289,0.2932
0000000000000000018d_0,0,0.0125,0.015,0.0033,0.0134,0.0104,0.0109,0.0117,0.0071,0.0413,0.0059
00000000000000000485_0,0,0.3017,0.3787,0.3611,0.37025,0.32115,0.361,0.3045,0.3573,0.2901,0.3742
000000000000000004ec_0,0,0.2087,0.1538,0.15345,0.1639,0.1435,0.18755,0.1959,0.1621,0.2118,0.1693
0000000000000000007f_0,0,0.0399,0.0227,0.0287,0.0366,0.03695,0.0284,0.0263,0.0499,0.0401,0.0117
00000000000000000559_0,0,0.2747,0.27285,0.2873,0.3032,0.2677,0.3624,0.3296,0.4432,0.3911,0.3262
0000000000000000009b_0,0,0.4594,0.1531,0.11765,0.1885,0.2534,0.1421,0.1217,0.0928,0.1044,0.17675
00000000000000000189_0,0,0.02175,0.021,0.0187,0.0272,0.0139,0.0859,0.0324,0.0284,0.0424,0.0296
0000000000000000062e_0,0,0.1056,0.0754,0.0609,0.09465,0.062,0.07385,0.0482,0.0435,0.0434,0.0538
0000000000000000046e_0,0,0.0434,0.0378,0.0375,0.0267,0.11385,0.06455,0.02665,0.0438,0.05085,0.0412
00000000000000000160_0,0,0.2871,0.2444,0.4226,0.2059,0.3101,0.22505,0.32585,0.2791,0.339,0.15745
0000000000000000006b_0,0,0.018,0.0119,0.0242,0.01365,0.0236,0.0133,0.0157,0.015,0.01415,0.0187
000000000000000000ba_0,0,0.0799,0.074,0.0722,0.0721,0.0905,0.0881,0.0976,0.1283,0.1335,0.09
000000000000000000f7_0,0,0.213,0.2479,0.23145,0.3036,0.2301,0.2675,0.2369,0.2379,0.2351,0.29375
0000000000000000007a_0,0,0.3099,0.3184,0.31355,0.3638,0.36415,0.36115,0.32495,0.3213,0.314,0.2829
00000000000000000022_0,0,0.3778,0.36785,0.285,0.37155,0.34745,0.3807,0.326,0.4457,0.3502,0.3883
0000000000000000053c_0,0,0.0864,0.0811,0.0724,0.0748,0.07915,0.0804,0.0579,0.0761,0.0889,0.0829
0000000000000000056d_0,0,0.1291,0.1421,0.13075,0.19355,0.2,0.24265,0.2327,0.2993,0.2003,0.2261
00000000000000000103_0,0,0.10135,0.05155,0.04755,0.0588,0.09765,0.18495,0.02515,0.04015,0.05665,0.0837
0000000000000000020c_0,0,0.25165,0.2735,0.2791,0.2712,0.2519,0.30315,0.2416,0.2979,0.2686,0.323
00000000000000000a3c_0,0,0.28695,0.255,0.2176,0.3049,0.20665,0.3245,0.2738,0.39705,0.28675,0.3041
00000000000000000a4e_0,0,0.4087,0.2614,0.262,0.24145,0.3719,0.1897,0.36965,0.2334999999999999,0.2562,0.1978
00000000000000000530_0,0,0.2504,0.30105,0.2992,0.3241,0.2698,0.3267,0.2681,0.30705,0.3483,0.2314
0000000000000000059e_0,0,0.0721,0.0467,0.0445,0.0799,0.1034,0.0563,0.0601,0.0611,0.1091,0.0566
000000000000000004ba_0,0,0.0911,0.0831,0.10835,0.0884,0.06765,0.1436,0.1398,0.1401,0.1261499999999999,0.0537
00000000000000000520_0,0,0.2201,0.2759,0.2386,0.249,0.232,0.2943,0.2658,0.3875,0.3154,0.3206
00000000000000000568_0,0,0.3426,0.20425,0.3233,0.178,0.2676,0.2195,0.297,0.1935,0.3706,0.1786
00000000000000000031_0,0,0.3727,0.3429,0.30405,0.33375,0.25575,0.2936999999999999,0.255,0.3379,0.2472,0.31075
0000000000000000058b_0,0,0.2588,0.2406,0.2289,0.2511,0.1896499999999999,0.2759,0.2223,0.26475,0.26615,0.1477
00000000000000000572_0,0,0.04245,0.0297,0.04775,0.0227,0.0669,0.0202,0.0888,0.0808,0.0503,0.0536
0000000000000000054b_0,0,0.2816,0.2741,0.28095,0.28465,0.3093,0.3308,0.28645,0.3377,0.2804999999999999,0.25775
0000000000000000051e_0,0,0.01485,0.0168,0.0101,0.0129,0.0114,0.0157,0.0177,0.01605,0.0126,0.022
00000000000000000971_0,0,0.2603,0.2599,0.206,0.2701,0.2328,0.2204,0.2062,0.26895,0.22165,0.2764
000000000000000004fa_0,0,0.344,0.2689,0.3244,0.3762,0.3117,0.2824,0.33825,0.3852,0.4031,0.3178
0000000000000000020a_0,0,0.07175,0.0441,0.0347,0.052,0.1003,0.0525,0.0389,0.06605,0.0802,0.0438
00000000000000000240_0,0,0.02715,0.0358,0.0159,0.0256,0.0248,0.0232,0.0255,0.03035,0.0353,0.0227
0000000000000000022e_0,0,0.06165,0.015,0.0088,0.0432,0.0133,0.0194,0.0023,0.04395,0.0412,0.0153
0000000000000000051c_0,0,0.2813,0.3245,0.2563,0.32405,0.3025,0.3486,0.2894,0.4251,0.34615,0.3381
000000000000000000e7_0,0,0.0853,0.089,0.0959,0.1077,0.13605,0.1237,0.0871,0.0607,0.0539,0.0441
000000000000000000ef_0,0,0.04185,0.016,0.0132,0.0518,0.0153,0.0134,0.0189,0.01455,0.0512,0.0189
000000000000000001d1_0,0,0.3676,0.30435,0.2825,0.3275,0.2378,0.3467,0.2393,0.32405,0.33845,0.2301
00000000000000000068_0,0,0.2868,0.2907,0.26355,0.28,0.2441,0.33,0.2777,0.33765,0.27335,0.27165
000000000000000000dd_0,0,0.4279,0.4971,0.4122,0.4544,0.3448,0.4105,0.38615,0.342,0.2919,0.39225
00000000000000000184_0,0,0.34165,0.3232,0.2688,0.2689,0.24635,0.2354,0.2974,0.2333,0.2424,0.2193999999999999
00000000000000000254_0,0,0.01965,0.0212499999999999,0.0155,0.0237,0.0144,0.0161,0.02,0.02315,0.0238,0.0154
000000000000000004d8_0,0,0.2796,0.3186,0.26535,0.30875,0.2408,0.337,0.2958,0.3546,0.35875,0.2979
000000000000000008ca_0,0,0.4143,0.3779,0.2813,0.3109,0.24365,0.3344,0.29235,0.36565,0.2848,0.29925
00000000000000000526_0,0,0.11995,0.1465,0.12145,0.0938,0.13835,0.1288,0.148,0.14145,0.1498499999999999,0.16015
0000000000000000055d_0,0,0.273,0.208,0.18815,0.1729,0.18295,0.2633999999999999,0.2716,0.2787,0.205,0.2491
000000000000000008f0_0,0,0.0246,0.0138,0.0258,0.02315,0.02195,0.0168,0.0815,0.01035,0.0304,0.0071
000000000000000004b0_0,0,0.089,0.0821,0.08955,0.0663499999999999,0.0863,0.0866,0.0799,0.086,0.0931,0.0603
00000000000000000130_0,0,0.3506,0.3336,0.2728,0.3455,0.25575,0.37675,0.3345,0.3885,0.3091,0.3129
0000000000000000017f_0,0,0.40735,0.3153,0.2867,0.3802,0.3087499999999999,0.3981,0.3689,0.3755,0.3668,0.3414
00000000000000000630_0,0,0.0268,0.01925,0.0195,0.0193,0.0186,0.01355,0.016,0.024,0.0466,0.0129
00000000000000000972_0,0,0.2978,0.36415,0.32885,0.34655,0.2911,0.3428,0.3067,0.3406,0.30095,0.3093
00000000000000000a18_0,0,0.023,0.0299,0.0162,0.0222,0.01745,0.02155,0.0443,0.0185,0.02655,0.022
00000000000000000490_0,0,0.3805,0.39045,0.3077,0.3838,0.3272,0.3404,0.333,0.3992,0.3684999999999999,0.35855
0000000000000000001a_0,0,0.3735,0.3863,0.3399,0.389,0.33055,0.3405,0.33615,0.4375,0.3717,0.36305
000000000000000005d2_0,0,0.0276,0.01325,0.0221,0.02265,0.03585,0.0241,0.0237,0.0142,0.028,0.0139
000000000000000008e9_0,0,0.1084,0.03895,0.0134,0.0169,0.08465,0.0124,0.14105,0.05315,0.12385,0.0384
00000000000000000516_0,0,0.3152,0.3756,0.2372,0.3062,0.2694,0.36225,0.33415,0.383,0.3299,0.4325
00000000000000000561_0,0,0.3926,0.33045,0.30035,0.33,0.2991,0.3814,0.2932,0.36355,0.4366400000000001,0.2877
000000000000000008d3_0,0,0.04195,0.03775,0.0208,0.02915,0.02275,0.0218,0.0291,0.0261,0.0233,0.0275
0000000000000000049d_0,0,0.3588,0.3433,0.34115,0.3312,0.2602,0.3436,0.349,0.3681,0.3482,0.3178
0000000000000000084d_0,0,0.0779,0.0982,0.10585,0.0778,0.0777,0.0794,0.14,0.0723,0.0794,0.09025
000000000000000004ad_0,0,0.2854,0.332,0.33505,0.4098,0.3192,0.3364,0.3386,0.3651,0.3046999999999999,0.4
00000000000000000074_0,0,0.39205,0.36135,0.3659,0.3823,0.28305,0.3964,0.35585,0.3862,0.3482,0.3963
00000000000000000114_0,0,0.2422,0.2475,0.2117,0.3396,0.2553,0.32765,0.3528,0.41125,0.26555,0.35675
00000000000000000518_0,0,0.404,0.3586,0.367,0.4049,0.2999,0.3718,0.3332,0.3362,0.2772,0.2901
0000000000000000059a_0,0,0.1562,0.1856,0.17105,0.1343,0.1905,0.1357,0.1663,0.2053,0.1884,0.20545
000000000000000008c3_0,0,0.4031,0.34385,0.31755,0.3645,0.3243,0.3003,0.4269,0.3882,0.3824,0.3828
000000000000000005d5_0,0,0.41245,0.3213,0.3799,0.2998,0.2773,0.2849,0.3774,0.25765,0.33595,0.2167
000000000000000004fd_0,0,0.2638,0.2744499999999999,0.28535,0.27415,0.2488,0.3051,0.31785,0.2981,0.3011,0.294
00000000000000000904_0,0,0.2197,0.2949,0.2271,0.2729,0.1937,0.2099,0.2187,0.26935,0.2241,0.27575
00000000000000000115_0,0,0.26875,0.3139,0.3262,0.35225,0.3076,0.32655,0.3069,0.27585,0.2873,0.3634
0000000000000000018c_0,0,0.034,0.022,0.0259,0.0163,0.0335,0.021,0.0485499999999999,0.0486,0.0393,0.01705
00000000000000000233_0,0,0.0559,0.0444,0.0623,0.06,0.0575,0.04775,0.0354,0.0386,0.0779,0.0835
00000000000000000584_0,0,0.181,0.1851,0.1538,0.1962,0.13815,0.17335,0.1328,0.1399,0.1807,0.1971
000000000000000000c4_0,0,0.371,0.37415,0.3026,0.3728,0.3155,0.40785,0.2817,0.3722,0.24,0.33
000000000000000004a6_0,0,0.3681,0.2486,0.2501,0.3589,0.2515,0.3179,0.2602,0.3516,0.3241,0.294
0000000000000000057d_0,0,0.2663999999999999,0.3088,0.2632,0.28635,0.2631,0.2451,0.3448,0.2566,0.2419,0.27785
00000000000000000173_0,0,0.16945,0.19095,0.1607,0.2255,0.1669999999999999,0.2048,0.1748,0.231,0.202,0.1913
00000000000000000550_0,0,0.05545,0.0778,0.03895,0.0714,0.0717,0.1095,0.0571,0.064875,0.0364,0.1537
0000000000000000083d_0,0,0.0992,0.06235,0.07685,0.074,0.0993,0.11075,0.0643,0.0612,0.0977,0.0727
00000000000000000896_0,0,0.32235,0.36985,0.2482,0.37875,0.3316,0.36885,0.3249,0.3535,0.3395,0.3111
000000000000000001b9_0,0,0.00995,0.0163,0.00885,0.0174,0.0151,0.0114,0.0122,0.01355,0.0543,0.0058
00000000000000000023_0,0,0.3482,0.3103,0.33965,0.3326,0.2815,0.32875,0.3439,0.3712,0.3937,0.3166
00000000000000000170_0,0,0.26765,0.3086,0.2318,0.3983,0.30615,0.3404,0.22805,0.16795,0.2895,0.3362
00000000000000000491_0,0,0.3198,0.32965,0.29915,0.29545,0.2647,0.3104,0.28835,0.31515,0.2834,0.3215
000000000000000006c8_0,0,0.0547,0.02,0.0151,0.0596,0.0135,0.0122,0.0255,0.04035,0.0785,0.0086
00000000000000000889_0,0,0.1664,0.1671,0.19135,0.2309,0.2316,0.2165,0.2287,0.2358,0.159,0.20465
0000000000000000007d_0,0,0.3525,0.3813,0.2202,0.4022,0.40255,0.3747,0.2992,0.38285,0.28545,0.3219
00000000000000000118_0,0,0.2568,0.25875,0.2745,0.29655,0.2798,0.2973,0.27485,0.3017,0.2479,0.28415
0000000000000000011b_0,0,0.22495,0.21175,0.1958,0.227,0.2162,0.2292,0.20905,0.2603,0.2206,0.2863
000000000000000001b8_0,0,0.12095,0.1533,0.1542,0.1751,0.1723,0.17615,0.1993,0.183,0.18805,0.2447
000000000000000005c7_0,0,0.0207,0.02825,0.0677,0.0342,0.02745,0.03985,0.0109,0.03185,0.0662,0.0653
00000000000000000888_0,0,0.0368,0.0192,0.0095,0.0222,0.0139,0.01435,0.0209,0.02,0.0526,0.0128
00000000000000000357_0,0,0.0071,0.016,0.004,0.0322,0.0143,0.0108,0.0092,0.0124,0.0392,0.0116
0000000000000000048e_0,0,0.15625,0.1402,0.1674,0.1415,0.11155,0.1054,0.1024,0.08815,0.0994,0.1044
0000000000000000002b_0,0,0.3606,0.3406,0.3069,0.3522,0.328,0.3439,0.3372,0.3412,0.3615,0.3005
000000000000000005b2_0,0,0.0259,0.03045,0.01945,0.03585,0.02325,0.0161,0.0138,0.0119,0.03855,0.0128
000000000000000008b4_0,0,0.2927,0.30675,0.3147,0.29545,0.2904,0.2893,0.3033,0.3207,0.3111,0.3128
00000000000000000973_0,0,0.286,0.3106,0.28395,0.3395,0.2966,0.32375,0.3175,0.3568,0.3119,0.3738
00000000000000000595_0,0,0.3118,0.37065,0.2331,0.2748,0.2278,0.31155,0.3293,0.24595,0.5746,0.14
00000000000000000227_0,0,0.11195,0.0368,0.08505,0.0739,0.1455,0.0345,0.0309,0.0348,0.0541,0.1545
0000000000000000050d_0,0,0.1758,0.1913,0.19,0.24385,0.2029,0.2297,0.20405,0.27975,0.20825,0.2628
000000000000000008c0_0,0,0.2378,0.3144,0.2503,0.2502,0.1862,0.2305,0.2147,0.2795,0.23155,0.2509
000000000000000004ef_0,0,0.09535,0.0489,0.0589,0.0511,0.05915,0.0423,0.0345,0.04465,0.0587,0.02785
000000000000000008a8_0,0,0.2625,0.24645,0.1954,0.2649,0.174,0.28005,0.2185,0.3395,0.2434,0.3012
00000000000000000945_0,0,0.17925,0.19815,0.17595,0.1478,0.13905,0.1603,0.1433,0.17075,0.17465,0.1443
00000000000000000317_0,0,0.1385,0.1883,0.2027,0.1749,0.1331999999999999,0.1597,0.18345,0.1565,0.1558,0.0689
0000000000000000067e_0,0,0.0167,0.01895,0.0134,0.0284,0.0149,0.0093,0.0181,0.0273,0.031,0.0172
00000000000000000231_0,0,0.15635,0.1616,0.1401,0.1902,0.1604,0.1935,0.18535,0.1901499999999999,0.2338,0.2046
000000000000000008e3_0,0,0.1598,0.2276,0.1874,0.1947,0.1626,0.2415,0.2759,0.2099,0.2221,0.265
00000000000000000504_0,0,0.5132,0.381,0.4139,0.4466,0.338,0.382,0.388,0.3951,0.4075,0.339
00000000000000000951_0,0,0.2285,0.2521,0.2427,0.29375,0.2444,0.3162,0.3101,0.3314,0.4209,0.316
0000000000000000058f_0,0,0.3658,0.4329,0.3285,0.46285,0.2693,0.392,0.3432,0.4541,0.37485,0.4162
000000000000000000fc_0,0,0.3319,0.378,0.2863,0.3784,0.3326,0.36775,0.3067,0.43645,0.33675,0.414
0000000000000000026a_0,0,0.06675,0.0395999999999999,0.04415,0.0538,0.0299,0.0532,0.0276,0.0525,0.0731,0.0296
0000000000000000065a_0,0,0.0231,0.0331,0.0177,0.042,0.0258,0.03265,0.0189,0.0377,0.0545,0.0816
00000000000000000a17_0,0,0.067,0.023,0.0146,0.04235,0.0134,0.0135,0.022,0.0211,0.0489,0.0102
0000000000000000006a_0,0,0.09755,0.1156,0.0796,0.0982,0.1061,0.0885,0.09515,0.0984,0.1124,0.1415
000000000000000001ce_0,0,0.3392,0.2841,0.3113,0.2449,0.30605,0.3105,0.3518,0.2563,0.377,0.2818
000000000000000004d6_0,0,0.2843,0.2954,0.2108,0.33585,0.2475,0.3599,0.26085,0.076,0.0757,0.0867
00000000000000000690_0,0,0.0193,0.0193,0.0158,0.0608,0.015,0.0178,0.0241,0.0366,0.0795,0.0095
00000000000000000153_0,0,0.2888,0.2708,0.3409,0.3099,0.2591,0.31565,0.2341,0.3315,0.3502,0.3172
00000000000000000161_0,0,0.30605,0.2941,0.3385,0.2955,0.22885,0.35425,0.3481,0.3424,0.3264,0.3209
0000000000000000021b_0,0,0.03925,0.0457,0.0215,0.0367,0.0458,0.0437,0.0244,0.0684,0.0558,0.0567
00000000000000000243_0,0,0.1871,0.16315,0.1647,0.1735,0.1732,0.18005,0.1767,0.184,0.1932,0.17785
00000000000000000251_0,0,0.0181,0.02175,0.0163,0.034,0.0157,0.0197,0.0239,0.038,0.0799,0.0094
0000000000000000064b_0,0,0.02065,0.02895,0.0219,0.0327,0.0222,0.0183,0.0136,0.021,0.0286,0.0406
000000000000000008cc_0,0,0.1952,0.1749,0.2063,0.1813,0.192,0.203,0.191,0.1972,0.2113,0.1652
000000000000000004bb_0,0,0.3079,0.30145,0.28565,0.28685,0.2877,0.2949,0.2825499999999999,0.3308,0.3582,0.3232
00000000000000000624_0,0,0.089,0.0199,0.0117,0.02005,0.01525,0.0131,0.0204,0.02405,0.0544,0.0099
00000000000000000631_0,0,0.0234,0.02255,0.0126,0.0201,0.0157,0.0175,0.0202,0.0157,0.054,0.0149
00000000000000000974_0,0,0.2909,0.2578,0.2794,0.34505,0.2401,0.3584,0.27275,0.2925,0.25345,0.2908
00000000000000000975_0,0,0.39235,0.3892,0.2698,0.3954,0.3344,0.33715,0.3949,0.4327499999999999,0.3551,0.33935
00000000000000000617_0,0,0.21605,0.217,0.18045,0.2124,0.16465,0.2238,0.2106,0.2553,0.24025,0.257
0000000000000000012d_0,0,0.22215,0.2477,0.22615,0.278,0.2246,0.2737,0.2497,0.30215,0.2426,0.3128
0000000000000000052b_0,0,0.23435,0.2286,0.2366,0.212,0.2151,0.32,0.2724999999999999,0.2286,0.272,0.1758
00000000000000000579_0,0,0.1314,0.13565,0.14075,0.1377,0.171,0.1338,0.1635,0.1389,0.144,0.09295
00000000000000000186_0,0,0.2131,0.26025,0.29615,0.2381,0.3251,0.21195,0.25135,0.1657,0.22505,0.2743
00000000000000000187_0,0,0.19975,0.3488,0.1679,0.44855,0.1847,0.23725,0.2109,0.2108,0.2098,0.2068
00000000000000000898_0,0,0.3041,0.2867,0.1936,0.1988,0.1974,0.27935,0.23805,0.22585,0.175,0.1562
0000000000000000017c_0,0,0.3844,0.404,0.38605,0.39425,0.3237,0.2857,0.322,0.3931,0.3212,0.339
0000000000000000013c_0,0,0.3026,0.3038,0.2712,0.37105,0.29735,0.34955,0.3427,0.3327,0.3327,0.3348
00000000000000000911_0,0,0.23895,0.3163,0.2304,0.1894,0.1742,0.2399,0.1379,0.1634,0.1008,0.192
00000000000000000093_0,0,0.3553,0.3997499999999999,0.2743,0.4019,0.251,0.3528,0.25245,0.4039,0.28695,0.3344
000000000000000001fb_0,0,0.0248,0.0209,0.0086,0.0208,0.0134,0.0137,0.0218,0.0217,0.0526,0.016
0000000000000000024b_0,0,0.1009,0.11075,0.0819,0.08005,0.0725,0.08395,0.1076,0.08045,0.0956,0.1082
000000000000000004b3_0,0,0.091,0.0733,0.0675,0.045,0.04505,0.081,0.1511,0.0823,0.06585,0.0427
000000000000000001ff_0,0,0.0487,0.0429,0.01825,0.0294,0.0206,0.01765,0.0151,0.0336,0.04065,0.0261
00000000000000000129_0,0,0.26105,0.39145,0.3114,0.3566,0.3069,0.35525,0.276,0.3799,0.24995,0.24565
0000000000000000056f_0,0,0.2581,0.2445,0.2314,0.2854,0.2519,0.4269,0.20785,0.32945,0.3744,0.2723
00000000000000000883_0,0,0.09015,0.03835,0.08985,0.0373,0.0479,0.0338,0.034,0.0251,0.0173,0.0286
00000000000000000245_0,0,0.37265,0.3588,0.2468,0.3293,0.2202,0.29075,0.181,0.3335,0.3348,0.3284
00000000000000000863_0,0,0.25915,0.3037,0.2732,0.29825,0.2218,0.29025,0.2405,0.2511,0.2415,0.25545
00000000000000000162_0,0,0.2464,0.3327,0.2366,0.3604,0.2248,0.36005,0.2766,0.4541,0.2671,0.3592
0000000000000000004b_0,0,0.2992,0.3035,0.28025,0.3621,0.27495,0.3471,0.2108,0.2103,0.2262,0.2191
000000000000000005c0_0,0,0.26525,0.3017,0.1782,0.2987,0.2583,0.364,0.2301,0.406,0.2236,0.1437
00000000000000000683_0,0,0.0179,0.024,0.0175,0.03495,0.0147,0.0243,0.01855,0.0462,0.048,0.0212
00000000000000000932_0,0,0.09355,0.0282,0.0124,0.0307,0.0559,0.01065,0.0671,0.0566,0.0156,0.0123
00000000000000000557_0,0,0.02855,0.0101,0.02505,0.0079,0.0211,0.0116,0.0431,0.0189,0.0281,0.00905
0000000000000000060e_0,0,0.3965,0.20615,0.2476,0.2726,0.2956499999999999,0.2524,0.2383,0.1758,0.29925,0.1459
00000000000000000a39_0,0,0.2291,0.27705,0.20265,0.27555,0.2046,0.2552,0.2649,0.2635,0.2282,0.2173
00000000000000000155_0,0,0.0277,0.0146,0.01865,0.017,0.0146,0.0144,0.02,0.0241,0.02,0.0188
00000000000000000548_0,0,0.3598,0.3387,0.2613499999999999,0.3279,0.26485,0.35615,0.2494,0.3419,0.299,0.3409
000000000000000000bb_0,0,0.2225,0.2086,0.1686,0.2118,0.17275,0.1895,0.1758,0.1923,0.19115,0.19295
00000000000000000133_0,0,0.3285,0.33025,0.3326,0.3752,0.3282,0.4181,0.319,0.39035,0.3464,0.3507
0000000000000000052f_0,0,0.33425,0.2925,0.2941,0.3319,0.29805,0.3577,0.2889,0.37295,0.2954,0.37945
00000000000000000860_0,0,0.0984,0.0312,0.0225,0.02835,0.0431,0.0131,0.0587,0.0216,0.0127,0.01385
0000000000000000016b_0,0,0.2133,0.25475,0.2324,0.3162,0.2271,0.2787,0.2397,0.3075,0.2289,0.2502
000000000000000001ee_0,0,0.4652,0.54095,0.4702,0.4605,0.41855,0.41265,0.2716,0.4379,0.3831,0.5750000000000001
0000000000000000065b_0,0,0.0539,0.025,0.019,0.0482,0.01735,0.0192,0.0222,0.0161,0.064,0.0174
0000000000000000052a_0,0,0.0437,0.0282,0.03065,0.0746,0.1062,0.1154,0.078,0.0899,0.05395,0.0235
000000000000000008a4_0,0,0.247,0.24265,0.2162,0.2509,0.23185,0.2548,0.2744,0.3116,0.2565,0.3449
000000000000000001a9_0,0,0.28945,0.3171,0.2804,0.31475,0.275,0.3141,0.2475,0.3037,0.2907,0.2609
00000000000000000280_0,0,0.2923,0.2892,0.2678,0.29185,0.2577,0.29735,0.2424,0.3117999999999999,0.2767,0.3274
00000000000000000288_0,0,0.04825,0.02745,0.0063,0.0639,0.0201,0.03165,0.0135,0.0268,0.0507,0.0101
00000000000000000544_0,0,0.0486,0.0327,0.0422,0.0572,0.0278,0.0292,0.0263,0.0366999999999999,0.0378,0.0268
00000000000000000847_0,0,0.2516,0.35305,0.2376,0.23495,0.2629,0.2275,0.1864,0.2306,0.2236,0.2458
000000000000000004f9_0,0,0.2317,0.2616,0.21795,0.2227,0.21295,0.24465,0.2351,0.25355,0.2105,0.2235
0000000000000000055e_0,0,0.12405,0.12445,0.09555,0.1348,0.105,0.0994,0.0958,0.1477,0.0784,0.16625
00000000000000000605_0,0,0.2331,0.21505,0.261,0.2764,0.2526,0.34565,0.2451,0.2619,0.2463,0.1873
000000000000000001b4_0,0,0.373,0.29405,0.28965,0.31995,0.27635,0.3074,0.2329,0.28825,0.26255,0.26265
00000000000000000545_0,0,0.1872,0.2635,0.20845,0.3123,0.2497,0.3313,0.27835,0.2743,0.27535,0.28605
00000000000000000248_0,0,0.02525,0.02335,0.0253,0.023,0.017,0.018,0.0319,0.0372,0.0415,0.0127
00000000000000000845_0,0,0.2787,0.3761,0.3775,0.3115,0.224,0.35745,0.258,0.2903,0.2024,0.2955
00000000000000000059_0,0,0.4308,0.4093,0.34555,0.3905,0.3092,0.4194,0.3492,0.4211,0.4107,0.3301
00000000000000000a1e_0,0,0.0183,0.02135,0.0224,0.02105,0.01675,0.0211,0.03125,0.0204,0.0168,0.0187
00000000000000000563_0,0,0.4006,0.308,0.31525,0.2994,0.2532,0.351,0.3117499999999999,0.3707,0.2996,0.3132
000000000000000000ca_0,0,0.3436,0.3416,0.2701,0.3421,0.2554,0.3375,0.3055,0.33545,0.3178,0.30385
00000000000000000537_0,0,0.3128,0.3392,0.3008,0.3516,0.318,0.30415,0.2699,0.32295,0.3367,0.3516
00000000000000000571_0,0,0.2971,0.2448,0.3036999999999999,0.29015,0.19835,0.2706,0.2449,0.3199,0.2524,0.26015
00000000000000000668_0,0,0.0135,0.0193,0.01105,0.05195,0.0133,0.011,0.0196,0.0228,0.0551,0.0162
00000000000000000976_0,0,0.01565,0.01825,0.0121,0.01905,0.0119,0.01185,0.0089,0.019,0.0212,0.0121
00000000000000000a1a_0,0,0.0143,0.0276,0.0163,0.03205,0.017,0.0361,0.0316,0.014,0.0173,0.0159
00000000000000000a44_0,0,0.2308,0.2727,0.2256,0.1583,0.1368,0.16425,0.19995,0.1797,0.19555,0.1799
00000000000000000a2e_0,0,0.1152,0.1321,0.1084,0.1577,0.11945,0.14155,0.1544,0.1852,0.1315,0.176
0000000000000000025f_0,0,0.3584,0.3068,0.4029,0.3036,0.23085,0.3129,0.2863,0.4062,0.3317,0.2295
0000000000000000053e_0,0,0.06755,0.0616,0.0948,0.0669,0.07035,0.0585,0.0507,0.0472,0.0657,0.0582
000000000000000005ac_0,0,0.33925,0.32075,0.2953,0.32565,0.26985,0.3145,0.2713,0.357,0.3038,0.2968
000000000000000004d9_0,0,0.1644,0.1667,0.15105,0.1403,0.1189,0.2134,0.20835,0.195,0.1862,0.1188
00000000000000000567_0,0,0.335,0.2206,0.2752,0.2646,0.2044,0.32425,0.2448,0.30375,0.2825,0.2403
000000000000000005cd_0,0,0.2743,0.2694999999999999,0.2703,0.2792,0.2501,0.32125,0.1481,0.2958,0.3092,0.289
000000000000000000d7_0,0,0.0225,0.01245,0.01455,0.012,0.01615,0.01,0.0153,0.0123,0.0418,0.01
00000000000000000211_0,0,0.38015,0.31705,0.2303,0.4035,0.2663999999999999,0.34815,0.286,0.3469,0.3065,0.3319
00000000000000000687_0,0,0.3163,0.34935,0.2146,0.29435,0.20785,0.3436,0.1652,0.3822,0.4073,0.2542
000000000000000001a1_0,0,0.0167,0.0178,0.0166,0.0325,0.0102,0.02295,0.0227,0.0245,0.0543,0.0114
00000000000000000471_0,0,0.05455,0.1226,0.0538,0.0356,0.04705,0.03865,0.06795,0.0479,0.04195,0.0263
0000000000000000053f_0,0,0.32695,0.31345,0.27395,0.35065,0.1743,0.2785,0.16595,0.3081,0.2112,0.1627
00000000000000000977_0,0,0.26,0.3116,0.2254,0.3355,0.2956,0.2024,0.17335,0.2049,0.18675,0.1683
00000000000000000978_0,0,0.0417,0.0242,0.0228,0.0321,0.02895,0.0228,0.0264,0.0414,0.0513999999999999,0.0301
00000000000000000a2f_0,0,0.0946,0.1058,0.1094,0.049,0.0422,0.0342,0.0418,0.0488,0.1126,0.04795
00000000000000000109_0,0,0.2789,0.2832,0.2778,0.283,0.27485,0.3195,0.29335,0.3019,0.3113,0.2982
