system:index,landcover,19-1_blue,19-2_blue,20-1_blue,20-2_blue,21-1_blue,21-2_blue,22-1_blue,22-2_blue,23-1_blue,23-2_blue
00000000000000000518_0,0,0.0428,0.051,0.0585,0.0484,0.0562,0.0485,0.0569,0.0512,0.0467,0.0586
0000000000000000059a_0,0,0.0486,0.0588,0.05855,0.06145,0.0571,0.06315,0.0759,0.0646,0.0773,0.03625
000000000000000008c3_0,0,0.0355,0.0341,0.0586,0.0349,0.0436,0.0386,0.1798,0.1446,0.1942,0.0961
000000000000000005d5_0,0,0.04915,0.0521,0.0586,0.0671,0.0625,0.07135,0.0599,0.05715,0.0602,0.0606
000000000000000004fd_0,0,0.0506,0.0407,0.05865,0.0455,0.05585,0.0441,0.05185,0.0386,0.0436,0.053
00000000000000000904_0,0,0.055,0.0428,0.0587,0.0656,0.1149,0.0993,0.1027,0.1036499999999999,0.0856,0.09125
00000000000000000115_0,0,0.0464,0.0452,0.05875,0.0388,0.0467,0.0336,0.0336,0.0277,0.03495,0.0251
0000000000000000018c_0,0,0.07225,0.0664,0.0588,0.0695,0.0619,0.0636,0.0518,0.0878,0.0791,0.0697
00000000000000000233_0,0,0.0773,0.0711,0.0588,0.0692,0.0533,0.0717,0.0424,0.05725,0.1089,0.064
00000000000000000584_0,0,0.0492,0.05475,0.0588,0.0589,0.05225,0.05815,0.0526,0.0553,0.0838,0.0564
000000000000000000c4_0,0,0.0558,0.0453,0.05885,0.0425,0.04505,0.04035,0.0724,0.05305,0.0575,0.0337
000000000000000004a6_0,0,0.0409,0.0292,0.0589,0.039,0.0516,0.0305,0.031,0.0275,0.0403,0.0278
0000000000000000057d_0,0,0.0575,0.0463,0.0589,0.05685,0.0588,0.0522,0.0395,0.0575,0.0509,0.04105
00000000000000000173_0,0,0.0648,0.0534,0.0589,0.0561,0.0654,0.0705,0.0582,0.0519,0.0462,0.0468
00000000000000000550_0,0,0.05955,0.0601,0.0589,0.0688,0.07025,0.0638,0.04545,0.043675,0.0358,0.05625
0000000000000000083d_0,0,0.06695,0.0571,0.05895,0.0536,0.07,0.06775,0.05625,0.0745,0.0766,0.0673
00000000000000000896_0,0,0.03555,0.031,0.05895,0.0353,0.0397,0.03895,0.03365,0.0278,0.0443,0.038
000000000000000001b9_0,0,0.05335,0.07635,0.059,0.0728,0.055,0.058,0.0494,0.06915,0.1039,0.0597
00000000000000000023_0,0,0.0385,0.0373,0.05905,0.0324,0.0492,0.0292499999999999,0.02955,0.0331,0.0352,0.043
00000000000000000170_0,0,0.06315,0.0513,0.0591,0.0447,0.05875,0.0558,0.08475,0.0569,0.0462,0.0393
00000000000000000491_0,0,0.0556,0.04655,0.0591,0.03675,0.0499,0.0353,0.05815,0.0594,0.0546,0.0433
000000000000000006c8_0,0,0.09525,0.0633,0.0591,0.1078,0.0654,0.0631,0.0694,0.0777,0.1119,0.0589
00000000000000000889_0,0,0.0544,0.0463,0.05915,0.0478,0.0488,0.0528,0.0461,0.0448,0.0381,0.047
0000000000000000007d_0,0,0.0542,0.0404,0.0592,0.0378,0.0717,0.0417,0.0767,0.05405,0.06475,0.0483
00000000000000000118_0,0,0.061,0.04795,0.0592,0.0451,0.06215,0.03815,0.06075,0.0416,0.04275,0.04585
0000000000000000011b_0,0,0.05215,0.04575,0.05925,0.0496,0.05745,0.0408,0.0498,0.0481,0.05855,0.03815
000000000000000001b8_0,0,0.0575,0.063,0.0593,0.0621,0.05785,0.0446,0.0425,0.0438,0.0712,0.0362
000000000000000005c7_0,0,0.0665999999999999,0.06765,0.0593,0.0654,0.0518,0.06165,0.0531,0.0654,0.1092,0.065
00000000000000000888_0,0,0.068,0.0673,0.0593,0.0775,0.0707,0.0549,0.0706,0.0775,0.1008,0.0679
00000000000000000357_0,0,0.0656,0.07185,0.0594,0.1098,0.08835,0.0656,0.0678,0.096,0.1193,0.0688
0000000000000000048e_0,0,0.0451,0.0369,0.05945,0.0336,0.0437,0.0392,0.0464,0.03485,0.0393,0.0444
0000000000000000002b_0,0,0.0407,0.0325,0.0595,0.0382,0.0434,0.0296,0.0317,0.0434,0.0363,0.0476
000000000000000005b2_0,0,0.0646,0.05805,0.0595,0.06315,0.0599,0.049,0.06,0.0439,0.0841,0.0518
000000000000000008b4_0,0,0.0444,0.04595,0.0595,0.051,0.0447,0.05255,0.047,0.0511,0.0568,0.04
00000000000000000973_0,0,0.06185,0.071,0.05955,0.0715,0.06135,0.08985,0.0928,0.0803,0.0737,0.0636
00000000000000000595_0,0,0.0582,0.045,0.0596,0.0643,0.0613,0.04685,0.055,0.0605,0.07884,0.0521
00000000000000000227_0,0,0.0806,0.0763,0.0598,0.0772,0.0722,0.0676,0.0704,0.0771,0.1087,0.058
0000000000000000050d_0,0,0.0521,0.0396,0.0598,0.04395,0.0534,0.0491,0.0368,0.0209,0.0396,0.034
000000000000000008c0_0,0,0.1217,0.0377,0.0598,0.0431,0.07085,0.0234,0.02925,0.0274,0.02535,0.0292
000000000000000004ef_0,0,0.05865,0.0368,0.0599,0.0398,0.04995,0.0354,0.0393,0.03155,0.04645,0.0216
000000000000000008a8_0,0,0.0624,0.06045,0.0599,0.055,0.0511,0.0464,0.0561,0.0334,0.0563,0.0363
00000000000000000945_0,0,0.0502,0.04885,0.05995,0.0504,0.0599,0.0486,0.0498,0.04425,0.0484,0.0314
00000000000000000317_0,0,0.0681,0.0728,0.06,0.1003,0.0753,0.08195,0.0932,0.0909,0.0783,0.0468
0000000000000000067e_0,0,0.0687,0.0729,0.06,0.0883,0.0627,0.0605,0.0625,0.0844,0.0825,0.0667
00000000000000000231_0,0,0.07175,0.0787,0.06005,0.0715,0.0664,0.0929,0.0944,0.0968,0.1164,0.0632
000000000000000008e3_0,0,0.0886,0.06315,0.06005,0.0529,0.065,0.0404,0.0676,0.0447,0.0476,0.0443
00000000000000000504_0,0,0.0449,0.04235,0.0601,0.04355,0.0597,0.0471,0.0507,0.041,0.0462,0.0518
00000000000000000951_0,0,0.0403,0.0563,0.0601,0.05215,0.0496,0.0503,0.0412,0.0366999999999999,0.0503,0.029
0000000000000000058f_0,0,0.0361,0.0341,0.0601499999999999,0.077,0.0433,0.0331,0.0167,0.0179,0.01525,0.0193
000000000000000000fc_0,0,0.0392,0.0452,0.0602,0.0566,0.037,0.03715,0.04295,0.03505,0.03415,0.0192
0000000000000000026a_0,0,0.0914,0.07835,0.0602,0.0893,0.0711,0.0808,0.0747,0.09045,0.1027999999999999,0.059
0000000000000000065a_0,0,0.0582,0.0854999999999999,0.0602,0.0776,0.0683,0.0678,0.0669,0.0762,0.0977,0.0627
00000000000000000a17_0,0,0.0701,0.0716,0.0603,0.0744,0.05605,0.05905,0.067,0.0479,0.0876,0.0553
0000000000000000006a_0,0,0.0421,0.04175,0.06035,0.0427,0.0492,0.0443,0.05635,0.0453,0.0565,0.04745
000000000000000001ce_0,0,0.0637,0.0665999999999999,0.06035,0.0692,0.07045,0.0551,0.0587,0.0608,0.04975,0.0593
000000000000000004d6_0,0,0.0427,0.03605,0.06035,0.0421,0.05385,0.0409,0.06605,0.0992,0.0769,0.0614
00000000000000000690_0,0,0.0791,0.0659,0.0604,0.1164,0.06725,0.0629,0.0702,0.0794,0.1128,0.0626
00000000000000000153_0,0,0.0429,0.044,0.0605,0.054,0.0615,0.0434,0.042,0.0466,0.0458,0.0419999999999999
00000000000000000161_0,0,0.0431,0.0358,0.0605,0.0597,0.05675,0.053,0.05315,0.0398,0.0484,0.082
0000000000000000021b_0,0,0.0642,0.0757,0.0605,0.0724,0.0736,0.068,0.0603,0.06865,0.074,0.07725
00000000000000000243_0,0,0.0644,0.0533,0.0605,0.0592,0.0588,0.05745,0.0615,0.0501,0.0503,0.0592
00000000000000000251_0,0,0.082,0.0681,0.0605,0.086,0.0672,0.06765,0.0706,0.0803,0.1127,0.0645
0000000000000000064b_0,0,0.0708,0.0735,0.0605,0.0772,0.0631,0.0619,0.0515,0.0657,0.0783,0.0719
000000000000000008cc_0,0,0.07605,0.0782,0.0605,0.059,0.0563,0.0589,0.0654,0.0526,0.059,0.0525
000000000000000004bb_0,0,0.04865,0.03985,0.06055,0.0361,0.0477,0.0397,0.03605,0.0433,0.0636,0.0519
00000000000000000624_0,0,0.102,0.0697,0.0606,0.074,0.069,0.0667,0.0698,0.07195,0.0953,0.0632
00000000000000000631_0,0,0.0536,0.07245,0.0606,0.0764,0.0577,0.0656,0.0624,0.0729,0.0964,0.0571
00000000000000000974_0,0,0.0427,0.0443,0.0606,0.04095,0.04975,0.05145,0.07935,0.0756,0.07005,0.083
00000000000000000975_0,0,0.0584,0.0389,0.0606,0.04075,0.02825,0.0322,0.0243,0.02965,0.0227,0.01135
00000000000000000617_0,0,0.04825,0.0481,0.06065,0.0793,0.0674,0.05565,0.0462,0.04365,0.0663499999999999,0.0403
0000000000000000012d_0,0,0.05635,0.0451,0.0607,0.06035,0.0559,0.047,0.05405,0.0335499999999999,0.0524,0.0474
0000000000000000052b_0,0,0.05125,0.0441,0.06075,0.0436,0.05125,0.0396,0.05345,0.0395,0.0478,0.05
00000000000000000579_0,0,0.0703,0.0566,0.0608,0.058,0.0652,0.0412,0.0578,0.04505,0.0488,0.0476
00000000000000000186_0,0,0.05365,0.0481,0.0609,0.0415,0.051,0.04855,0.04915,0.0497,0.0475,0.0484
00000000000000000187_0,0,0.0667,0.0546,0.0609,0.0472,0.0711,0.0537,0.05795,0.15075,0.1241,0.1246
00000000000000000898_0,0,0.056,0.0469,0.0609,0.0596,0.0651,0.0488,0.05765,0.04205,0.0672,0.0683
0000000000000000017c_0,0,0.0498,0.0389,0.06095,0.0447,0.0496,0.0407,0.04395,0.0416,0.0465,0.0404
0000000000000000013c_0,0,0.04775,0.06515,0.061,0.04385,0.0406,0.0321,0.0434,0.0412,0.0427,0.02815
00000000000000000911_0,0,0.088,0.0585,0.061,0.0761,0.075,0.0727,0.05625,0.0472,0.03795,0.0577
00000000000000000093_0,0,0.0586,0.03695,0.06105,0.0385,0.06055,0.0395999999999999,0.06005,0.0428,0.08,0.047
000000000000000001fb_0,0,0.07045,0.0737,0.0611,0.077,0.0559,0.07055,0.0803,0.0774,0.1042,0.0698
0000000000000000024b_0,0,0.0751,0.0868,0.0611,0.0788,0.0645,0.0822,0.0878,0.0926,0.1036,0.074
000000000000000004b3_0,0,0.0648,0.0536,0.0611,0.04235,0.0463,0.0431,0.0714,0.05215,0.04135,0.0486
000000000000000001ff_0,0,0.087,0.0729,0.06115,0.0804,0.062,0.05805,0.0611,0.07165,0.0828,0.0639
00000000000000000129_0,0,0.06745,0.0395999999999999,0.0612,0.0462,0.0604,0.04495,0.05755,0.04495,0.06495,0.05635
0000000000000000056f_0,0,0.0557,0.06555,0.0612,0.0467,0.0677,0.0524,0.07035,0.05215,0.0445,0.0523
00000000000000000883_0,0,0.0907999999999999,0.05565,0.0612,0.0473,0.0431,0.0413,0.0522,0.04415,0.0469,0.0508
00000000000000000245_0,0,0.0508,0.04445,0.0613,0.0754,0.0647,0.04725,0.0679,0.1143,0.1077,0.0507
00000000000000000863_0,0,0.0735,0.0566,0.0613,0.04565,0.0639,0.05695,0.05365,0.0784,0.0836,0.07675
00000000000000000162_0,0,0.055,0.0462,0.06145,0.0558,0.06205,0.04455,0.04895,0.0331,0.0488,0.04005
0000000000000000004b_0,0,0.0197,0.0302,0.0615,0.0283,0.027,0.021,0.0145,0.0357,0.03295,0.0223
000000000000000005c0_0,0,0.0676,0.0601,0.0615,0.0856,0.0813,0.0473,0.0587,0.0513,0.0548,0.0611
00000000000000000683_0,0,0.06315,0.072,0.0615,0.0821,0.06495,0.07015,0.071,0.08185,0.095,0.0485
00000000000000000932_0,0,0.13535,0.0846,0.0615,0.0808,0.10925,0.06385,0.0804,0.0824,0.0529,0.077
00000000000000000557_0,0,0.0692,0.0542,0.0616,0.0547,0.05885,0.0583,0.06655,0.07,0.0678,0.0562
0000000000000000060e_0,0,0.0636,0.0553,0.0616,0.0773,0.07455,0.0513,0.0577,0.0688,0.0581,0.0588
00000000000000000a39_0,0,0.0609,0.06035,0.0616,0.0665999999999999,0.0609,0.0706,0.0907,0.0733,0.075,0.056
00000000000000000155_0,0,0.0667,0.0584,0.0616499999999999,0.0591,0.0549,0.0494,0.0701,0.06495,0.0632,0.0699
00000000000000000548_0,0,0.0381,0.0489,0.0616499999999999,0.05165,0.04455,0.04145,0.0357,0.034,0.0588,0.0256999999999999
000000000000000000bb_0,0,0.0715,0.057,0.0617,0.0412,0.04735,0.053,0.076,0.062,0.061,0.07235
00000000000000000133_0,0,0.0477,0.05735,0.0617,0.0523,0.0456,0.0436,0.047,0.04285,0.0474,0.0415
0000000000000000052f_0,0,0.04255,0.0505,0.0617,0.0483,0.0722,0.05715,0.0641,0.06095,0.0925,0.06255
00000000000000000860_0,0,0.1363,0.0756,0.06175,0.0814,0.09795,0.06745,0.0811,0.0732,0.0442,0.0714
0000000000000000016b_0,0,0.0594,0.0546,0.0618,0.0561,0.0577,0.0526,0.0615,0.044,0.0551,0.0542
000000000000000001ee_0,0,0.0451,0.04215,0.0618,0.0433,0.0432,0.0471,0.07655,0.0425,0.0668,0.0476
0000000000000000065b_0,0,0.0964,0.0653499999999999,0.0618,0.0852,0.0476,0.0493,0.061,0.064,0.10285,0.0673
0000000000000000052a_0,0,0.0794499999999999,0.0484,0.0618,0.0469,0.0552,0.0532,0.0437,0.0568,0.06085,0.0329
000000000000000008a4_0,0,0.0541,0.04025,0.06185,0.0513999999999999,0.0548,0.0433,0.0427,0.02265,0.0425,0.0285
000000000000000001a9_0,0,0.05535,0.05715,0.0619,0.0569,0.0702,0.0517,0.0594,0.0592,0.0608,0.0597
00000000000000000280_0,0,0.0635,0.0747,0.0619,0.07145,0.0658,0.0656,0.0599,0.08975,0.1087,0.0801
00000000000000000288_0,0,0.0894,0.07245,0.0619,0.0931,0.0721,0.07895,0.05975,0.0727,0.0965,0.0638
00000000000000000544_0,0,0.05405,0.0586,0.0619,0.0518,0.0459,0.0317,0.0382,0.0454,0.0373,0.0479
00000000000000000847_0,0,0.0833,0.0533,0.0619,0.0782,0.0818,0.0726,0.0605,0.0485,0.0665,0.0789
000000000000000004f9_0,0,0.0559,0.047,0.062,0.0476,0.05545,0.05535,0.06325,0.0493,0.0504,0.053
0000000000000000055e_0,0,0.06505,0.04455,0.06205,0.046,0.0652,0.0565,0.0737,0.05755,0.0644,0.04035
00000000000000000605_0,0,0.0614,0.05605,0.06205,0.0726,0.0704,0.06125,0.0551,0.0383,0.0722,0.0506
000000000000000001b4_0,0,0.0547,0.05525,0.06215,0.04855,0.05435,0.0462,0.0617,0.045,0.0533,0.03875
00000000000000000545_0,0,0.06335,0.0489,0.06215,0.0486,0.0673,0.05445,0.0584,0.0402,0.0466,0.03435
00000000000000000248_0,0,0.0651,0.06435,0.0622,0.0769,0.0575,0.0611,0.0721,0.0867,0.0896,0.0712
00000000000000000845_0,0,0.05955,0.0761,0.0622,0.0594,0.0717,0.07435,0.0615,0.07495,0.0767,0.08365
00000000000000000059_0,0,0.0426,0.03165,0.06225,0.0339,0.0503,0.0327,0.0325,0.034,0.03675,0.0376
00000000000000000a1e_0,0,0.0644,0.06005,0.0623,0.0637,0.0547,0.0665,0.07395,0.052,0.0532,0.0596
00000000000000000563_0,0,0.0466,0.0482,0.0623,0.053,0.06,0.0496,0.0613,0.0517,0.0504,0.053
000000000000000000ca_0,0,0.0498,0.0432,0.0624,0.0436,0.0463,0.0445,0.0541,0.0407,0.048,0.05905
00000000000000000537_0,0,0.04215,0.0313,0.0624,0.0413,0.03915,0.031,0.0383,0.04055,0.047,0.0361
00000000000000000571_0,0,0.0528,0.0473,0.0624,0.055,0.0646,0.047,0.056,0.0444,0.0511,0.05445
00000000000000000668_0,0,0.0643,0.06505,0.0624,0.07825,0.0741,0.0513,0.0559,0.0824,0.1071,0.0612
00000000000000000976_0,0,0.0733999999999999,0.07585,0.0624,0.0839,0.0596,0.0631,0.0595,0.0768,0.0792,0.0683
00000000000000000a1a_0,0,0.062,0.0767,0.0624,0.08845,0.0632,0.07645,0.08175,0.0739,0.0706,0.068
00000000000000000a44_0,0,0.0529,0.04775,0.0624,0.0611499999999999,0.0657,0.06405,0.0813,0.0839,0.0753,0.0593
00000000000000000a2e_0,0,0.05955,0.0712,0.06245,0.0593,0.07035,0.0523,0.0562,0.057,0.0602,0.0504
0000000000000000025f_0,0,0.0713,0.06875,0.0625,0.0733,0.08845,0.0775,0.08175,0.0549,0.0944,0.08
0000000000000000053e_0,0,0.0588,0.0468,0.0625,0.047,0.0619,0.0511,0.053,0.046,0.0793,0.0539
000000000000000005ac_0,0,0.0546,0.05105,0.0625,0.06775,0.07845,0.0619,0.0811,0.05505,0.1072,0.0612
000000000000000004d9_0,0,0.0697,0.0572,0.06255,0.03615,0.0457,0.0327,0.0474,0.0373,0.03245,0.0343
00000000000000000567_0,0,0.0474,0.0471,0.0626,0.0503,0.05845,0.045,0.04345,0.0451,0.07225,0.0392
000000000000000005cd_0,0,0.0811,0.0619,0.0626,0.066,0.0727,0.05425,0.0555,0.0597,0.0575,0.0516
000000000000000000d7_0,0,0.0704,0.0521999999999999,0.0627,0.05285,0.05925,0.0477,0.0508,0.0569,0.0858,0.045
00000000000000000211_0,0,0.05985,0.05105,0.0627,0.0633,0.0664,0.0589,0.0913,0.0451,0.0764,0.0511
00000000000000000687_0,0,0.0486,0.03745,0.0627,0.08315,0.0837,0.04635,0.066,0.03925,0.1528,0.0902
000000000000000001a1_0,0,0.0682,0.06015,0.0628,0.0715,0.0529,0.0603,0.0583,0.047,0.1003,0.0568
00000000000000000471_0,0,0.06335,0.0638,0.0628,0.0346,0.06325,0.0279,0.0534,0.0367,0.0322,0.0397
0000000000000000053f_0,0,0.05555,0.04085,0.0628,0.03115,0.0591,0.0425,0.06485,0.0505,0.0907,0.0452
00000000000000000977_0,0,0.07255,0.06145,0.0628,0.1149,0.1528,0.13645,0.11275,0.11325,0.0973,0.0845
00000000000000000978_0,0,0.09795,0.08165,0.0628,0.0906,0.07775,0.0603,0.0823,0.0837499999999999,0.09,0.0705
00000000000000000a2f_0,0,0.0575,0.0706,0.0628,0.0455,0.0475,0.0558,0.0537,0.0528,0.074,0.0574
00000000000000000109_0,0,0.0617,0.0584999999999999,0.0629,0.0513999999999999,0.0713,0.0643,0.0534,0.0543,0.0565,0.0559
0000000000000000015e_0,0,0.0655,0.0477,0.0629,0.0523,0.07235,0.0562,0.04725,0.0422,0.0477,0.04465
000000000000000001d9_0,0,0.06665,0.08285,0.0629,0.0756,0.0635,0.0693,0.0682,0.0719,0.1044,0.0654
0000000000000000064a_0,0,0.0689,0.0613,0.0629,0.0803,0.0595,0.04925,0.065,0.0616,0.1075,0.0599
00000000000000000871_0,0,0.0676,0.0784,0.0629,0.0691,0.0437,0.05965,0.06865,0.0599,0.05545,0.0604
0000000000000000010b_0,0,0.0567,0.0404,0.06295,0.0522,0.0544,0.0471,0.06085,0.0335499999999999,0.04415,0.04015
00000000000000000589_0,0,0.0337,0.062,0.06295,0.0507,0.0532,0.052,0.1034,0.0565,0.04895,0.0545
0000000000000000083c_0,0,0.0469,0.04515,0.06295,0.0509,0.05465,0.0406,0.0574,0.015,0.06095,0.0226
00000000000000000150_0,0,0.04765,0.04485,0.063,0.0461,0.05925,0.0516,0.03955,0.0405,0.04225,0.0423
000000000000000004cd_0,0,0.04985,0.0434,0.06305,0.0432,0.0459,0.04635,0.0565,0.0411,0.0494,0.03795
0000000000000000028b_0,0,0.1142,0.0725,0.06315,0.0907,0.0602,0.07735,0.068,0.08085,0.1018,0.073
000000000000000001c5_0,0,0.0419,0.0477,0.0632,0.05425,0.0938,0.0787,0.1205,0.0746,0.1032,0.1011
000000000000000005a4_0,0,0.0467,0.0444,0.0632,0.0603,0.0532,0.0469,0.0359,0.0377,0.083,0.0533
000000000000000006ac_0,0,0.065,0.0739,0.0632,0.089,0.0649,0.07395,0.0718,0.08645,0.0888,0.0623
000000000000000000a6_0,0,0.0494,0.0393499999999999,0.0633,0.0386,0.0443,0.0407,0.0354,0.043,0.03975,0.03005
00000000000000000575_0,0,0.0657,0.0561,0.0633,0.05255,0.0624,0.0579,0.0658,0.07685,0.0713,0.0684
00000000000000000640_0,0,0.08585,0.0696,0.0634,0.0792,0.063,0.0587,0.0658,0.0658,0.1064,0.0646
00000000000000000556_0,0,0.0614,0.0534,0.0634,0.0519,0.0489,0.05755,0.0522,0.0442,0.0744,0.0284
00000000000000000570_0,0,0.0535,0.05255,0.06355,0.0574,0.0516,0.0501,0.052,0.04685,0.0543,0.0526
0000000000000000010d_0,0,0.0495,0.0479,0.0636,0.0508,0.0498,0.05445,0.06325,0.0458999999999999,0.0507,0.04355
00000000000000000534_0,0,0.0622,0.04155,0.0636,0.04485,0.0483,0.037,0.0622,0.0485,0.0635,0.0359
0000000000000000058a_0,0,0.058,0.05245,0.0636,0.0543,0.06995,0.0626,0.07035,0.0553,0.0587,0.0498
000000000000000005fd_0,0,0.0739,0.0647,0.0636,0.0707,0.05875,0.05005,0.0601,0.0606,0.0837,0.05625
000000000000000002f1_0,0,0.1218,0.0815,0.0637,0.0931,0.0662,0.0931,0.06935,0.08475,0.1092,0.0741
0000000000000000009c_0,0,0.0461,0.0364,0.06385,0.0384,0.0456,0.0369,0.06115,0.0404,0.0433,0.04
0000000000000000025c_0,0,0.0392,0.0445,0.06385,0.0793,0.0857,0.062,0.0668,0.055,0.0611,0.0506
00000000000000000213_0,0,0.0632,0.064,0.0639,0.0675,0.0662,0.0578,0.0594,0.05895,0.062,0.0544
00000000000000000217_0,0,0.0708,0.06265,0.0639,0.0742,0.0858,0.05365,0.0737,0.05525,0.0587,0.0721
00000000000000000582_0,0,0.036,0.0298,0.0639,0.033,0.0428,0.0429,0.03365,0.03705,0.0525,0.0312
000000000000000000d2_0,0,0.0756,0.07325,0.064,0.071,0.0817,0.0774,0.0703999999999999,0.05945,0.0789,0.0772
0000000000000000084c_0,0,0.0636,0.0595,0.06405,0.06225,0.0578,0.0568,0.0648,0.0587,0.0641,0.0541
000000000000000002a3_0,0,0.0602,0.0735,0.0641,0.0937,0.0696,0.07005,0.0736,0.0767,0.1044,0.0608
00000000000000000836_0,0,0.0607,0.0498,0.0641,0.0509,0.0718,0.0497,0.0523,0.0376,0.05175,0.0444
00000000000000000581_0,0,0.0593,0.0465,0.0642,0.05435,0.0688,0.05335,0.05115,0.0422,0.0497,0.0421
00000000000000000620_0,0,0.0831,0.0705,0.0642,0.0736,0.0696,0.06335,0.0719,0.08215,0.1119,0.0627
0000000000000000068e_0,0,0.083,0.0731499999999999,0.0642,0.0839,0.0635,0.0692,0.0686,0.0797,0.0949,0.0727
00000000000000000574_0,0,0.071,0.04675,0.06425,0.0577,0.0543,0.092,0.0938,0.0484,0.1731,0.0551
000000000000000008f5_0,0,0.0948,0.06725,0.06425,0.0735,0.0695,0.0663499999999999,0.0682,0.0699,0.0705,0.0737
0000000000000000010e_0,0,0.0642,0.0563,0.0643,0.049,0.0619,0.0523,0.0491,0.0577,0.06115,0.0566
000000000000000001e4_0,0,0.0824,0.0731,0.0643,0.0722,0.051,0.0684,0.0656,0.0794,0.097,0.0399
00000000000000000886_0,0,0.11645,0.0814,0.0643499999999999,0.0817,0.0741,0.069,0.0862,0.0715,0.0635,0.0829
00000000000000000206_0,0,0.0612,0.0582,0.0644,0.0509,0.06135,0.0524,0.1058,0.0436,0.05885,0.0366
000000000000000005a5_0,0,0.0874,0.0663,0.0644,0.0588,0.0793,0.0718,0.0706,0.047,0.06345,0.0525
00000000000000000052_0,0,0.06735,0.0649,0.0645,0.0636,0.0733,0.07775,0.06505,0.0487,0.06765,0.071
00000000000000000546_0,0,0.0691,0.0486,0.0645,0.0444,0.0504,0.0468,0.0562,0.0306999999999999,0.0456,0.1313
00000000000000000979_0,0,0.05105,0.0498,0.0645,0.0579,0.1692,0.1471,0.1663,0.1481,0.1419,0.0908
00000000000000000a27_0,0,0.0653,0.072,0.06455,0.06935,0.0558,0.0586,0.06085,0.0541,0.05035,0.0448
000000000000000001ac_0,0,0.0533,0.0515,0.06455,0.05645,0.0571,0.0647,0.0603,0.0612,0.0599,0.0746
0000000000000000097a_0,0,0.07605,0.0525,0.06455,0.0505,0.0442,0.10385,0.1601,0.1249,0.1247,0.0918
000000000000000001ed_0,0,0.0852,0.0602,0.0646,0.06875,0.05695,0.06225,0.0848,0.0574,0.0739,0.0643
000000000000000004a2_0,0,0.0542,0.0517,0.0646,0.03965,0.0457,0.03835,0.05905,0.0415,0.0464,0.0359499999999999
00000000000000000867_0,0,0.07695,0.0668499999999999,0.0646,0.0721,0.0647,0.0591,0.056,0.09895,0.11995,0.0844999999999999
000000000000000000f9_0,0,0.0813,0.07065,0.06465,0.0678,0.0734,0.0611,0.0634,0.0507,0.08165,0.0494
0000000000000000017d_0,0,0.04125,0.05565,0.0647,0.049,0.0521,0.059,0.0499,0.06835,0.0546,0.0587
00000000000000000180_0,0,0.0557,0.05295,0.0647,0.0583,0.0849,0.06335,0.0523,0.05775,0.09595,0.1663
0000000000000000054a_0,0,0.06345,0.05635,0.0647,0.0462,0.0551,0.04825,0.051,0.0452,0.0489,0.0338
00000000000000000585_0,0,0.06215,0.0527,0.0648,0.04695,0.0609,0.0487,0.0644,0.0449,0.046,0.0431
0000000000000000061e_0,0,0.07415,0.06875,0.0648,0.0733,0.0691,0.0636,0.0668,0.0769,0.0982,0.0751
000000000000000001e1_0,0,0.0756,0.04925,0.06485,0.0255,0.0712,0.0341,0.05015,0.06725,0.0657,0.0192
000000000000000002e8_0,0,0.0978499999999999,0.08355,0.0649,0.09375,0.0772,0.08745,0.08,0.08565,0.1093,0.0669
00000000000000000578_0,0,0.0692,0.0532,0.0649,0.05615,0.06105,0.04915,0.0691,0.0595,0.1196,0.0693
000000000000000005ea_0,0,0.07485,0.06785,0.0649,0.071,0.0752,0.07035,0.0805,0.0629,0.0764999999999999,0.0725
000000000000000000bf_0,0,0.0764999999999999,0.0653,0.0649,0.04525,0.0476,0.0531,0.0665999999999999,0.0549,0.04755,0.05925
000000000000000002c5_0,0,0.08535,0.0771,0.065,0.0889,0.07055,0.0686,0.0734,0.06705,0.0768,0.0749
00000000000000000503_0,0,0.0715,0.0435,0.0651,0.04235,0.0321,0.0351,0.027,0.0317,0.0346,0.01855
000000000000000005c6_0,0,0.0393,0.0595,0.0651,0.0645,0.0324,0.04685,0.0637,0.0548,0.0741,0.0441
0000000000000000069b_0,0,0.12145,0.07255,0.0651,0.0989,0.0698,0.0723,0.0727,0.0809,0.0948,0.069
0000000000000000008e_0,0,0.0434,0.0326,0.0652,0.037,0.04545,0.0348,0.0458,0.0482,0.0351,0.03055
000000000000000001c9_0,0,0.0496,0.0528,0.0652,0.0497,0.0644,0.0502,0.0425,0.0527,0.02865,0.038
00000000000000000264_0,0,0.0989,0.0716,0.0652,0.0803,0.0676,0.0671,0.0737,0.0861,0.1127,0.0617
000000000000000004c6_0,0,0.0579,0.0376,0.0652,0.0391,0.0611,0.0308,0.0261,0.0276,0.0447,0.0364499999999999
0000000000000000089c_0,0,0.06035,0.0681,0.0652,0.07525,0.0677,0.0721,0.0781,0.0754,0.07535,0.0707
000000000000000000d9_0,0,0.051,0.04635,0.0653,0.0446,0.0542,0.048,0.05215,0.0395,0.0583,0.0494
0000000000000000056b_0,0,0.0499,0.0458,0.0653,0.05535,0.07,0.0495,0.048,0.0397,0.067,0.0435
0000000000000000083b_0,0,0.0524,0.04875,0.0653,0.0488,0.0539,0.0529,0.0406,0.05075,0.0532,0.0483
00000000000000000216_0,0,0.08335,0.06965,0.0654,0.0807,0.0773,0.0824,0.0628,0.0839,0.0812,0.0684
