system:index,landcover,19-1_blue,19-2_blue,20-1_blue,20-2_blue,21-1_blue,21-2_blue,22-1_blue,22-2_blue,23-1_blue,23-2_blue
00000000000000000947_0,0,0.0386,0.03435,0.02575,0.0367,0.02835,0.029,0.0353,0.0268,0.0265,0.028
0000000000000000046f_0,0,0.041,0.0403,0.0259,0.0379,0.0305,0.0269,0.0363,0.026,0.0332999999999999,0.0261
000000000000000000b2_0,0,0.0674,0.0496,0.0262,0.0438,0.0388,0.0332,0.0496,0.03675,0.1016,0.0862
00000000000000000038_0,0,0.03775,0.0401,0.0265,0.0398,0.0361,0.0317,0.0338,0.0473,0.0899,0.0389
00000000000000000a3f_0,0,0.0615,0.02705,0.0265,0.0301,0.029,0.02585,0.03115,0.0275,0.0274,0.0261
000000000000000004a1_0,0,0.02375,0.0409,0.0268,0.043,0.0364,0.028,0.0323,0.0271,0.0485,0.0391
00000000000000000517_0,0,0.0341,0.0487,0.0269,0.051,0.0508,0.0502,0.0516,0.0456,0.0642,0.0366
000000000000000004e7_0,0,0.04785,0.04455,0.0270499999999999,0.05025,0.0649,0.03805,0.0642,0.03075,0.0953,0.0422
0000000000000000049a_0,0,0.0418,0.038,0.0271,0.041,0.0432,0.0274,0.043,0.03405,0.0456,0.0277
00000000000000000479_0,0,0.0402,0.04115,0.0272,0.0381,0.0504,0.0373,0.046,0.04,0.0412,0.0515
00000000000000000029_0,0,0.0407,0.0391,0.0276,0.0379,0.0316,0.0259,0.0352,0.0445,0.0374,0.0363
000000000000000008b6_0,0,0.0316,0.0291,0.0276,0.0316,0.03555,0.02605,0.0278,0.0203,0.03455,0.0141
00000000000000000032_0,0,0.0311,0.0571,0.0277,0.04155,0.041,0.04205,0.0355,0.0303,0.0737,0.035
00000000000000000033_0,0,0.037,0.0377,0.0278,0.03465,0.0338,0.0318,0.0445,0.0408,0.0605,0.0278
00000000000000000139_0,0,0.0224,0.0536,0.0279,0.0549,0.04885,0.03555,0.0385,0.02515,0.0477,0.057
00000000000000000144_0,0,0.03,0.0412,0.0281,0.0583,0.05755,0.0627,0.0674,0.0831,0.1171,0.0914
0000000000000000046d_0,0,0.0468,0.0313,0.0281,0.0365,0.0417,0.03615,0.0449,0.0376,0.0586,0.0371
00000000000000000473_0,0,0.0438,0.04545,0.0281,0.0412,0.0458,0.0435,0.0432,0.0347,0.042,0.0405
00000000000000000461_0,0,0.0276,0.0309,0.0283,0.0371,0.0372,0.0695,0.0785,0.08525,0.0696,0.1411
0000000000000000006c_0,0,0.03255,0.0375,0.0284,0.0392,0.0429,0.0418,0.0536,0.0195,0.0407,0.0313
000000000000000004cf_0,0,0.0958,0.0398,0.0284,0.0492,0.1273,0.0321,0.1378,0.0546,0.1785,0.0951
00000000000000000a30_0,0,0.03375,0.0293,0.02845,0.034,0.0309,0.0406,0.04115,0.04095,0.03455,0.0263
00000000000000000494_0,0,0.0412,0.04495,0.0285,0.0433,0.0522,0.042,0.0443,0.048,0.0772,0.0471
000000000000000004e1_0,0,0.0393,0.0428,0.0285,0.0487,0.0375,0.0388,0.042,0.052,0.045,0.0373
0000000000000000001b_0,0,0.0361,0.0412,0.0286,0.03225,0.0284,0.02745,0.0256999999999999,0.0222,0.057,0.0225
0000000000000000003f_0,0,0.0502,0.04185,0.0287,0.0472,0.0409,0.03425,0.0429,0.0336,0.05985,0.027
