system:index,landcover,19-1_red,19-2_red,20-1_red,20-2_red,21-1_red,21-2_red,22-1_red,22-2_red,23-1_red,23-2_red
000000000000000005da_0,0,0.07065,0.03865,0.0492,0.1373,0.0805,0.1102,0.141,0.0818,0.1301,0.0391
00000000000000000a54_0,0,0.05005,0.0513,0.0564,0.0504,0.05375,0.04255,0.04085,0.0401,0.0454,0.0308
0000000000000000008f_0,0,0.06085,0.0531,0.0566,0.0558,0.0649,0.0527,0.0788,0.0431,0.0573,0.1501
00000000000000000838_0,0,0.06415,0.03335,0.0273,0.0778,0.02995,0.0276,0.026,0.0252,0.0684,0.0249
0000000000000000000a_0,0,0.05235,0.0317,0.0365,0.0233,0.0483,0.0382,0.0387,0.0204,0.03875,0.038
000000000000000008e0_0,0,0.0498,0.04435,0.05545,0.046,0.0385,0.03235,0.0381,0.03285,0.0602,0.03055
000000000000000000a5_0,0,0.06365,0.07055,0.0615,0.0763,0.083,0.0754,0.05305,0.0442,0.0643,0.0411
0000000000000000095d_0,0,0.0733,0.08115,0.0423,0.06775,0.0572,0.0689,0.072,0.069,0.061,0.0719
0000000000000000095e_0,0,0.0318,0.04775,0.031,0.0419999999999999,0.0382,0.0263,0.0539,0.0283,0.02115,0.0286
0000000000000000044e_0,0,0.0999,0.0442,0.0501,0.0281,0.0412,0.03225,0.0329,0.0374,0.0477,0.0409
0000000000000000044f_0,0,0.0336,0.0511,0.04325,0.03535,0.03555,0.0352,0.0816,0.0315,0.0317,0.02355
00000000000000000108_0,0,0.1459,0.0872,0.0902,0.07205,0.06675,0.05775,0.0599,0.0526,0.1336,0.0759
000000000000000004a8_0,0,0.065,0.06865,0.0599,0.04465,0.0647,0.0838,0.0552,0.0501,0.1158,0.049
00000000000000000015_0,0,0.04055,0.0359,0.0385,0.03155,0.0463,0.0254,0.05225,0.0463,0.04015,0.0325
000000000000000008ef_0,0,0.0521,0.0301,0.0345,0.0301,0.0832,0.033,0.0316,0.0331,0.0339,0.0283
00000000000000000078_0,0,0.0438,0.0448,0.0471,0.0551,0.0658,0.05655,0.02425,0.02855,0.05395,0.02215
000000000000000000b6_0,0,0.05065,0.05365,0.061,0.0542,0.06545,0.0509,0.054,0.03665,0.0888,0.0535
000000000000000008a9_0,0,0.0468,0.0299,0.0379,0.0295,0.0512,0.03345,0.03795,0.0292,0.0408,0.0354499999999999
000000000000000004ee_0,0,0.0386,0.04085,0.0455,0.0529,0.0670999999999999,0.0429,0.0602,0.0397,0.0535,0.02945
000000000000000008bb_0,0,0.03195,0.03495,0.0419,0.0383,0.0387,0.04,0.0397,0.02945,0.0329,0.02895
00000000000000000861_0,0,0.047,0.0362,0.0381,0.0404,0.0327,0.0434,0.0452,0.04195,0.0344,0.0349
0000000000000000001c_0,0,0.0899,0.0263,0.0312,0.0372,0.0493,0.0262,0.0464,0.0459,0.0356,0.0279
0000000000000000008a_0,0,0.0785,0.0633,0.0477,0.0413,0.0901,0.035,0.0442,0.0451,0.0832,0.0308
00000000000000000885_0,0,0.13335,0.0793,0.0733,0.0761,0.07505,0.1216,0.0924,0.0898,0.0922,0.1127
