system:index,blue_S2_2,green_S2_2,landcover_S2_2,nir_S2_2,red_S2_2,swir1_S2_2,swir2_S2_2
00000000000000000001_0,0.0518,0.0885,0,0.0595,0.0646,0.06625,0.05160000000000000
00000000000000000003_0,0.05815000000000000,0.0874,0,0.31875,0.09535,0.29785,0.19140000000000000
00000000000000000004_0,0.0635,0.09820000000000000,0,0.03725,0.07815,0.0221,0.019
00000000000000000005_0,0.15080000000000000,0.18660000000000000,0,0.34450000000000000,0.1859,0.3135,0.265
00000000000000000007_0,0.0594,0.08800000000000000,0,0.3115,0.06720000000000000,0.19195,0.12055000000000000
0000000000000000000a_0,0.0658,0.0823,0,0.054400000000000000,0.0594,0.0472,0.032600000000000000
0000000000000000000c_0,0.0782,0.1062,0,0.23495,0.11295000000000000,0.1932,0.11270000000000000
0000000000000000000d_0,0.0852,0.09895000000000000,0,0.025750000000000000,0.05525000000000000,0.024050000000000000,0.021750000000000000
0000000000000000000e_0,0.038400000000000000,0.0551,0,0.3451,0.0444,0.2126,0.10160000000000000
00000000000000000011_0,0.0883,0.11670000000000000,0,0.025500000000000000,0.08120000000000000,0.0175,0.0148
00000000000000000013_0,0.048400000000000000,0.0813,0,0.2122,0.049800000000000000,0.1153,0.0574
00000000000000000014_0,0.06225,0.0932,0,0.24585,0.0762,0.1307,0.06345
00000000000000000015_0,0.0417,0.0563,0,0.07780000000000000,0.045700000000000000,0.055900000000000000,0.0368
00000000000000000017_0,0.0325,0.0572,0,0.3397,0.0397,0.1743,0.0863
00000000000000000018_0,0.037200000000000000,0.062,0,0.4375,0.0408,0.1854,0.0869
00000000000000000019_0,0.029400000000000000,0.037000000000000000,0,0.013800000000000000,0.0251,0.0097,0.0073
0000000000000000001a_0,0.0784,0.10950000000000000,0,0.019750000000000000,0.08885000000000000,0.01345,0.0129
0000000000000000001b_0,0.0903,0.11610000000000000,0,0.03175,0.0873,0.01615,0.011800000000000000
0000000000000000001c_0,0.09075,0.10320000000000000,0,0.15335000000000000,0.10295,0.14215,0.1121
0000000000000000001e_0,0.0989,0.12390000000000000,0,0.0442,0.0975,0.020900000000000000,0.016800000000000000
0000000000000000001f_0,0.0432,0.0507,0,0.38980000000000000,0.031,0.1587,0.0682
00000000000000000020_0,0.0736,0.08900000000000000,0,0.0328,0.05475000000000000,0.02695,0.0232
00000000000000000022_0,0.0446,0.0623,0,0.11670000000000000,0.0507,0.0818,0.046400000000000000
00000000000000000025_0,0.08525000000000000,0.10650000000000000,0,0.2988,0.12125,0.2621,0.18080000000000000
00000000000000000026_0,0.053500000000000000,0.0853,0,0.44880000000000000,0.048350000000000000,0.23255,0.1119
00000000000000000027_0,0.035,0.0523,0,0.09330000000000000,0.038700000000000000,0.057300000000000000,0.0375
0000000000000000002a_0,0.0362,0.06620000000000000,0,0.4408,0.0362,0.2036,0.09530000000000000
0000000000000000002b_0,0.0816,0.11760000000000000,0,0.08065,0.12565,0.01415,0.0111
0000000000000000002c_0,0.028700000000000000,0.04535,0,0.29425,0.03325,0.1473,0.06645000000000000
0000000000000000002d_0,0.0865,0.1187,0,0.028650000000000000,0.089,0.01485,0.0128
0000000000000000002e_0,0.0426,0.0752,0,0.12425,0.054900000000000000,0.07925,0.0485
0000000000000000002f_0,0.0814,0.1084,0,0.02835,0.06055000000000000,0.021,0.0181
00000000000000000030_0,0.0369,0.0558,0,0.2469,0.040400000000000000,0.1857,0.1106
00000000000000000033_0,0.09285,0.10450000000000000,0,0.09605,0.10145000000000000,0.09445,0.08360000000000000
00000000000000000034_0,0.04565,0.06725,0,0.29825,0.058800000000000000,0.21065,0.1397
00000000000000000035_0,0.11815,0.13040000000000000,0,0.13515,0.13405,0.1282,0.10305
00000000000000000036_0,0.15610000000000000,0.186,0,0.3121,0.2056,0.33840000000000000,0.2836
00000000000000000037_0,0.12215000000000000,0.1478,0,0.1905,0.1563,0.1898,0.16295
00000000000000000038_0,0.0721,0.1085,0,0.3296,0.1091,0.3075,0.19240000000000000
00000000000000000039_0,0.0543,0.07545,0,0.24710000000000000,0.06585000000000000,0.14965,0.09155
0000000000000000003a_0,0.0826,0.1125,0,0.025500000000000000,0.079,0.0158,0.0122
0000000000000000003e_0,0.09910000000000000,0.11620000000000000,0,0.1736,0.1491,0.1731,0.1444
00000000000000000040_0,0.09090000000000000,0.1178,0,0.0709,0.09330000000000000,0.0748,0.06770000000000000
00000000000000000041_0,0.0771,0.1148,0,0.0309,0.0872,0.0171,0.014700000000000000
00000000000000000042_0,0.08145,0.091,0,0.018050000000000000,0.056150000000000000,0.0145,0.013900000000000000
00000000000000000043_0,0.1799,0.1622,0,0.2924,0.16060000000000000,0.25370000000000000,0.23750000000000000
00000000000000000044_0,0.0688,0.0809,0,0.013800000000000000,0.040100000000000000,0.0061,0.0056
00000000000000000045_0,0.09365000000000000,0.12060000000000000,0,0.0675,0.10895,0.04485,0.03645
00000000000000000046_0,0.06910000000000000,0.08805,0,0.026750000000000000,0.05605,0.0201,0.0176
00000000000000000047_0,0.0489,0.0707,0,0.016800000000000000,0.047900000000000000,0.0092,0.007
00000000000000000048_0,0.08755,0.126,0,0.38180000000000000,0.12000000000000000,0.30385,0.19680000000000000
00000000000000000049_0,0.0988,0.12860000000000000,0,0.0358,0.0873,0.0256,0.0246
0000000000000000004a_0,0.045200000000000000,0.0756,0,0.392,0.0489,0.15460000000000000,0.0795
0000000000000000004b_0,0.0465,0.0868,0,0.5002,0.047,0.2168,0.1037
0000000000000000004c_0,0.0488,0.05255,0,0.0449,0.0484,0.0534,0.0432
0000000000000000004d_0,0.091,0.1139,0,0.0213,0.0729,0.0083,0.0079
0000000000000000004e_0,0.0649,0.0903,0,0.062400000000000000,0.0702,0.0323,0.0244
00000000000000000050_0,0.06205000000000000,0.08225,0,0.12805,0.07015,0.0922,0.0681
00000000000000000052_0,0.0597,0.091,0,0.0221,0.06620000000000000,0.0159,0.0114
00000000000000000054_0,0.12715,0.14915,0,0.22335,0.15510000000000000,0.23435,0.2102
