system:index,blue,green,landcover,nir,red,swir1,swir2,.geo
000000000000000000c2_0,0.0393,0.0599,0,0.06430000000000001,0.031,0.0228,0.0173,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,0.0227,0.0459,0,0.0227,0.0218,0.0244,0.012400000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000043c_0,0.0247,0.04135,0,0.33230000000000004,0.022900000000000004,0.14890000000000003,0.06405,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008e1_0,0.0323,0.0483,0,0.0152,0.032,0.007200000000000001,0.006500000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,0.029,0.0385,0,0.1223,0.0304,0.0494,0.029500000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2_0,0.030100000000000002,0.048,0,0.3614,0.032,0.1126,0.0565,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000442_0,0.1607,0.182,0,0.2106,0.19590000000000002,0.226,0.1849,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000444_0,0.027600000000000003,0.0541,0,0.017400000000000002,0.0235,0.023,0.014400000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000043a_0,0.0159,0.022000000000000002,0,0.0082,0.014,0.007,0.0061,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000949_0,0.040400000000000005,0.059000000000000004,0,0.27040000000000003,0.0541,0.2019,0.1159,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,0.036000000000000004,0.0488,0,0.0358,0.0298,0.045700000000000005,0.0227,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000440_0,0.024300000000000002,0.0334,0,0.024,0.0205,0.0162,0.0134,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000439_0,0.0322,0.048100000000000004,0,0.3347,0.0354,0.166,0.0785,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f_0,0.037200000000000004,0.0587,0,0.36810000000000004,0.041,0.1704,0.0886,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045e_0,0.0327,0.0516,0,0.056100000000000004,0.0303,0.042,0.025900000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,0.0334,0.041,0,0.038,0.033800000000000004,0.0222,0.015000000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,0.023700000000000002,0.033800000000000004,0,0.28250000000000003,0.0261,0.13520000000000001,0.0732,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ce_0,0.039900000000000005,0.062400000000000004,0,0.0669,0.0409,0.058300000000000005,0.0251,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_0,0.048,0.0651,0,0.2701,0.07649999999999998,0.23340000000000002,0.1531,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_0,0.041,0.055,0,0.06770000000000001,0.0473,0.0654,0.0516,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008c9_0,0.020200000000000003,0.0361,0,0.2863,0.019100000000000002,0.1075,0.045700000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000448_0,0.0275,0.0408,0,0.0114,0.0228,0.0091,0.006900000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,0.0318,0.0412,0,0.0864,0.0284,0.0463,0.0239,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000042f_0,0.04,0.054400000000000004,0,0.016300000000000002,0.0337,0.0137,0.0083,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,0.0327,0.061900000000000004,0,0.38780000000000003,0.0378,0.2296,0.11120000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000921_0,0.035300000000000005,0.0459,0,0.06420000000000001,0.0347,0.0367,0.023100000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e5_0,0.0675,0.0902,0,0.052700000000000004,0.0782,0.0286,0.0137,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d0_0,0.0378,0.061900000000000004,0,0.149,0.043500000000000004,0.0896,0.056100000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000487_0,0.0286,0.048600000000000004,0,0.307,0.037200000000000004,0.1589,0.09230000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c_0,0.0308,0.0414,0,0.2748,0.034,0.1502,0.08600000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000044c_0,0.025900000000000003,0.0358,0,0.0543,0.028300000000000002,0.0385,0.026500000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000956_0,0.0368,0.0543,0,0.38580000000000003,0.038200000000000005,0.2019,0.0935,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000957_0,0.0872,0.09860000000000001,0,0.10990000000000001,0.1005,0.10010000000000001,0.0935,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000432_0,0.0297,0.0463,0,0.3265,0.028200000000000003,0.1411,0.060200000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000089a_0,0.0325,0.0453,0,0.17950000000000002,0.0641,0.12150000000000001,0.08030000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000430_0,0.0536,0.07880000000000001,0,0.1139,0.0574,0.07930000000000001,0.051800000000000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000110_0,0.0363,0.059500000000000004,0,0.29410000000000003,0.0408,0.1686,0.08610000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c3_0,0.0361,0.07,0,0.3819,0.0366,0.1892,0.0873,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045c_0,0.037700000000000004,0.062200000000000005,0,0.3608,0.0437,0.1592,0.08750000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000458_0,0.027600000000000003,0.062400000000000004,0,0.0194,0.0345,0.0092,0.0082,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096_0,0.0398,0.056600000000000004,0,0.3068,0.0424,0.17300000000000001,0.09390000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000043b_0,0.028900000000000002,0.0477,0,0.3034,0.0422,0.1752,0.09910000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004b6_0,0.020800000000000003,0.0317,0,0.0364,0.0246,0.021,0.014,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000434_0,0.030000000000000002,0.0495,0,0.3683,0.027,0.1703,0.0806,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000084f_0,0.027800000000000002,0.0461,0,0.34440000000000004,0.0347,0.1351,0.0712,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000148_0,0.0495,0.0756,0,0.1252,0.0468,0.058600000000000006,0.037700000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000455_0,0.0302,0.054900000000000004,0,0.3733,0.029400000000000003,0.191,0.0884,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004a7_0,0.0198,0.031200000000000002,0,0.0234,0.017400000000000002,0.0079,0.0064,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008aa_0,0.01965,0.04075,0,0.31085,0.02275,0.1377,0.05915000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000437_0,0.031400000000000004,0.0412,0,0.0198,0.0264,0.0091,0.007500000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000947_0,0.028,0.0482,0,0.3658,0.0246,0.1706,0.07060000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000046f_0,0.0261,0.032100000000000004,0,0.2152,0.0223,0.093,0.043300000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2_0,0.0862,0.1279,0,0.1778,0.1335,0.1897,0.1549,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038_0,0.038900000000000004,0.0478,0,0.27440000000000003,0.0492,0.2102,0.10700000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a3f_0,0.0261,0.0393,0,0.2964,0.0252,0.15910000000000002,0.07050000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004a1_0,0.0391,0.0568,0,0.162,0.0704,0.1263,0.0965,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000517_0,0.0366,0.0466,0,0.10890000000000001,0.0407,0.056100000000000004,0.034300000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004e7_0,0.0422,0.06570000000000001,0,0.191,0.049100000000000005,0.0921,0.0455,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000049a_0,0.027700000000000002,0.0335,0,0.057600000000000005,0.0274,0.0328,0.0233,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000479_0,0.051500000000000004,0.078,0,0.2916,0.06520000000000001,0.23420000000000002,0.14500000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029_0,0.0363,0.0591,0,0.3064,0.0454,0.2217,0.1177,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b6_0,0.014100000000000001,0.0388,0,0.36995,0.02085,0.15935000000000002,0.08025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032_0,0.035,0.046,0,0.1169,0.0359,0.0632,0.035300000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033_0,0.027800000000000002,0.0448,0,0.3995,0.0316,0.19090000000000001,0.0896,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000139_0,0.057,0.0792,0,0.19110000000000002,0.0743,0.1403,0.10300000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000144_0,0.09140000000000001,0.1194,0,0.2843,0.1275,0.23170000000000002,0.1947,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000046d_0,0.0371,0.0606,0,0.36660000000000004,0.0475,0.21960000000000002,0.1052,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000473_0,0.0405,0.050800000000000005,0,0.1554,0.0478,0.12300000000000001,0.0734,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000461_0,0.1411,0.1608,0,0.3153,0.17320000000000002,0.3068,0.24550000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c_0,0.0313,0.049,0,0.2999,0.035,0.18780000000000002,0.0966,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004cf_0,0.0951,0.08320000000000001,0,0.0903,0.0741,0.0809,0.0613,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a30_0,0.0263,0.0459,0,0.2964,0.02595,0.12660000000000002,0.058,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000494_0,0.0471,0.0661,0,0.20170000000000002,0.0752,0.1632,0.1051,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004e1_0,0.0373,0.054700000000000006,0,0.29860000000000003,0.0385,0.1384,0.0787,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,0.022500000000000003,0.038200000000000005,0,0.3441,0.027800000000000002,0.16640000000000002,0.08310000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f_0,0.027,0.041,0,0.0057,0.0212,0.0051,0.0028,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056_0,0.0334,0.0565,0,0.40740000000000004,0.0367,0.2078,0.10310000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085_0,0.0458,0.059500000000000004,0,0.0053,0.023700000000000002,0.0037,0.0043,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000469_0,0.0315,0.049,0,0.0222,0.0275,0.0089,0.0064,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_0,0.0284,0.0451,0,0.37420000000000003,0.029400000000000003,0.1782,0.08370000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000445_0,0.025900000000000003,0.0444,0,0.3113,0.025900000000000003,0.1469,0.06760000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e2_0,0.0395,0.0629,0,0.05550000000000001,0.0466,0.0313,0.0234,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c7_0,0.0334,0.0673,0,0.38570000000000004,0.0374,0.1821,0.09860000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000464_0,0.0244,0.044700000000000004,0,0.33180000000000004,0.025,0.10980000000000001,0.0553,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000049c_0,0.0328,0.055400000000000005,0,0.32780000000000004,0.0427,0.1832,0.0979,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000048b_0,0.0349,0.05550000000000001,0,0.2712,0.049600000000000005,0.1573,0.0969,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028_0,0.057800000000000004,0.0671,0,0.1802,0.0424,0.1095,0.06280000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000123_0,0.039900000000000005,0.0646,0,0.36660000000000004,0.046900000000000004,0.1913,0.1019,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000452_0,0.0587,0.07880000000000001,0,0.0184,0.0574,0.0076,0.007,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c_0,0.0322,0.061500000000000006,0,0.023,0.0316,0.011300000000000001,0.0094,"{""type"":""MultiPoint"",""coordinates"":[]}"
