system:index,blue,green,landcover,nir,red,swir1,swir2,.geo
000000000000000000c2_0,0.0264,0.0396,0,0.0332,0.02515,0.0252,0.01975,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,0.0264,0.041800000000000004,0,0.0864,0.0252,0.0385,0.0188,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000043c_0,0.023450000000000002,0.0441,0,0.3751,0.021700000000000004,0.1499,0.06695000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008e1_0,0.03245,0.04715,0,0.01345,0.02905,0.0094,0.0071,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,0.034100000000000005,0.0523,0,0.053250000000000006,0.032,0.045450000000000004,0.02945,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2_0,0.0334,0.0568,0,0.2924,0.0455,0.1374,0.0762,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000442_0,0.0223,0.0356,0,0.0234,0.02205,0.0081,0.0069,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000444_0,0.02715,0.06570000000000001,0,0.08524999999999999,0.0278,0.0656,0.04385,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000043a_0,0.0245,0.0454,0,0.0126,0.0239,0.0078000000000000005,0.0083,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000949_0,0.027200000000000002,0.0456,0,0.3412,0.0309,0.1589,0.077,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,0.0319,0.05475,0,0.063,0.029150000000000002,0.039900000000000005,0.018500000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000440_0,0.02765,0.0372,0,0.06585,0.027000000000000003,0.03835,0.0239,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000439_0,0.028800000000000003,0.0482,0,0.37270000000000003,0.0337,0.1882,0.08420000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f_0,0.0402,0.0635,0,0.31270000000000003,0.05550000000000001,0.1696,0.0947,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045e_0,0.0286,0.0585,0,0.0726,0.0362,0.046200000000000005,0.03025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,0.05335,0.09090000000000001,0,0.40025,0.056650000000000006,0.16240000000000002,0.0842,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,0.030000000000000002,0.0472,0,0.2988,0.029,0.13,0.0627,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ce_0,0.030600000000000002,0.0499,0,0.0881,0.0359,0.06420000000000001,0.033600000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_0,0.026500000000000003,0.0444,0,0.35315,0.0357,0.1518,0.069,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_0,0.035100000000000006,0.048600000000000004,0,0.03465,0.0369,0.04085,0.033850000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008c9_0,0.029400000000000003,0.049100000000000005,0,0.29315,0.026850000000000002,0.1068,0.0446,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000448_0,0.025550000000000003,0.04075000000000001,0,0.0131,0.023850000000000003,0.00835,0.00745,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,0.031400000000000004,0.0381,0,0.0618,0.030100000000000002,0.0478,0.031100000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000042f_0,0.023600000000000003,0.0319,0,0.01225,0.021950000000000004,0.010100000000000001,0.008650000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,0.0259,0.043050000000000005,0,0.3056,0.030199999999999998,0.15335000000000001,0.06435,"{""type"":""MultiPoint"",""coordinates"":[]}"
