system:index,blue_S2_1,green_S2_1,landcover_S2_1,nir_S2_1,red_S2_1,swir1_S2_1,swir2_S2_1
00000000000000000208_0,0.0649,0.08510000000000000,1,0.20270000000000000,0.0731,0.08990000000000000,0.057100000000000000
000000000000000000d3_0,0.1656,0.1928,0,0.2459,0.2117,0.26880000000000000,0.26080000000000000
00000000000000000029_0,0.1208,0.1497,0,0.22145,0.15675,0.2237,0.1669
000000000000000001be_0,0.062400000000000000,0.09230000000000000,0,0.22560000000000000,0.0852,0.1708,0.10105
000000000000000001d1_0,0.056400000000000000,0.0789,1,0.2223,0.0579,0.1139,0.0654
0000000000000000003f_0,0.095,0.1317,0,0.2371,0.12560000000000000,0.2247,0.1486
000000000000000000a2_0,0.1003,0.1394,0,0.21880000000000000,0.1549,0.2126,0.17550000000000000
00000000000000000070_0,0.14,0.1573,0,0.2593,0.1627,0.27175,0.2112
000000000000000001b9_0,0.0901,0.12010000000000000,0,0.25875000000000000,0.14315,0.31285,0.26125
00000000000000000059_0,0.08020000000000000,0.1092,0,0.2605,0.11510000000000000,0.2469,0.1892
00000000000000000097_0,0.0729,0.0734,0,0.24500000000000000,0.0529,0.1184,0.058800000000000000
000000000000000001ac_0,0.186,0.20600000000000000,0,0.24860000000000000,0.21960000000000000,0.28600000000000000,0.24860000000000000
0000000000000000019c_0,0.09345,0.1261,0,0.2622,0.15575,0.33975,0.29055000000000000
00000000000000000032_0,0.057100000000000000,0.0925,0,0.262,0.0869,0.1766,0.0898
00000000000000000066_0,0.07615,0.10020000000000000,0,0.26895,0.08865,0.22885,0.14550000000000000
00000000000000000192_0,0.0478,0.06620000000000000,0,0.2642,0.061500000000000000,0.19590000000000000,0.125
000000000000000000b1_0,0.0991,0.12085000000000000,0,0.2847,0.11605,0.25435000000000000,0.18695
000000000000000001fd_0,0.0645,0.0829,1,0.28090000000000000,0.0616,0.1655,0.09340000000000000
00000000000000000021_0,0.07855000000000000,0.10995,0,0.2861,0.1466,0.3734,0.25245
00000000000000000124_0,0.038650000000000000,0.0638,0,0.28025,0.056400000000000000,0.202,0.10945
00000000000000000147_0,0.046400000000000000,0.0683,0,0.33340000000000000,0.04365,0.19045,0.08895
000000000000000001e6_0,0.03215,0.051100000000000000,1,0.31400000000000000,0.032,0.09585,0.04000000000000000
00000000000000000071_0,0.15810000000000000,0.1781,0,0.3531,0.1696,0.3125,0.229
000000000000000000fd_0,0.0358,0.0632,0,0.31170000000000000,0.042,0.1787,0.092
00000000000000000102_0,0.0548,0.07845,0,0.3791,0.059050000000000000,0.21095000000000000,0.11115
00000000000000000168_0,0.10700000000000000,0.13935,0,0.36255000000000000,0.13015000000000000,0.25750000000000000,0.16095
