system:index,blue,green,landcover,nir,red,swir1,swir2,.geo
000000000000000000c2_0,0.013900000000000001,0.038200000000000005,0,0.09195,0.0235,0.025400000000000002,0.0195,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,0.014100000000000001,0.036500000000000005,0,0.08370000000000001,0.0181,0.038,0.024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000043c_0,0.014400000000000001,0.041,0,0.3438,0.025500000000000002,0.1656,0.0813,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008e1_0,0.0145,0.0504,0,0.0076,0.021400000000000002,0.0057,0.0054,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,0.015000000000000001,0.041600000000000005,0,0.018000000000000002,0.0247,0.0507,0.0317,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2_0,0.0161,0.041600000000000005,0,0.4373,0.0251,0.1365,0.0565,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000442_0,0.0162,0.0241,0,0.015600000000000001,0.015700000000000002,0.0078000000000000005,0.006,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000444_0,0.016800000000000002,0.0402,0,0.0668,0.0337,0.0834,0.064,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000043a_0,0.016900000000000002,0.0472,0,0.0092,0.022000000000000002,0.0054,0.007500000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000949_0,0.0171,0.0385,0,0.307,0.0392,0.17120000000000002,0.08950000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,0.0172,0.0441,0,0.021500000000000002,0.020300000000000002,0.033600000000000005,0.025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000440_0,0.0172,0.035500000000000004,0,0.0507,0.0223,0.0461,0.031,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000439_0,0.0173,0.0363,0,0.3062,0.0221,0.138,0.0609,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f_0,0.017400000000000002,0.0438,0,0.4152,0.0241,0.1361,0.0585,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045e_0,0.0178,0.0438,0,0.046,0.0244,0.0538,0.033800000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,0.0179,0.0368,0,0.2886,0.0414,0.1912,0.11330000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,0.018000000000000002,0.0379,0,0.2723,0.0296,0.1453,0.0721,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ce_0,0.0183,0.0575,0,0.079,0.0256,0.046400000000000004,0.031200000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_0,0.0187,0.0476,0,0.32330000000000003,0.0465,0.1583,0.0809,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_0,0.0187,0.046400000000000004,0,0.0206,0.0245,0.0286,0.0218,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008c9_0,0.01875,0.03715,0,0.22300000000000003,0.022,0.0959,0.04240000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000448_0,0.019100000000000002,0.043000000000000003,0,0.006200000000000001,0.0213,0.006500000000000001,0.0064,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,0.0193,0.0344,0,0.046900000000000004,0.0274,0.0458,0.0351,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000042f_0,0.0195,0.0366,0,0.016800000000000002,0.02,0.0145,0.0114,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,0.0199,0.038400000000000004,0,0.27440000000000003,0.027700000000000002,0.152,0.0697,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000921_0,0.02,0.035,0,0.0247,0.0207,0.0219,0.012700000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e5_0,0.0204,0.0455,0,0.1423,0.023200000000000002,0.0536,0.0267,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d0_0,0.020900000000000002,0.056900000000000006,0,0.09240000000000001,0.0332,0.0925,0.0582,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000487_0,0.020900000000000002,0.054700000000000006,0,0.32030000000000003,0.0402,0.15810000000000002,0.0879,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c_0,0.0216,0.043300000000000005,0,0.21100000000000002,0.043300000000000005,0.1806,0.113,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000044c_0,0.0219,0.0427,0,0.0494,0.025500000000000002,0.0505,0.0358,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000956_0,0.0222,0.0388,0,0.27290000000000003,0.0261,0.1721,0.0791,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000957_0,0.0222,0.0557,0,0.016900000000000002,0.0287,0.0159,0.013600000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000432_0,0.022500000000000003,0.047,0,0.323,0.030100000000000002,0.16140000000000002,0.0726,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000089a_0,0.022500000000000003,0.0543,0,0.373,0.0345,0.1728,0.08940000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000430_0,0.023,0.0471,0,0.024800000000000003,0.025699999999999997,0.0097,0.006,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000110_0,0.0233,0.06570000000000001,0,0.307,0.0352,0.1655,0.08370000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c3_0,0.0236,0.057600000000000005,0,0.3572,0.033600000000000005,0.21250000000000002,0.0976,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045c_0,0.0236,0.056400000000000006,0,0.36510000000000004,0.0392,0.1511,0.0782,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000458_0,0.0239,0.0629,0,0.020900000000000002,0.041,0.010100000000000001,0.0095,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096_0,0.023950000000000003,0.054400000000000004,0,0.31884999999999997,0.04425,0.1946,0.10850000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000043b_0,0.024,0.0459,0,0.21350000000000002,0.052700000000000004,0.198,0.1279,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004b6_0,0.024,0.056400000000000006,0,0.0204,0.0296,0.0146,0.0097,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000434_0,0.024050000000000002,0.045700000000000005,0,0.39065000000000005,0.03245000000000001,0.21515,0.12035000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000084f_0,0.024200000000000003,0.0591,0,0.31880000000000003,0.038700000000000005,0.2031,0.0945,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000148_0,0.0246,0.0712,0,0.059300000000000005,0.031900000000000005,0.0651,0.0442,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000455_0,0.0246,0.051399999999999994,0,0.1685,0.0371,0.1933,0.10600000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004a7_0,0.0252,0.048100000000000004,0,0.0324,0.0287,0.031,0.021,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008aa_0,0.0254,0.0509,0,0.27390000000000003,0.02875,0.1401,0.06570000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000437_0,0.025500000000000002,0.0502,0,0.0189,0.0297,0.010700000000000001,0.0073,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000947_0,0.025750000000000002,0.055150000000000005,0,0.34055,0.029500000000000002,0.1724,0.07745,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000046f_0,0.025900000000000003,0.0356,0,0.24580000000000002,0.033299999999999996,0.1746,0.0937,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2_0,0.0262,0.0641,0,0.008400000000000001,0.031100000000000003,0.013800000000000002,0.010400000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038_0,0.026500000000000003,0.0424,0,0.2676,0.0463,0.20420000000000002,0.11220000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a3f_0,0.026500000000000003,0.05235,0,0.22255000000000003,0.027500000000000004,0.1442,0.07550000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004a1_0,0.0268,0.051000000000000004,0,0.47600000000000003,0.0264,0.14830000000000002,0.060500000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000517_0,0.0269,0.0626,0,0.2333,0.053000000000000005,0.20620000000000002,0.1131,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004e7_0,0.027049999999999998,0.060399999999999995,0,0.1483,0.045750000000000006,0.09865000000000002,0.05815000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000049a_0,0.027100000000000003,0.045700000000000005,0,0.06430000000000001,0.031100000000000003,0.040600000000000004,0.0262,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000479_0,0.027200000000000002,0.050800000000000005,0,0.2661,0.051399999999999994,0.2021,0.1264,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029_0,0.027600000000000003,0.0453,0,0.31900000000000006,0.046200000000000005,0.20750000000000002,0.10279999999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
