system:index,blue,green,landcover,nir,red,swir1,swir2,.geo
000000000000000000c2_0,0.034800000000000005,0.0442,0,0.0303,0.0307,0.0296,0.0235,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,0.037200000000000004,0.058249999999999996,0,0.046650000000000004,0.03395,0.02765,0.01825,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000043c_0,0.0303,0.0414,0,0.263,0.032600000000000004,0.149,0.0727,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008e1_0,0.03275,0.0599,0,0.01735,0.03545,0.0109,0.007600000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,0.0376,0.0596,0,0.0811,0.036000000000000004,0.066,0.0412,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2_0,0.0369,0.058600000000000006,0,0.22840000000000002,0.0524,0.1134,0.0709,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000442_0,0.04,0.0538,0,0.032,0.0361,0.0128,0.0091,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000444_0,0.0378,0.0484,0,0.040150000000000005,0.03635,0.030950000000000005,0.021150000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000043a_0,0.0274,0.04895,0,0.01195,0.024550000000000002,0.0077,0.007550000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000949_0,0.0337,0.0437,0,0.3029,0.032,0.1368,0.0599,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,0.06380000000000001,0.0906,0,0.0743,0.0651,0.0551,0.0391,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000440_0,0.0502,0.075,0,0.0863,0.0674,0.0881,0.0453,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000439_0,0.0308,0.0374,0,0.3095,0.024900000000000002,0.11,0.045000000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f_0,0.0398,0.0574,0,0.27630000000000005,0.045000000000000005,0.1537,0.0908,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045e_0,0.0395,0.0603,0,0.058600000000000006,0.0379,0.0455,0.031900000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,0.045200000000000004,0.057,0,0.2511,0.04775,0.12995,0.0731,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,0.0285,0.0408,0,0.2785,0.030100000000000002,0.1066,0.053500000000000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ce_0,0.0318,0.059800000000000006,0,0.046700000000000005,0.0364,0.06785000000000001,0.0357,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_0,0.034800000000000005,0.047900000000000005,0,0.33380000000000004,0.039900000000000005,0.1476,0.0697,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_0,0.03925,0.0636,0,0.035350000000000006,0.039400000000000004,0.04870000000000001,0.03945,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008c9_0,0.0245,0.0413,0,0.22735,0.027350000000000003,0.1016,0.0473,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000448_0,0.0275,0.0383,0,0.014,0.024200000000000003,0.0102,0.007500000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,0.0373,0.059000000000000004,0,0.059300000000000005,0.041100000000000005,0.0505,0.0342,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000042f_0,0.06380000000000001,0.09190000000000001,0,0.1077,0.06670000000000001,0.0794,0.05,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,0.0308,0.04340000000000001,0,0.253,0.03320000000000001,0.13330000000000003,0.06675,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000921_0,0.031,0.0415,0,0.0456,0.029400000000000003,0.0402,0.023100000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e5_0,0.0376,0.057300000000000004,0,0.02885,0.035750000000000004,0.026600000000000002,0.015550000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d0_0,0.042350000000000006,0.06395,0,0.15985,0.048600000000000004,0.12910000000000002,0.0766,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000487_0,0.040600000000000004,0.0616,0,0.28450000000000003,0.0512,0.16790000000000002,0.0966,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c_0,0.07185,0.098,0,0.28500000000000003,0.1205,0.29825,0.19625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000044c_0,0.0347,0.0508,0,0.0654,0.0395,0.04655,0.032150000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000956_0,0.0322,0.048400000000000006,0,0.2886,0.0373,0.154,0.0746,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000957_0,0.040400000000000005,0.0636,0,0.02375,0.03875000000000001,0.02255,0.01815,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000432_0,0.0323,0.0528,0,0.3045,0.0351,0.15030000000000002,0.06380000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000089a_0,0.03495,0.059800000000000006,0,0.3056,0.0381,0.13390000000000002,0.06470000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000430_0,0.0371,0.051300000000000005,0,0.0346,0.0302,0.0103,0.007200000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000110_0,0.04605,0.07045000000000001,0,0.26580000000000004,0.0648,0.20485,0.11865,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c3_0,0.0344,0.0695,0,0.3189,0.0414,0.19440000000000002,0.1013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045c_0,0.0422,0.0644,0,0.32730000000000004,0.0441,0.14250000000000002,0.0804,"{""type"":""MultiPoint"",""coordinates"":[]}"
