,Sentinel-2,,,Landsat-8,,,,,,,
151,0.418,,151,-0.044,,,,,,,
152,0.263,,152,-0.018,,,,,,,
153,0.623,,153,0.27,,,,,,,
154,0.434,,,,,,,,,,
155,0.424,,,,,,,,,,
156,0.639,,,,,,,,,,
157,0.518,,,,,,,,,,
158,0.625,,,,,,,,,,
159,0.535,,,,,,,,,,
160,0.389,,,,,,,,,,
161,0.673,,,,,,,,,,
162,0.341,,,,,,,,,,
163,0.327,,,,,,,,,,
164,0.556,,,,,,,,,,
165,0.332,,,,,,,,,,
166,0.468,,,,,,,,,,
167,0.613,,,,,,,,,,
168,0.278,,,,,,,,,,
169,0.626,,,,,,,,,,
170,0.445,,,,,,,,,,
171,0.652,,,,,,,,,,
172,0.509,,,,,,,,,,
173,0.629,,,,,,,,,,
174,0.389,,,,,,,,,,
175,0.396,,,,,,,,,,
176,0.388,,,,,,,,,,
177,0.662,,,,,,,,,,
178,0.422,,,,,,,,,,
179,0.418,,,,,,,,,,
180,0.543,,,,,,,,,,
181,0.453,,,,,,,,,,
182,0.469,,,,,,,,,,
183,0.608,,,,,,,,,,
184,0.222,,,,,,,,,,
185,0.23,,,,,,,,,,
186,0.317,,,,,,,,,,
187,0.628,,,,,,,,,,
188,0.597,,,,,,,,,,
189,0.366,,,,,,,,,,
190,0.46,,,,,,,,,,
191,0.651,,,,,,,,,,
192,0.593,,,,,,,,,,
193,0.463,,,,,,,,,,
194,0.511,,,,,,,,,,
195,0.628,,,,,,,,,,
196,0.344,,,,,,,,,,
197,0.326,,,,,,,,,,
198,0.369,,,,,,,,,,
199,0.658,,,,,,,,,,
200,0.267,,,,,,,,,,
201,0.271,,,,,,,,,,
202,0.489,,,,,,,,,,
203,0.186,,,,,,,,,,
204,0.171,,,,,,,,,,
205,0.306,,,,,,,,,,
206,0.538,,,,,,,,,,
207,0.335,,,,,,,,,,
208,0.462,,,,,,,,,,
209,0.713,,,,,,,,,,
210,0.421,,,,,,,,,,
211,0.487,,,,,,,,,,
212,0.667,,,,,,,,,,
213,0.296,,,,,,,,,,
214,0.253,,,,,,,,,,
215,0.347,,,,,,,,,,
216,0.679,,,,,,,,,,
217,0.182,,,,,,,,,,
218,0.164,,,,,,,,,,
219,0.311,,,,,,,,,,
220,0.336,,,,,,,,,,
221,0.346,,,,,,,,,,
222,0.434,,,,,,,,,,
223,0.282,,,,,,,,,,
224,0.282,,,,,,,,,,
225,0.285,,,,,,,,,,
226,0.392,,,,,,,,,,
227,0.629,,,,,,,,,,
228,0.301,,,,,,,,,,
229,0.334,,,,,,,,,,
230,0.313,,,,,,,,,,
231,0.433,,,,,,,,,,
232,0.572,,,,,,,,,,
233,0.706,,,,,,,,,,
234,0.66,,,,,,,,,,
235,0.341,,,,,,,,,,
236,0.618,,,,,,,,,,
237,0.659,,,,,,,,,,
238,0.679,,,,,,,,,,
239,0.308,,,,,,,,,,
240,0.298,,,,,,,,,,
241,0.549,,,,,,,,,,
242,0.388,,,,,,,,,,
243,0.433,,,,,,,,,,
244,0.574,,,,,,,,,,
245,0.4,,,,,,,,,,
246,0.453,,,,,,,,,,
247,0.573,,,,,,,,,,
248,0.309,,,,,,,,,,
249,0.33,,,,,,,,,,
250,0.613,,,,,,,,,,
251,0.337,,,,,,,,,,
252,0.397,,,,,,,,,,
253,0.536,,,,,,,,,,
254,0.332,,,,,,,,,,
255,0.416,,,,,,,,,,
256,0.61,,,,,,,,,,
257,0.274,,,,,,,,,,
258,0.598,,,,,,,,,,
259,0.44,,,,,,,,,,
260,0.609,,,,,,,,,,
261,0.489,,,,,,,,,,
262,0.595,,,,,,,,,,
263,0.39,,,,,,,,,,
264,0.633,,,,,,,,,,
265,0.3,,,,,,,,,,
266,0.324,,,,,,,,,,
267,0.398,,,,,,,,,,
268,0.433,,,,,,,,,,
269,0.591,,,,,,,,,,
270,0.478,,,,,,,,,,
271,0.576,,,,,,,,,,
272,0.7,,,,,,,,,,
273,0.415,,,,,,,,,,
274,0.331,,,,,,,,,,
275,0.627,,,,,,,,,,
276,0.159,,,,,,,,,,
277,0.199,,,,,,,,,,
278,0.405,,,,,,,,,,
279,0.578,,,,,,,,,,
280,0.665,,,,,,,,,,
281,0.196,,,,,,,,,,
282,0.25,,,,,,,,,,
283,0.555,,,,,,,,,,
284,0.231,,,,,,,,,,
285,0.33,,,,,,,,,,
286,0.609,,,,,,,,,,
287,0.138,,,,,,,,,,
288,0.147,,,,,,,,,,
289,0.475,,,,,,,,,,
290,0.291,,,,,,,,,,
291,0.42,,,,,,,,,,
292,0.533,,,,,,,,,,
293,0.346,,,,,,,,,,
294,0.431,,,,,,,,,,
295,0.565,,,,,,,,,,
296,0.191,,,,,,,,,,
297,0.155,,,,,,,,,,
298,0.278,,,,,,,,,,
299,0.603,,,,,,,,,,
300,0.243,,,,,,,,,,
301,0.448,,,,,,,,,,
