,Sentinel-2,,,Landsat-8,,,,,,,
819,0.154,,,,,,,,,,
820,0.583,,,,,,,,,,
821,0.376,,,,,,,,,,
822,0.643,,,,,,,,,,
823,0.182,,,,,,,,,,
824,0.195,,,,,,,,,,
825,0.308,,,,,,,,,,
826,0.58,,,,,,,,,,
827,0.422,,,,,,,,,,
828,0.561,,,,,,,,,,
829,0.624,,,,,,,,,,
830,0.686,,,,,,,,,,
831,0.684,,,,,,,,,,
832,0.531,,,,,,,,,,
833,0.715,,,,,,,,,,
834,0.644,,,,,,,,,,
835,0.704,,,,,,,,,,
836,0.731,,,,,,,,,,
837,0.585,,,,,,,,,,
838,0.233,,,,,,,,,,
839,0.21,,,,,,,,,,
840,0.565,,,,,,,,,,
841,0.435,,,,,,,,,,
842,0.585,,,,,,,,,,
843,0.592,,,,,,,,,,
844,0.536,,,,,,,,,,
845,0.535,,,,,,,,,,
846,0.506,,,,,,,,,,
847,0.426,,,,,,,,,,
848,0.499,,,,,,,,,,
849,0.283,,,,,,,,,,
850,0.253,,,,,,,,,,
851,0.605,,,,,,,,,,
852,0.435,,,,,,,,,,
853,0.605,,,,,,,,,,
854,0.285,,,,,,,,,,
855,0.471,,,,,,,,,,
856,0.604,,,,,,,,,,
857,0.526,,,,,,,,,,
858,0.718,,,,,,,,,,
859,0.234,,,,,,,,,,
860,0.234,,,,,,,,,,
861,0.381,,,,,,,,,,
862,0.652,,,,,,,,,,
863,0.143,,,,,,,,,,
864,0.087,,,,,,,,,,
865,0.197,,,,,,,,,,
866,0.272,,,,,,,,,,
867,0.419,,,,,,,,,,
868,0.495,,,,,,,,,,
869,0.709,,,,,,,,,,
870,0.749,,,,,,,,,,
871,0.426,,,,,,,,,,
872,0.606,,,,,,,,,,
873,0.499,,,,,,,,,,
874,0.668,,,,,,,,,,
875,0.631,,,,,,,,,,
876,0.689,,,,,,,,,,
877,0.695,,,,,,,,,,
878,0.558,,,,,,,,,,
879,0.574,,,,,,,,,,
880,0.56,,,,,,,,,,
881,0.22,,,,,,,,,,
882,0.226,,,,,,,,,,
883,0.595,,,,,,,,,,
884,0.374,,,,,,,,,,
885,0.591,,,,,,,,,,
886,0.57,,,,,,,,,,
887,0.569,,,,,,,,,,
888,0.642,,,,,,,,,,
889,0.516,,,,,,,,,,
890,0.149,,,,,,,,,,
891,0.137,,,,,,,,,,
892,0.334,,,,,,,,,,
893,0.473,,,,,,,,,,
894,0.509,,,,,,,,,,
895,0.539,,,,,,,,,,
896,0.491,,,,,,,,,,
897,0.446,,,,,,,,,,
898,0.46,,,,,,,,,,
899,0.697,,,,,,,,,,
900,0.453,,,,,,,,,,
901,0.128,,,,,,,,,,
902,0.15,,,,,,,,,,
903,0.282,,,,,,,,,,
904,0.354,,,,,,,,,,
905,0.449,,,,,,,,,,
906,0.445,,,,,,,,,,
907,0.5,,,,,,,,,,
908,0.305,,,,,,,,,,
909,0.428,,,,,,,,,,
910,0.366,,,,,,,,,,
911,0.367,,,,,,,,,,
912,0.509,,,,,,,,,,
913,0.363,,,,,,,,,,
914,0.428,,,,,,,,,,
915,0.577,,,,,,,,,,
916,0.146,,,,,,,,,,
917,0.143,,,,,,,,,,
918,0.279,,,,,,,,,,
919,0.647,,,,,,,,,,
920,0.553,,,,,,,,,,
921,0.307,,,,,,,,,,
922,0.448,,,,,,,,,,
923,0.697,,,,,,,,,,
924,0.579,,,,,,,,,,
925,0.407,,,,,,,,,,
926,0.487,,,,,,,,,,
927,0.162,,,,,,,,,,
928,0.219,,,,,,,,,,
929,0.315,,,,,,,,,,
930,0.844,,,,,,,,,,
931,0.363,,,,,,,,,,
932,0.619,,,,,,,,,,
933,0.434,,,,,,,,,,
934,0.193,,,,,,,,,,
935,0.178,,,,,,,,,,
936,0.252,,,,,,,,,,
937,0.358,,,,,,,,,,
938,0.438,,,,,,,,,,
939,0.675,,,,,,,,,,
940,0.399,,,,,,,,,,
941,0.508,,,,,,,,,,
942,0.369,,,,,,,,,,
943,0.464,,,,,,,,,,
944,0.559,,,,,,,,,,
945,0.518,,,,,,,,,,
946,0.269,,,,,,,,,,
947,0.327,,,,,,,,,,
948,0.449,,,,,,,,,,
949,0.496,,,,,,,,,,
950,0.583,,,,,,,,,,
951,0.415,,,,,,,,,,
952,0.645,,,,,,,,,,
953,0.104,,,,,,,,,,
954,0.119,,,,,,,,,,
955,0.579,,,,,,,,,,
956,0.582,,,,,,,,,,
957,0.622,,,,,,,,,,
958,0.551,,,,,,,,,,
959,0.568,,,,,,,,,,
960,0.577,,,,,,,,,,
961,0.51,,,,,,,,,,
962,0.562,,,,,,,,,,
963,0.642,,,,,,,,,,
964,0.588,,,,,,,,,,
965,0.648,,,,,,,,,,
966,0.648,,,,,,,,,,
967,0.242,,,,,,,,,,
968,0.565,,,,,,,,,,
969,0.518,,,,,,,,,,
970,0.376,,,,,,,,,,
971,0.452,,,,,,,,,,
972,0.603,,,,,,,,,,
973,0.516,,,,,,,,,,
974,0.398,,,,,,,,,,
975,0.461,,,,,,,,,,
976,0.574,,,,,,,,,,
977,0.252,,,,,,,,,,
978,0.309,,,,,,,,,,
979,0.641,,,,,,,,,,
980,0.383,,,,,,,,,,
981,0.329,,,,,,,,,,
982,0.223,,,,,,,,,,
983,0.364,,,,,,,,,,
984,0.264,,,,,,,,,,
985,0.525,,,,,,,,,,
986,0.243,,,,,,,,,,
987,0.348,,,,,,,,,,
988,0.574,,,,,,,,,,
989,0.159,,,,,,,,,,
990,0.205,,,,,,,,,,
991,0.326,,,,,,,,,,
992,0.395,,,,,,,,,,
993,0.458,,,,,,,,,,
994,0.381,,,,,,,,,,
995,0.122,,,,,,,,,,
996,0.222,,,,,,,,,,
997,0.553,,,,,,,,,,
998,0.136,,,,,,,,,,
999,0.353,,,,,,,,,,
"1,000",0.594,,,,,,,,,,
"1,001",0.245,,,,,,,,,,
"1,002",0.159,,,,,,,,,,
"1,003",0.258,,,,,,,,,,
"1,004",0.594,,,,,,,,,,
"1,005",0.498,,,,,,,,,,
"1,006",0.292,,,,,,,,,,
"1,007",0.419,,,,,,,,,,
"1,008",0.604,,,,,,,,,,
"1,009",0.495,,,,,,,,,,
"1,010",0.371,,,,,,,,,,
"1,011",0.464,,,,,,,,,,
"1,012",0.578,,,,,,,,,,
"1,013",0.276,,,,,,,,,,
"1,014",0.234,,,,,,,,,,
"1,015",0.37,,,,,,,,,,
"1,016",0.641,,,,,,,,,,
"1,017",0.189,,,,,,,,,,
"1,018",0.222,,,,,,,,,,
"1,019",0.545,,,,,,,,,,
"1,020",0.194,,,,,,,,,,
"1,021",0.348,,,,,,,,,,
"1,022",0.59,,,,,,,,,,
"1,023",0.618,,,,,,,,,,
"1,024",0.731,,,,,,,,,,
"1,025",0.192,,,,,,,,,,
"1,026",0.208,,,,,,,,,,
"1,027",0.182,,,,,,,,,,
"1,028",0.338,,,,,,,,,,
"1,029",0.588,,,,,,,,,,
"1,030",0.393,,,,,,,,,,
"1,031",0.348,,,,,,,,,,
"1,032",0.602,,,,,,,,,,
"1,033",0.44,,,,,,,,,,
"1,034",0.616,,,,,,,,,,
"1,035",0.619,,,,,,,,,,
"1,036",0.541,,,,,,,,,,
"1,037",0.662,,,,,,,,,,
"1,038",0.16,,,,,,,,,,
"1,039",0.137,,,,,,,,,,
"1,040",0.392,,,,,,,,,,
"1,041",0.648,,,,,,,,,,
"1,042",0.664,,,,,,,,,,
"1,043",0.615,,,,,,,,,,
"1,044",0.437,,,,,,,,,,
"1,045",0.617,,,,,,,,,,
"1,046",0.448,,,,,,,,,,
"1,047",0.393,,,,,,,,,,
"1,048",0.373,,,,,,,,,,
"1,049",0.333,,,,,,,,,,
"1,050",0.403,,,,,,,,,,
"1,051",0.418,,,,,,,,,,
"1,052",0.362,,,,,,,,,,
"1,053",0.18,,,,,,,,,,
"1,054",0.529,,,,,,,,,,
"1,055",0.178,,,,,,,,,,
"1,056",0.3,,,,,,,,,,
"1,057",0.169,,,,,,,,,,
"1,058",0.415,,,,,,,,,,
"1,059",0.531,,,,,,,,,,
"1,060",0.468,,,,,,,,,,
"1,061",0.563,,,,,,,,,,
"1,062",0.279,,,,,,,,,,
"1,063",0.237,,,,,,,,,,
"1,064",0.311,,,,,,,,,,
"1,065",0.449,,,,,,,,,,
"1,066",0.325,,,,,,,,,,
"1,067",0.152,,,,,,,,,,
"1,068",0.104,,,,,,,,,,
"1,069",0.206,,,,,,,,,,
"1,070",0.606,,,,,,,,,,
"1,071",0.492,,,,,,,,,,
"1,072",0.287,,,,,,,,,,
"1,073",0.399,,,,,,,,,,
"1,074",0.619,,,,,,,,,,
"1,075",0.532,,,,,,,,,,
"1,076",0.382,,,,,,,,,,
"1,077",0.482,,,,,,,,,,
"1,078",0.611,,,,,,,,,,
"1,079",0.216,,,,,,,,,,
"1,080",0.651,,,,,,,,,,
"1,081",0.281,,,,,,,,,,
"1,082",0.391,,,,,,,,,,
"1,083",0.268,,,,,,,,,,
"1,084",0.308,,,,,,,,,,
"1,085",0.521,,,,,,,,,,
"1,086",0.584,,,,,,,,,,
"1,087",0.534,,,,,,,,,,
"1,088",0.595,,,,,,,,,,
"1,089",0.601,,,,,,,,,,
"1,090",0.348,,,,,,,,,,
"1,091",0.691,,,,,,,,,,
"1,092",0.497,,,,,,,,,,
"1,093",0.717,,,,,,,,,,
"1,094",0.603,,,,,,,,,,
"1,095",0.491,,,,,,,,,,
"1,096",0.539,,,,,,,,,,
"1,097",0.706,,,,,,,,,,
"1,098",0.504,,,,,,,,,,
"1,099",0.431,,,,,,,,,,
"1,100",0.437,,,,,,,,,,
"1,101",0.741,,,,,,,,,,
"1,102",0.583,,,,,,,,,,
"1,103",0.562,,,,,,,,,,
"1,104",0.626,,,,,,,,,,
"1,105",0.598,,,,,,,,,,
"1,106",0.641,,,,,,,,,,
"1,107",0.69,,,,,,,,,,
"1,108",0.272,,,,,,,,,,
"1,109",0.763,,,,,,,,,,
"1,110",0.563,,,,,,,,,,
"1,111",0.517,,,,,,,,,,
"1,112",0.373,,,,,,,,,,
"1,113",0.267,,,,,,,,,,
"1,114",1.326,,,,,,,,,,
"1,115",1.026,,,,,,,,,,
"1,116",0.389,,,,,,,,,,
"1,117",0.67,,,,,,,,,,
"1,118",0.663,,,,,,,,,,
"1,119",0.545,,,,,,,,,,
"1,120",0.51,,,,,,,,,,
"1,121",0.654,,,,,,,,,,
"1,122",0.535,,,,,,,,,,
"1,123",0.573,,,,,,,,,,
"1,124",0.109,,,,,,,,,,
"1,125",0.292,,,,,,,,,,
"1,126",0.255,,,,,,,,,,
"1,127",0.291,,,,,,,,,,
"1,128",0.538,,,,,,,,,,
"1,129",0.696,,,,,,,,,,
"1,130",0.211,,,,,,,,,,
"1,131",0.331,,,,,,,,,,
"1,132",0.416,,,,,,,,,,
"1,133",0.679,,,,,,,,,,
"1,134",0.596,,,,,,,,,,
"1,135",0.648,,,,,,,,,,
"1,136",0.677,,,,,,,,,,
"1,137",0.187,,,,,,,,,,
"1,138",0.175,,,,,,,,,,
"1,139",0.3,,,,,,,,,,
"1,140",0.364,,,,,,,,,,
"1,141",0.577,,,,,,,,,,
"1,142",0.587,,,,,,,,,,
"1,143",0.188,,,,,,,,,,
"1,144",0.584,,,,,,,,,,
"1,145",0.371,,,,,,,,,,
"1,146",0.504,,,,,,,,,,
"1,147",0.115,,,,,,,,,,
"1,148",0.181,,,,,,,,,,
"1,149",0.325,,,,,,,,,,
"1,150",0.764,,,,,,,,,,
"1,151",0.588,,,,,,,,,,
"1,152",0.285,,,,,,,,,,
"1,153",0.198,,,,,,,,,,
"1,154",0.643,,,,,,,,,,
"1,155",0.458,,,,,,,,,,
"1,156",0.674,,,,,,,,,,
"1,157",0.604,,,,,,,,,,
"1,158",0.48,,,,,,,,,,
"1,159",0.534,,,,,,,,,,
"1,160",0.662,,,,,,,,,,
"1,161",0.414,,,,,,,,,,
"1,162",0.324,,,,,,,,,,
"1,163",0.445,,,,,,,,,,
"1,164",0.683,,,,,,,,,,
"1,165",0.512,,,,,,,,,,
"1,166",0.597,,,,,,,,,,
"1,167",0.64,,,,,,,,,,
"1,168",0.511,,,,,,,,,,
"1,169",0.618,,,,,,,,,,
"1,170",0.459,,,,,,,,,,
"1,171",0.623,,,,,,,,,,
"1,172",0.54,,,,,,,,,,
"1,173",0.535,,,,,,,,,,
"1,174",0.538,,,,,,,,,,
"1,175",0.593,,,,,,,,,,
"1,176",0.276,,,,,,,,,,
"1,177",0.162,,,,,,,,,,
"1,178",0.221,,,,,,,,,,
"1,179",0.613,,,,,,,,,,
"1,180",0.379,,,,,,,,,,
"1,181",0.461,,,,,,,,,,
"1,182",0.655,,,,,,,,,,
"1,183",0.632,,,,,,,,,,
"1,184",0.51,,,,,,,,,,
"1,185",0.561,,,,,,,,,,
"1,186",0.412,,,,,,,,,,
"1,187",0.329,,,,,,,,,,
"1,188",0.413,,,,,,,,,,
"1,189",0.481,,,,,,,,,,
"1,190",0.492,,,,,,,,,,
"1,191",0.234,,,,,,,,,,
"1,192",0.658,,,,,,,,,,
"1,193",0.707,,,,,,,,,,
"1,194",0.44,,,,,,,,,,
"1,195",0.64,,,,,,,,,,
"1,196",0.648,,,,,,,,,,
"1,197",0.467,,,,,,,,,,
"1,198",0.483,,,,,,,,,,
"1,199",0.403,,,,,,,,,,
"1,200",0.29,,,,,,,,,,
"1,201",0.333,,,,,,,,,,
"1,202",0.515,,,,,,,,,,
"1,203",0.321,,,,,,,,,,
"1,204",0.42,,,,,,,,,,
"1,205",0.558,,,,,,,,,,
"1,206",0.594,,,,,,,,,,
"1,207",0.608,,,,,,,,,,
"1,208",0.273,,,,,,,,,,
"1,209",0.399,,,,,,,,,,
"1,210",0.546,,,,,,,,,,
"1,211",0.294,,,,,,,,,,
"1,212",0.453,,,,,,,,,,
"1,213",0.585,,,,,,,,,,
"1,214",0.212,,,,,,,,,,
"1,215",0.24,,,,,,,,,,
"1,216",0.188,,,,,,,,,,
"1,217",0.352,,,,,,,,,,
"1,218",0.391,,,,,,,,,,
"1,219",0.302,,,,,,,,,,
"1,220",0.627,,,,,,,,,,
"1,221",0.748,,,,,,,,,,
"1,222",0.251,,,,,,,,,,
"1,223",0.559,,,,,,,,,,
"1,224",0.186,,,,,,,,,,
"1,225",0.365,,,,,,,,,,
"1,226",0.581,,,,,,,,,,
"1,227",0.221,,,,,,,,,,
"1,228",0.578,,,,,,,,,,
"1,229",0.429,,,,,,,,,,
"1,230",0.598,,,,,,,,,,
"1,231",0.606,,,,,,,,,,
"1,232",0.645,,,,,,,,,,
"1,233",0.327,,,,,,,,,,
"1,234",0.362,,,,,,,,,,
"1,235",0.431,,,,,,,,,,
"1,236",0.256,,,,,,,,,,
"1,237",0.231,,,,,,,,,,
"1,238",0.192,,,,,,,,,,
"1,239",0.288,,,,,,,,,,
"1,240",0.598,,,,,,,,,,
"1,241",0.398,,,,,,,,,,
"1,242",0.602,,,,,,,,,,
"1,243",0.251,,,,,,,,,,
"1,244",0.609,,,,,,,,,,
"1,245",0.279,,,,,,,,,,
"1,246",0.287,,,,,,,,,,
"1,247",0.362,,,,,,,,,,
"1,248",0.153,,,,,,,,,,
"1,249",0.155,,,,,,,,,,
"1,250",0.231,,,,,,,,,,
"1,251",0.568,,,,,,,,,,
"1,252",0.624,,,,,,,,,,
"1,253",0.304,,,,,,,,,,
"1,254",0.273,,,,,,,,,,
"1,255",0.102,,,,,,,,,,
"1,256",0.102,,,,,,,,,,
"1,257",0.414,,,,,,,,,,
"1,258",0.255,,,,,,,,,,
"1,259",0.281,,,,,,,,,,
"1,260",0.146,,,,,,,,,,
"1,261",0.107,,,,,,,,,,
"1,262",0.7,,,,,,,,,,
"1,263",0.293,,,,,,,,,,
"1,264",0.498,,,,,,,,,,
"1,265",0.325,,,,,,,,,,
"1,266",0.348,,,,,,,,,,
"1,267",0.522,,,,,,,,,,
"1,268",0.352,,,,,,,,,,
"1,269",0.577,,,,,,,,,,
"1,270",0.461,,,,,,,,,,
"1,271",0.661,,,,,,,,,,
"1,272",0.62,,,,,,,,,,
"1,273",0.585,,,,,,,,,,
"1,274",0.316,,,,,,,,,,
"1,275",0.301,,,,,,,,,,
"1,276",0.539,,,,,,,,,,
"1,277",0.327,,,,,,,,,,
"1,278",0.396,,,,,,,,,,
"1,279",0.528,,,,,,,,,,
"1,280",0.302,,,,,,,,,,
"1,281",0.267,,,,,,,,,,
"1,282",0.592,,,,,,,,,,
"1,283",0.452,,,,,,,,,,
"1,284",0.59,,,,,,,,,,
"1,285",0.395,,,,,,,,,,
"1,286",0.472,,,,,,,,,,
"1,287",0.279,,,,,,,,,,
"1,288",0.393,,,,,,,,,,
"1,289",0.611,,,,,,,,,,
"1,290",0.295,,,,,,,,,,
"1,291",0.3,,,,,,,,,,
"1,292",0.395,,,,,,,,,,
"1,293",0.492,,,,,,,,,,
"1,294",0.653,,,,,,,,,,
"1,295",0.49,,,,,,,,,,
"1,296",0.562,,,,,,,,,,
"1,297",0.409,,,,,,,,,,
"1,298",0.62,,,,,,,,,,
"1,299",0.321,,,,,,,,,,
"1,300",0.547,,,,,,,,,,
"1,301",0.368,,,,,,,,,,
"1,302",0.391,,,,,,,,,,
"1,303",0.588,,,,,,,,,,
"1,304",0.626,,,,,,,,,,
"1,305",0.599,,,,,,,,,,
"1,306",0.57,,,,,,,,,,
"1,307",0.577,,,,,,,,,,
"1,308",4.024,,,,,,,,,,
"1,309",0.226,,,,,,,,,,
"1,310",0.219,,,,,,,,,,
"1,311",0.448,,,,,,,,,,
"1,312",0.246,,,,,,,,,,
"1,313",0.317,,,,,,,,,,
"1,314",0.494,,,,,,,,,,
"1,315",0.316,,,,,,,,,,
"1,316",0.521,,,,,,,,,,
"1,317",0.423,,,,,,,,,,
"1,318",0.546,,,,,,,,,,
"1,319",0.245,,,,,,,,,,
"1,320",0.221,,,,,,,,,,
"1,321",0.522,,,,,,,,,,
"1,322",0.253,,,,,,,,,,
"1,323",0.373,,,,,,,,,,
"1,324",0.564,,,,,,,,,,
"1,325",0.606,,,,,,,,,,
"1,326",0.241,,,,,,,,,,
"1,327",0.134,,,,,,,,,,
"1,328",0.153,,,,,,,,,,
"1,329",0.164,,,,,,,,,,
"1,330",0.237,,,,,,,,,,
"1,331",0.433,,,,,,,,,,
"1,332",0.314,,,,,,,,,,
"1,333",0.549,,,,,,,,,,
"1,334",0.161,,,,,,,,,,
"1,335",0.161,,,,,,,,,,
"1,336",0.423,,,,,,,,,,
"1,337",0.358,,,,,,,,,,
"1,338",0.584,,,,,,,,,,
"1,339",0.383,,,,,,,,,,
"1,340",0.13,,,,,,,,,,
"1,341",0.174,,,,,,,,,,
"1,342",0.73,,,,,,,,,,
"1,343",0.392,,,,,,,,,,
"1,344",0.238,,,,,,,,,,
"1,345",0.83,,,,,,,,,,
"1,346",0.305,,,,,,,,,,
"1,347",0.221,,,,,,,,,,
"1,348",0.256,,,,,,,,,,
"1,349",0.598,,,,,,,,,,
"1,350",0.339,,,,,,,,,,
"1,351",0.429,,,,,,,,,,
"1,352",0.615,,,,,,,,,,
"1,353",0.509,,,,,,,,,,
"1,354",0.619,,,,,,,,,,
"1,355",0.723,,,,,,,,,,
"1,356",0.33,,,,,,,,,,
"1,357",0.271,,,,,,,,,,
"1,358",0.346,,,,,,,,,,
"1,359",0.148,,,,,,,,,,
"1,360",0.232,,,,,,,,,,
"1,361",0.356,,,,,,,,,,
"1,362",0.286,,,,,,,,,,
"1,363",0.541,,,,,,,,,,
"1,364",0.229,,,,,,,,,,
"1,365",0.355,,,,,,,,,,
"1,366",0.245,,,,,,,,,,
"1,367",0.202,,,,,,,,,,
"1,368",0.241,,,,,,,,,,
"1,369",0.372,,,,,,,,,,
"1,370",0.473,,,,,,,,,,
"1,371",0.372,,,,,,,,,,
"1,372",0.373,,,,,,,,,,
"1,373",0.301,,,,,,,,,,
"1,374",0.692,,,,,,,,,,
"1,375",0.251,,,,,,,,,,
"1,376",0.25,,,,,,,,,,
"1,377",0.393,,,,,,,,,,
"1,378",0.529,,,,,,,,,,
"1,379",0.323,,,,,,,,,,
"1,380",0.541,,,,,,,,,,
"1,381",0.557,,,,,,,,,,
"1,382",0.434,,,,,,,,,,
"1,383",0.591,,,,,,,,,,
"1,384",0.301,,,,,,,,,,
"1,385",0.311,,,,,,,,,,
"1,386",0.368,,,,,,,,,,
"1,387",0.189,,,,,,,,,,
"1,388",0.403,,,,,,,,,,
"1,389",0.364,,,,,,,,,,
"1,390",0.298,,,,,,,,,,
"1,391",0.541,,,,,,,,,,
"1,392",0.258,,,,,,,,,,
"1,393",0.668,,,,,,,,,,
"1,394",0.226,,,,,,,,,,
"1,395",0.253,,,,,,,,,,
"1,396",0.683,,,,,,,,,,
"1,397",0.621,,,,,,,,,,
"1,398",0.898,,,,,,,,,,
"1,399",0.789,,,,,,,,,,
"1,400",0.706,,,,,,,,,,
"1,401",0.275,,,,,,,,,,
"1,402",0.222,,,,,,,,,,
"1,403",0.301,,,,,,,,,,
"1,404",0.564,,,,,,,,,,
"1,405",0.393,,,,,,,,,,
"1,406",0.59,,,,,,,,,,
"1,407",0.276,,,,,,,,,,
"1,408",0.682,,,,,,,,,,
"1,409",0.596,,,,,,,,,,
"1,410",0.419,,,,,,,,,,
"1,411",0.544,,,,,,,,,,
"1,412",0.607,,,,,,,,,,
"1,413",0.605,,,,,,,,,,
"1,414",0.62,,,,,,,,,,
"1,415",0.522,,,,,,,,,,
"1,416",0.219,,,,,,,,,,
"1,417",0.302,,,,,,,,,,
"1,418",0.714,,,,,,,,,,
"1,419",0.618,,,,,,,,,,
"1,420",0.701,,,,,,,,,,
"1,421",0.376,,,,,,,,,,
"1,422",0.146,,,,,,,,,,
"1,423",0.154,,,,,,,,,,
"1,424",0.556,,,,,,,,,,
"1,425",0.338,,,,,,,,,,
"1,426",0.611,,,,,,,,,,
"1,427",0.607,,,,,,,,,,
"1,428",0.7,,,,,,,,,,
"1,429",0.1,,,,,,,,,,
"1,430",0.56,,,,,,,,,,
"1,431",0.711,,,,,,,,,,
"1,432",0.728,,,,,,,,,,
"1,433",0.236,,,,,,,,,,
"1,434",0.595,,,,,,,,,,
"1,435",0.616,,,,,,,,,,
"1,436",0.613,,,,,,,,,,
"1,437",0.75,,,,,,,,,,
"1,438",0.127,,,,,,,,,,
"1,439",0.545,,,,,,,,,,
"1,440",0.344,,,,,,,,,,
"1,441",0.605,,,,,,,,,,
"1,442",0.596,,,,,,,,,,
"1,443",0.333,,,,,,,,,,
"1,444",0.489,,,,,,,,,,
"1,445",0.248,,,,,,,,,,
"1,446",0.231,,,,,,,,,,
"1,447",0.411,,,,,,,,,,
"1,448",0.608,,,,,,,,,,
"1,449",0.548,,,,,,,,,,
"1,450",0.443,,,,,,,,,,
"1,451",0.604,,,,,,,,,,
"1,452",0.096,,,,,,,,,,
"1,453",0.388,,,,,,,,,,
"1,454",0.44,,,,,,,,,,
"1,455",0.154,,,,,,,,,,
"1,456",0.188,,,,,,,,,,
"1,457",0.333,,,,,,,,,,
"1,458",0.268,,,,,,,,,,
"1,459",0.174,,,,,,,,,,
"1,460",0.118,,,,,,,,,,
"1,461",0.251,,,,,,,,,,
"1,462",0.361,,,,,,,,,,
"1,463",0.173,,,,,,,,,,
"1,464",0.316,,,,,,,,,,
"1,465",0.483,,,,,,,,,,
"1,466",0.62,,,,,,,,,,
"1,467",0.327,,,,,,,,,,
"1,468",0.253,,,,,,,,,,
"1,469",0.581,,,,,,,,,,
"1,470",0.602,,,,,,,,,,
"1,471",0.633,,,,,,,,,,
"1,472",0.171,,,,,,,,,,
"1,473",0.106,,,,,,,,,,
"1,474",0.228,,,,,,,,,,
"1,475",0.565,,,,,,,,,,
"1,476",0.12,,,,,,,,,,
"1,477",0.352,,,,,,,,,,
"1,478",0.581,,,,,,,,,,
"1,479",0.187,,,,,,,,,,
"1,480",0.229,,,,,,,,,,
"1,481",0.263,,,,,,,,,,
"1,482",0.156,,,,,,,,,,
"1,483",0.087,,,,,,,,,,
"1,484",0.218,,,,,,,,,,
"1,485",0.099,,,,,,,,,,
"1,486",0.262,,,,,,,,,,
"1,487",0.223,,,,,,,,,,
"1,488",0.27,,,,,,,,,,
"1,489",0.573,,,,,,,,,,
"1,490",0.493,,,,,,,,,,
"1,491",0.357,,,,,,,,,,
"1,492",0.44,,,,,,,,,,
"1,493",0.596,,,,,,,,,,
"1,494",0.403,,,,,,,,,,
"1,495",0.473,,,,,,,,,,
"1,496",0.584,,,,,,,,,,
"1,497",0.243,,,,,,,,,,
"1,498",0.364,,,,,,,,,,
"1,499",0.619,,,,,,,,,,
"1,500",0.13,,,,,,,,,,
"1,501",0.234,,,,,,,,,,
"1,502",0.544,,,,,,,,,,
"1,503",0.14,,,,,,,,,,
"1,504",0.354,,,,,,,,,,
"1,505",0.582,,,,,,,,,,
"1,506",0.209,,,,,,,,,,
"1,507",0.714,,,,,,,,,,
"1,508",0.473,,,,,,,,,,
"1,509",0.332,,,,,,,,,,
"1,510",0.635,,,,,,,,,,
"1,511",0.202,,,,,,,,,,
"1,512",0.209,,,,,,,,,,
"1,513",0.359,,,,,,,,,,
"1,514",0.545,,,,,,,,,,
"1,515",0.343,,,,,,,,,,
"1,516",0.175,,,,,,,,,,
"1,517",0.326,,,,,,,,,,
"1,518",0.587,,,,,,,,,,
"1,519",0.384,,,,,,,,,,
"1,520",0.465,,,,,,,,,,
"1,521",0.613,,,,,,,,,,
"1,522",0.468,,,,,,,,,,
"1,523",0.48,,,,,,,,,,
"1,524",0.596,,,,,,,,,,
"1,525",0.335,,,,,,,,,,
"1,526",0.373,,,,,,,,,,
"1,527",0.625,,,,,,,,,,
"1,528",0.178,,,,,,,,,,
"1,529",0.553,,,,,,,,,,
"1,530",0.447,,,,,,,,,,
"1,531",0.335,,,,,,,,,,
"1,532",0.45,,,,,,,,,,
"1,533",0.566,,,,,,,,,,
"1,534",0.449,,,,,,,,,,
"1,535",0.305,,,,,,,,,,
"1,536",0.41,,,,,,,,,,
"1,537",0.55,,,,,,,,,,
"1,538",0.225,,,,,,,,,,
"1,539",0.18,,,,,,,,,,
"1,540",0.291,,,,,,,,,,
"1,541",0.595,,,,,,,,,,
"1,542",0.099,,,,,,,,,,
"1,543",0.115,,,,,,,,,,
"1,544",0.283,,,,,,,,,,
"1,545",0.352,,,,,,,,,,
"1,546",0.53,,,,,,,,,,
"1,547",0.429,,,,,,,,,,
"1,548",0.57,,,,,,,,,,
"1,549",0.609,,,,,,,,,,
"1,550",0.612,,,,,,,,,,
"1,551",0.2,,,,,,,,,,
"1,552",0.509,,,,,,,,,,
"1,553",0.265,,,,,,,,,,
"1,554",0.353,,,,,,,,,,
"1,555",0.551,,,,,,,,,,
"1,556",0.687,,,,,,,,,,
"1,557",0.612,,,,,,,,,,
"1,558",0.279,,,,,,,,,,
"1,559",0.178,,,,,,,,,,
"1,560",0.178,,,,,,,,,,
"1,561",0.226,,,,,,,,,,
"1,562",0.275,,,,,,,,,,
"1,563",0.489,,,,,,,,,,
