system:index,blue_L8_2,green_L8_2,landcover_L8_2,nir_L8_2,red_L8_2,swir1_L8_2,swir2_L8_2,blue_S2_2,green_S2_2,landcover_S2_2,nir_S2_2,red_S2_2,swir1_S2_2,swir2_S2_2
00000000000000000001_0,0.11632,0.16528,0,0.12952,0.14356,0.12964,0.0804,0.0518,0.0885,0,0.0595,0.0646,0.06625,0.0516
00000000000000000004_0,0.04592,0.10984,0,0.0419600000000001,0.0900800000000001,0.033,0.02704,0.0635,0.0982,0,0.03725,0.07815,0.0221,0.019
00000000000000000007_0,0.0751200000000001,0.1324,0,0.45852,0.11964,0.26516,0.14492,0.0594,0.088,0,0.3115,0.0672,0.19195,0.12055
0000000000000000000c_0,0.08064,0.11618,0,0.42394,0.11346,0.26346,0.16766,0.0782,0.1062,0,0.23495,0.11295,0.1932,0.1127
0000000000000000000d_0,0.0651000000000001,0.10008,0,0.0227800000000001,0.0473200000000001,0.0233400000000001,0.02036,0.0852,0.09895,0,0.02575,0.05525,0.02405,0.02175
00000000000000000013_0,0.02996,0.0588000000000001,0,0.28432,0.0436800000000001,0.12124,0.05216,0.0484,0.0813,0,0.2122,0.0498,0.1153,0.0574
00000000000000000014_0,0.11028,0.17264,0,0.2378,0.16068,0.1254,0.0704400000000001,0.06225,0.0932,0,0.24585,0.0762,0.1307,0.06345
00000000000000000015_0,0.07368,0.10332,0,0.19792,0.0982000000000001,0.15636,0.10156,0.0417,0.0563,0,0.0778,0.0457,0.0559,0.0368
00000000000000000017_0,0.05182,0.08024,0,0.37522,0.0669400000000001,0.23574,0.1108,0.0325,0.0572,0,0.3397,0.0397,0.1743,0.0863
0000000000000000001a_0,0.13994,0.19102,0,0.1102,0.17772,0.0881000000000001,0.0707600000000001,0.0784,0.1095,0,0.01975,0.08885,0.01345,0.0129
0000000000000000001b_0,0.1082,0.15164,0,0.0482400000000001,0.11864,0.02352,0.0160400000000001,0.0903,0.1161,0,0.03175,0.0873,0.01615,0.0118
0000000000000000001c_0,0.0712800000000001,0.11184,0,0.2338,0.10856,0.17092,0.12244,0.09075,0.1032,0,0.15335,0.10295,0.14215,0.1121
0000000000000000001e_0,0.0384400000000001,0.10208,0,0.00992,0.05984,0.0234000000000001,0.0237800000000001,0.0989,0.1239,0,0.0442,0.0975,0.0209,0.0168
0000000000000000001f_0,0.02128,0.0667200000000001,0,0.59456,0.0329200000000001,0.21532,0.0774400000000001,0.0432,0.0507,0,0.3898,0.031,0.1587,0.0682
00000000000000000020_0,0.08856,0.12972,0,0.0657200000000001,0.10564,0.0323600000000001,0.02124,0.0736,0.089,0,0.0328,0.05475,0.02695,0.0232
00000000000000000022_0,0.05608,0.08876,0,0.17494,0.0725800000000001,0.10886,0.0570600000000001,0.0446,0.0623,0,0.1167,0.0507,0.0818,0.0464
00000000000000000025_0,0.11784,0.15964,0,0.42064,0.16112,0.34348,0.20492,0.08525,0.1065,0,0.2988,0.12125,0.2621,0.1808
00000000000000000026_0,0.0512800000000001,0.07694,0,0.39562,0.0546,0.21162,0.0987400000000001,0.0535,0.0853,0,0.4488,0.04835,0.23255,0.1119
00000000000000000027_0,0.03312,0.0844400000000001,0,0.201,0.0403600000000001,0.10824,0.0536,0.035,0.0523,0,0.0933,0.0387,0.0573,0.0375
0000000000000000002a_0,0.0441000000000001,0.0979400000000001,0,0.5226,0.0601600000000001,0.20674,0.07994,0.0362,0.0662,0,0.4408,0.0362,0.2036,0.0953
0000000000000000002b_0,0.10656,0.16086,0,0.15846,0.18324,0.0875800000000001,0.04592,0.0816,0.1176,0,0.08065,0.12565,0.01415,0.0111
0000000000000000002c_0,0.045,0.0860400000000001,0,0.49392,0.05832,0.20152,0.0718400000000001,0.0287,0.04535,0,0.29425,0.03325,0.1473,0.06645
0000000000000000002d_0,0.04442,0.12798,0,0.0,0.08408,0.0029,0.0055,0.0865,0.1187,0,0.02865,0.089,0.01485,0.0128
0000000000000000002e_0,0.04416,0.09656,0,0.2812,0.07224,0.13936,0.0710400000000001,0.0426,0.0752,0,0.12425,0.0549,0.07925,0.0485
0000000000000000002f_0,0.0842000000000001,0.1398,0,0.07336,0.0906400000000001,0.0292000000000001,0.0183200000000001,0.0814,0.1084,0,0.02835,0.06055,0.021,0.0181
00000000000000000030_0,0.0448200000000001,0.0709600000000001,0,0.33646,0.0555000000000001,0.22674,0.12734,0.0369,0.0558,0,0.2469,0.0404,0.1857,0.1106
00000000000000000033_0,0.11262,0.14428,0,0.1226,0.14044,0.12408,0.0993800000000001,0.09285,0.1045,0,0.09605,0.10145,0.09445,0.0836
00000000000000000034_0,0.08232,0.11432,0,0.50334,0.0996800000000001,0.30306,0.15358,0.04565,0.06725,0,0.29825,0.0588,0.21065,0.1397
00000000000000000035_0,0.12168,0.15462,0,0.17266,0.16536,0.13388,0.09848,0.11815,0.1304,0,0.13515,0.13405,0.1282,0.10305
00000000000000000036_0,0.13842,0.17152,0,0.38822,0.19674,0.37184,0.26284,0.1561,0.186,0,0.3121,0.2056,0.3384,0.2836
00000000000000000037_0,0.19766,0.26226,0,0.38816,0.3092,0.39846,0.3308,0.12215,0.1478,0,0.1905,0.1563,0.1898,0.16295
00000000000000000038_0,0.0905800000000001,0.12026,0,0.31164,0.12406,0.29718,0.19602,0.0721,0.1085,0,0.3296,0.1091,0.3075,0.1924
00000000000000000039_0,0.0708800000000001,0.1148,0,0.36144,0.1004,0.2352,0.1416,0.0543,0.07545,0,0.2471,0.06585,0.14965,0.09155
0000000000000000003a_0,0.0979400000000001,0.15408,0,0.0368800000000001,0.13572,0.01442,0.00972,0.0826,0.1125,0,0.0255,0.079,0.0158,0.0122
0000000000000000003e_0,0.13132,0.16052,0,0.28116,0.20452,0.2412,0.1762,0.0991,0.1162,0,0.1736,0.1491,0.1731,0.1444
00000000000000000040_0,0.06554,0.11516,0,0.0373000000000001,0.0779800000000001,0.04132,0.0364,0.0909,0.1178,0,0.0709,0.0933,0.0748,0.0677
00000000000000000041_0,0.0881400000000001,0.13804,0,0.0479,0.11578,0.0166000000000001,0.0103200000000001,0.0771,0.1148,0,0.0309,0.0872,0.0171,0.0147
00000000000000000042_0,0.10956,0.17342,0,0.0640600000000001,0.14286,0.06626,0.0577000000000001,0.08145,0.091,0,0.01805,0.05615,0.0145,0.0139
00000000000000000046_0,0.036,0.0890600000000001,0,0.00812,0.0474,0.0198,0.0162,0.0691,0.08805,0,0.02675,0.05605,0.0201,0.0176
00000000000000000047_0,0.01336,0.0522,0,0.0137200000000001,0.0272000000000001,0.01284,0.01096,0.0489,0.0707,0,0.0168,0.0479,0.0092,0.007
00000000000000000048_0,0.10044,0.14816,0,0.48852,0.15084,0.35228,0.22148,0.08755,0.126,0,0.3818,0.12,0.30385,0.1968
0000000000000000004a_0,0.0567000000000001,0.0934400000000001,0,0.6129,0.06006,0.20154,0.0780600000000001,0.0452,0.0756,0,0.392,0.0489,0.1546,0.0795
0000000000000000004b_0,0.06046,0.11218,0,0.58978,0.0788000000000001,0.25822,0.12088,0.0465,0.0868,0,0.5002,0.047,0.2168,0.1037
0000000000000000004c_0,0.13204,0.16288,0,0.1982,0.16484,0.18788,0.15708,0.0488,0.05255,0,0.0449,0.0484,0.0534,0.0432
0000000000000000004d_0,0.0293600000000001,0.14184,0,0.0349200000000001,0.12208,0.0349600000000001,0.0364,0.091,0.1139,0,0.0213,0.0729,0.0083,0.0079
0000000000000000004e_0,0.1024,0.16096,0,0.32648,0.13776,0.25192,0.11904,0.0649,0.0903,0,0.0624,0.0702,0.0323,0.0244
00000000000000000050_0,0.0471200000000001,0.0656800000000001,0,0.0725600000000001,0.0514000000000001,0.0495200000000001,0.0343600000000001,0.06205,0.08225,0,0.12805,0.07015,0.0922,0.0681
00000000000000000054_0,0.1784,0.2026,0,0.367,0.20574,0.35544,0.29988,0.12715,0.14915,0,0.22335,0.1551,0.23435,0.2102
00000000000000000056_0,0.0384,0.11376,0,0.0,0.0682,0.00304,0.00592,0.0758,0.1021,0,0.0201,0.0757,0.0085,0.0065
00000000000000000057_0,0.11604,0.15368,0,0.3956,0.1534,0.25268,0.16712,0.0731,0.0998,0,0.2426,0.1019,0.2015,0.1558
0000000000000000005a_0,0.0557200000000001,0.08236,0,0.14344,0.0582400000000001,0.0735600000000001,0.04116,0.0612,0.07305,0,0.089,0.05305,0.0654,0.03915
0000000000000000005e_0,0.0297000000000001,0.0577600000000001,0,0.5715,0.0325600000000001,0.20764,0.0688200000000001,0.0247,0.04095,0,0.41415,0.0213,0.1683,0.0631
0000000000000000005f_0,0.0573,0.08846,0,0.0662800000000001,0.0673,0.01828,0.0117400000000001,0.0473,0.0606,0,0.0373,0.0417,0.017,0.0124
00000000000000000060_0,0.0374800000000001,0.07964,0,0.42464,0.0506400000000001,0.21464,0.0824800000000001,0.0341,0.0513,0,0.2973,0.0332,0.13615,0.06055
00000000000000000062_0,0.10528,0.14948,0,0.45326,0.17692,0.3771,0.21542,0.06175,0.08425,0,0.2493,0.0761,0.17345,0.08435
00000000000000000064_0,0.03626,0.1093,0,0.0160200000000001,0.0805000000000001,0.0124000000000001,0.00998,0.0817,0.103,0,0.04365,0.0922,0.01525,0.0138
00000000000000000067_0,0.0394,0.0731200000000001,0,0.0864800000000001,0.0525000000000001,0.0553400000000001,0.0367000000000001,0.03545,0.054,0,0.0558,0.03765,0.03755,0.026
0000000000000000006b_0,0.06584,0.1271,0,0.3513,0.16622,0.26846,0.16438,0.0478,0.082,0,0.2309,0.0931,0.1901,0.1208
0000000000000000006e_0,0.0843400000000001,0.12294,0,0.2626,0.103,0.17092,0.10948,0.0643,0.0845,0,0.2373,0.074,0.1677,0.1214
00000000000000000072_0,0.14208,0.20236,0,0.3693,0.22542,0.36282,0.26438,0.1299,0.1648,0,0.2428,0.189,0.2771,0.2301
00000000000000000073_0,0.0695800000000001,0.0960800000000001,0,0.26546,0.0772600000000001,0.1465,0.0770600000000001,0.0402,0.05935,0,0.0492,0.0435,0.05245,0.0341
00000000000000000075_0,0.13038,0.15768,0,0.232,0.1762,0.26554,0.22344,0.1588,0.1821,0,0.22,0.1889,0.2417,0.2282
00000000000000000078_0,0.17564,0.2078,0,0.27944,0.22652,0.3348,0.29988,0.1359,0.1611,0,0.2105,0.1697,0.2628,0.2589
0000000000000000007a_0,0.06522,0.10952,0,0.0333,0.0583200000000001,0.0361600000000001,0.03136,0.0777,0.0876,0,0.0266,0.0471,0.0281,0.0213
