system:index,landcover,19-1_swir1,19-2_swir1,20-1_swir1,20-2_swir1,21-1_swir1,21-2_swir1,22-1_swir1,22-2_swir1,23-1_swir1,23-2_swir1
000000000000000000c2_0,0,0.0287,0.02705,0.0254,0.0266,0.0296,0.0252,0.0285,0.0212,0.0326,0.0228
0000000000000000000f_0,0,0.0715,0.03885,0.038,0.0521,0.02765,0.0385,0.0358,0.04125,0.116,0.0244
0000000000000000043c_0,0,0.21825,0.1845,0.1656,0.17625,0.149,0.1499,0.15695,0.18245,0.1834,0.1489
000000000000000008e1_0,0,0.0344,0.009,0.0057,0.0117,0.0109,0.0094,0.0216,0.0145,0.0584,0.0072
00000000000000000047_0,0,0.0722,0.04335,0.0507,0.0577,0.066,0.04545,0.0412,0.04045,0.0705,0.0494
000000000000000000a2_0,0,0.153,0.15665,0.1365,0.1776,0.1134,0.1374,0.1109,0.1263,0.1225,0.1126
00000000000000000442_0,0,0.0237,0.0152,0.0078,0.0101,0.0128,0.0081,0.0198,0.0097,0.0639,0.226
00000000000000000444_0,0,0.1091,0.061,0.0834,0.0624,0.03095,0.0656,0.0549,0.0758,0.0878,0.023
0000000000000000043a_0,0,0.05435,0.0087,0.0054,0.0279,0.0077,0.0078,0.0835,0.01395,0.0218,0.007
00000000000000000949_0,0,0.1801,0.2008,0.1712,0.153,0.1368,0.1589,0.1797,0.20445,0.2137,0.2019
00000000000000000012_0,0,0.0546,0.0361,0.0336,0.0445,0.0551,0.0399,0.0436,0.0399,0.0734,0.0457
00000000000000000440_0,0,0.0733,0.03425,0.0461,0.0265,0.0881,0.03835,0.0639,0.039,0.0642,0.0162
00000000000000000439_0,0,0.1255,0.1578,0.138,0.1392,0.11,0.1882,0.1697,0.1925,0.2014,0.166
0000000000000000004f_0,0,0.1725,0.15445,0.1361,0.1708,0.1537,0.1696,0.1326,0.1768,0.1772,0.1704
0000000000000000045e_0,0,0.0524,0.03815,0.0538,0.0412,0.0455,0.0462,0.0352,0.0377,0.0364,0.042
0000000000000000000c_0,0,0.1622,0.1533,0.1912,0.13315,0.12995,0.1624,0.0328,0.0166,0.0332999999999999,0.0222
00000000000000000005_0,0,0.14335,0.1329,0.1453,0.1301,0.1066,0.13,0.1212,0.1246,0.1594,0.1352
000000000000000000ce_0,0,0.0657,0.0546,0.0464,0.0799,0.06785,0.0642,0.0595,0.0738,0.1301,0.0583
0000000000000000002e_0,0,0.2053,0.17365,0.1583,0.167,0.1476,0.1518,0.1308,0.1821,0.1939,0.2334
0000000000000000007e_0,0,0.0596,0.0366,0.0286,0.0684,0.0487,0.04085,0.0826,0.0501,0.0725,0.0654
000000000000000008c9_0,0,0.1362,0.11785,0.0959,0.1065,0.1016,0.1068,0.125,0.1142,0.11105,0.1075
00000000000000000448_0,0,0.0066,0.0101,0.0065,0.01455,0.0102,0.00835,0.0104,0.0143,0.0187,0.0091
00000000000000000003_0,0,0.0631,0.0478,0.0458,0.0547,0.0505,0.0478,0.0502,0.0458,0.0553,0.0463
0000000000000000042f_0,0,0.0163,0.0178,0.0145,0.01155,0.0794,0.0101,0.0131,0.0209,0.0678,0.0137
0000000000000000001e_0,0,0.1497,0.1894,0.152,0.1658,0.1333,0.15335,0.1343,0.15725,0.1599,0.2296
00000000000000000921_0,0,0.0484,0.02385,0.0219,0.0259,0.0402,0.0283,0.032,0.0346,0.0341,0.0367
000000000000000000e5_0,0,0.0595,0.0219,0.0536,0.0307,0.0266,0.0148,0.0146,0.01835,0.03525,0.0286
000000000000000000d0_0,0,0.1276,0.09995,0.0925,0.1246,0.1291,0.0851,0.1597,0.0813,0.0873,0.0896
00000000000000000487_0,0,0.19315,0.1657,0.1581,0.2028,0.1679,0.1854,0.1536,0.15165,0.1503,0.1589
0000000000000000002c_0,0,0.1997,0.1845,0.1806,0.2058,0.29825,0.20945,0.20405,0.16035,0.1813,0.1502
0000000000000000044c_0,0,0.0621,0.0424,0.0505,0.0491,0.04655,0.04625,0.0425,0.04215,0.0538,0.0385
00000000000000000956_0,0,0.2085,0.16935,0.1721,0.1658,0.154,0.2472,0.244,0.2016,0.1823,0.2019
00000000000000000957_0,0,0.0348,0.0182,0.0159,0.0191,0.02255,0.1001,0.1057,0.1841,0.215,0.1001
00000000000000000432_0,0,0.1771,0.16725,0.1614,0.1592,0.1503,0.1693,0.1627,0.1732,0.1772,0.1411
0000000000000000089a_0,0,0.1743499999999999,0.1656,0.1728,0.1585,0.1339,0.1705,0.1529,0.1607,0.1617,0.1215
00000000000000000430_0,0,0.04935,0.0201,0.0097,0.01035,0.0103,0.0096,0.0122,0.0123,0.0162,0.0793
00000000000000000110_0,0,0.1843,0.16105,0.1655,0.1929,0.20485,0.19395,0.2058,0.1956999999999999,0.2082,0.1686
000000000000000000c3_0,0,0.21685,0.2137,0.2125,0.1988,0.1944,0.16105,0.1954,0.1698,0.2716,0.1892
0000000000000000045c_0,0,0.17265,0.1574,0.1511,0.16405,0.1425,0.1791,0.1555,0.1859,0.1875,0.1592
00000000000000000458_0,0,0.0653,0.0118,0.0101,0.0099,0.0478,0.0105,0.0163,0.01155,0.0575,0.0092
00000000000000000096_0,0,0.2245,0.20595,0.1946,0.1721,0.1699999999999999,0.2018,0.2074,0.22455,0.2138,0.173
0000000000000000043b_0,0,0.20725,0.1731,0.198,0.1727,0.15665,0.1647,0.1854,0.1943,0.207,0.1752
000000000000000004b6_0,0,0.05595,0.0153,0.0146,0.0348,0.0291,0.01485,0.01685,0.0181,0.0175,0.021
