system:index,landcover,19-1_swir1,19-2_swir1,20-1_swir1,20-2_swir1,21-1_swir1,21-2_swir1,22-1_swir1,22-2_swir1,23-1_swir1,23-2_swir1
00000000000000000434_0,0,0.1365,0.2492,0.21515,0.1465,0.1292,0.1335,0.1193,0.21395,0.224,0.1703
0000000000000000084f_0,0,0.198,0.1794,0.2031,0.1854,0.1445,0.1807,0.1655,0.1736,0.1346,0.1351
00000000000000000148_0,0,0.0517,0.04625,0.0651,0.0592,0.0612,0.0429,0.0406,0.037,0.048,0.0586
00000000000000000455_0,0,0.1993,0.2079,0.1933,0.2047,0.1896,0.187,0.1966,0.2127,0.2016,0.191
000000000000000004a7_0,0,0.021,0.0259,0.031,0.0411,0.0815,0.01265,0.0135,0.0116,0.0161,0.0079
000000000000000008aa_0,0,0.145,0.133325,0.1401,0.13245,0.1448,0.1314,0.1479,0.1483,0.1319,0.1377
00000000000000000437_0,0,0.01905,0.01335,0.0107,0.01195,0.0118,0.00905,0.01165,0.01,0.013,0.0091
00000000000000000947_0,0,0.13765,0.18045,0.1724,0.1792,0.1702,0.166,0.1686,0.1698,0.1566,0.1706
0000000000000000046f_0,0,0.1859,0.1465,0.1746,0.1523,0.1033,0.1221,0.1293,0.1047,0.1231,0.093
000000000000000000b2_0,0,0.061,0.0173,0.0138,0.027,0.01745,0.0122,0.0248,0.0174,0.1585,0.1897
00000000000000000038_0,0,0.2202,0.20485,0.2042,0.1873,0.1755,0.1803,0.1732,0.2239,0.4077,0.2102
00000000000000000a3f_0,0,0.1529999999999999,0.151,0.1442,0.1341,0.1473,0.1593,0.1669,0.1627,0.1485,0.1591
000000000000000004a1_0,0,0.1648,0.1548,0.1483,0.1542,0.13955,0.1551,0.1456,0.1245,0.1502,0.1263
00000000000000000517_0,0,0.1299,0.19555,0.2062,0.106,0.1343,0.16995,0.0809,0.09565,0.1419,0.0561
000000000000000004e7_0,0,0.11665,0.1003,0.09865,0.1213,0.1649,0.08935,0.1563,0.07625,0.1183,0.0921
0000000000000000049a_0,0,0.04685,0.0403,0.0406,0.0429,0.04065,0.0389,0.0457,0.046,0.0549,0.0328
00000000000000000479_0,0,0.22855,0.18495,0.2021,0.1756,0.2111,0.17195,0.2012,0.16775,0.166,0.2342
00000000000000000029_0,0,0.2174,0.2263,0.2075,0.185,0.1465,0.1578,0.155,0.2106,0.2501,0.2217
000000000000000008b6_0,0,0.1726,0.1389,0.1548,0.1686,0.1299,0.13105,0.1278,0.1276,0.15685,0.15935
00000000000000000032_0,0,0.1789,0.0645,0.0839,0.09385,0.0253,0.06565,0.044,0.06625,0.131,0.0632
00000000000000000033_0,0,0.2161,0.1836,0.1872,0.16895,0.1658,0.1865,0.1793,0.21,0.2004,0.1909
00000000000000000139_0,0,0.2022,0.18975,0.2031,0.1635,0.1637,0.17455,0.1115,0.15725,0.1802,0.1403
00000000000000000144_0,0,0.2257,0.219,0.1973,0.25005,0.2251,0.2451,0.2765,0.2313,0.2513,0.2317
0000000000000000046d_0,0,0.26425,0.1801,0.1978,0.2146,0.22145,0.21755,0.2148,0.24365,0.2734,0.2196
00000000000000000473_0,0,0.2232,0.1558,0.1956,0.1378,0.1603,0.146,0.1518,0.1421,0.1956,0.123
00000000000000000461_0,0,0.20315,0.17935,0.1995,0.23385,0.19135,0.364,0.3667,0.34095,0.2746,0.3068
0000000000000000006c_0,0,0.22825,0.1941,0.2251,0.2389,0.2099,0.2273,0.26865,0.205,0.2736,0.1878
000000000000000004cf_0,0,0.33415,0.0718,0.0893,0.0834,0.12575,0.06825,0.144,0.07065,0.1931,0.0809
00000000000000000a30_0,0,0.1178,0.08825,0.1034,0.1768,0.12505,0.17185,0.13895,0.1715,0.14765,0.1266
00000000000000000494_0,0,0.2376,0.2164,0.1639,0.1936,0.2422,0.2053,0.183,0.1564,0.1721,0.1632
000000000000000004e1_0,0,0.1879,0.15625,0.1536,0.18,0.13085,0.1611,0.1464,0.1583,0.1709,0.1384
0000000000000000001b_0,0,0.23765,0.215,0.21435,0.1817,0.1601,0.1801,0.1569,0.1739,0.20525,0.1664
0000000000000000003f_0,0,0.0324,0.00985,0.0107,0.0097,0.0063,0.00715,0.0091,0.0042,0.0127,0.0051
00000000000000000056_0,0,0.2042,0.1804,0.1979,0.18705,0.1751,0.1654,0.1425,0.1945,0.2863,0.2078
00000000000000000085_0,0,0.0698,0.00975,0.0082,0.0223,0.0072,0.0077,0.0077,0.00745,0.019,0.0037
00000000000000000469_0,0,0.0106,0.0114,0.024,0.0178,0.0277,0.0077,0.01235,0.0089,0.0136,0.0089
0000000000000000002a_0,0,0.14925,0.1981,0.1858,0.1754,0.17245,0.2344,0.1761,0.2034,0.1837,0.1782
00000000000000000445_0,0,0.2361,0.2047,0.2312,0.2047,0.1838,0.2024,0.1932,0.1975,0.2023,0.1469
000000000000000001e2_0,0,0.0755,0.0356,0.0306,0.048,0.04085,0.0517,0.073,0.0407,0.0817,0.0313
000000000000000000c7_0,0,0.2531,0.2114,0.2139,0.21405,0.2014,0.20515,0.1919,0.2144,0.2074,0.1821
00000000000000000464_0,0,0.1288,0.11735,0.1197,0.1276,0.1053,0.1171,0.12055,0.1157,0.1285,0.1098
0000000000000000049c_0,0,0.1805,0.2019,0.2156,0.1959,0.1849,0.1974,0.1888,0.2023,0.2256,0.1832
0000000000000000048b_0,0,0.20835,0.1734,0.1979,0.1973,0.1831,0.2021,0.20055,0.1823,0.159,0.1573
00000000000000000028_0,0,0.15555,0.1298,0.1466,0.1145,0.0897,0.1531,0.136,0.17005,0.1785,0.1095
00000000000000000123_0,0,0.2169,0.2008,0.22,0.20775,0.1779,0.2102,0.2269,0.20755,0.2217,0.1913
00000000000000000452_0,0,0.00775,0.0107,0.0098,0.0108,0.0112,0.0104,0.0123,0.00965,0.0119,0.0076
0000000000000000003c_0,0,0.0774,0.01335,0.0125,0.01335,0.0127,0.01215,0.0113,0.05985,0.0347,0.0113
00000000000000000912_0,0,0.162,0.151175,0.1642,0.14795,0.1732,0.1453,0.15865,0.1533,0.1507,0.1479
000000000000000004dd_0,0,0.02245,0.0214,0.0147,0.03635,0.0183,0.019,0.0227,0.016,0.0209,0.0785
00000000000000000523_0,0,0.0373,0.0124,0.0107,0.0432,0.01195,0.01205,0.0253,0.0213,0.0356,0.0133
00000000000000000034_0,0,0.1737,0.1833,0.2025,0.1766,0.2447,0.1817,0.1943,0.1808,0.2166,0.1728
0000000000000000006f_0,0,0.0379,0.045,0.0523,0.0502,0.0467,0.0478,0.034,0.0487,0.0542,0.0517
0000000000000000000b_0,0,0.1473,0.20405,0.1632,0.1762,0.1381,0.24635,0.2919,0.2109,0.255,0.2315
00000000000000000073_0,0,0.08735,0.118,0.1281,0.0795,0.0854,0.1074,0.1085,0.1451,0.1852,0.1671
00000000000000000035_0,0,0.1472,0.1003,0.1051,0.1408,0.1289,0.1051,0.1736,0.2225,0.15815,0.0603
000000000000000004d1_0,0,0.1024,0.0136,0.0221,0.03735,0.016,0.0167,0.01775,0.02855,0.0202,0.017
0000000000000000009d_0,0,0.0907,0.0108,0.0105,0.012,0.0973,0.01135,0.12895,0.1272,0.0221,0.0099
0000000000000000003b_0,0,0.04765,0.0123,0.0134,0.0177,0.0121,0.01095,0.0111,0.01055,0.0227,0.0074
0000000000000000082b_0,0,0.2154,0.2175,0.2231,0.2049,0.20615,0.22185,0.2217,0.21505,0.2528,0.2088
000000000000000000ed_0,0,0.0465,0.0426,0.0364,0.0467,0.0356,0.0344,0.05295,0.0494,0.0461,0.0332
00000000000000000958_0,0,0.10815,0.1376,0.13565,0.1446,0.14445,0.1394,0.1598,0.1442,0.157,0.1443
00000000000000000492_0,0,0.0235,0.0095,0.01035,0.01,0.0056,0.0071,0.0192,0.0205,0.0184,0.0085
000000000000000004d4_0,0,0.2244,0.2113,0.1961,0.2,0.1447,0.15725,0.22735,0.1633,0.1783,0.1838
0000000000000000047c_0,0,0.09275,0.0688,0.0876,0.0637,0.057,0.0783,0.0872,0.0899,0.109,0.046
0000000000000000004c_0,0,0.1094,0.11185,0.1064,0.1299,0.1303,0.1173,0.1371,0.12485,0.1412,0.1409
00000000000000000075_0,0,0.03215,0.0249,0.0283,0.0262,0.0141,0.0273,0.0283,0.02225,0.0395,0.0152
00000000000000000046_0,0,0.118,0.0931,0.1078,0.1372,0.12875,0.2211,0.1339,0.19895,0.1575,0.1805
00000000000000000019_0,0,0.1814,0.16635,0.1747,0.16385,0.1295,0.1405,0.1183,0.149,0.1492,0.1304
00000000000000000071_0,0,0.259,0.224,0.2107,0.2163,0.1651,0.25505,0.2383,0.2323,0.2091,0.2069
000000000000000000b7_0,0,0.0469,0.0537,0.0449,0.06355,0.0706,0.0466,0.051,0.03375,0.0508,0.0644
0000000000000000043d_0,0,0.2519,0.2295,0.214,0.2058,0.2029,0.2074,0.2069,0.23595,0.2582,0.2052
00000000000000000486_0,0,0.25675,0.2197,0.2689,0.2453,0.2488,0.21875,0.272,0.2151,0.2729,0.2458
00000000000000000519_0,0,0.0543,0.03965,0.0407,0.044,0.0366,0.0412,0.033,0.0452,0.061,0.0466
00000000000000000082_0,0,0.2444,0.1972,0.2334,0.2151,0.2108,0.19595,0.21,0.2077,0.2587,0.2035
000000000000000000f8_0,0,0.25585,0.21725,0.272,0.2351,0.2369,0.22685,0.2429,0.2396,0.2797,0.2188
00000000000000000112_0,0,0.1726,0.21415,0.2048,0.2495,0.2421,0.2604,0.2414,0.2552,0.2636,0.2432
00000000000000000126_0,0,0.2623,0.1971,0.2303,0.2432,0.2375,0.2387,0.209,0.22895,0.2172,0.261
000000000000000004a4_0,0,0.2028,0.2105,0.2597,0.2067,0.1505,0.1746,0.1328,0.16565,0.181,0.1663
0000000000000000093e_0,0,0.06085,0.0537,0.043,0.0459,0.0702,0.041,0.0901,0.0429,0.0594,0.0416
000000000000000008a6_0,0,0.1926,0.19925,0.1912,0.18335,0.18025,0.1703,0.167,0.1688,0.1626,0.182
00000000000000000021_0,0,0.1874,0.1363,0.1605,0.1759,0.162,0.14175,0.1384,0.15265,0.15995,0.12995
00000000000000000433_0,0,0.21785,0.1434,0.1228,0.133,0.1259,0.1468,0.14835,0.1989,0.12685,0.11555
000000000000000008b2_0,0,0.3364,0.2005,0.2293,0.2235,0.18765,0.193,0.1699,0.20765,0.22725,0.1918
000000000000000008d2_0,0,0.166,0.19725,0.1827,0.1804,0.2976499999999999,0.17715,0.1997,0.1948,0.2455,0.19775
0000000000000000001d_0,0,0.20395,0.1979,0.1789,0.1559,0.1257,0.1755,0.1845,0.1933,0.4363,0.185
0000000000000000043e_0,0,0.1865,0.13375,0.1533,0.1615,0.175,0.17265,0.2689,0.2057,0.1766,0.1754
00000000000000000453_0,0,0.2544,0.2285,0.2519,0.1908,0.2079,0.2259,0.2358,0.2343,0.2417,0.1943
000000000000000005b8_0,0,0.3348,0.15355,0.1632,0.3726,0.35835,0.435,0.427,0.41925,0.401,0.2283
00000000000000000084_0,0,0.2495,0.222,0.1917,0.2117,0.18855,0.208,0.2006,0.2253,0.1791,0.2033
00000000000000000475_0,0,0.193,0.18275,0.1947,0.1682,0.1611,0.1736,0.1653,0.18285,0.1845,0.1552
0000000000000000004d_0,0,0.1924,0.1848,0.17765,0.2256,0.1677,0.1866,0.15,0.1519,0.261,0.1944
0000000000000000045b_0,0,0.19275,0.1975,0.1924,0.21635,0.18945,0.1969,0.1995,0.226,0.2213,0.206
000000000000000000d4_0,0,0.2111,0.21045,0.22565,0.1667,0.1462,0.1966,0.2041,0.20365,0.2259,0.1856
000000000000000004a5_0,0,0.285,0.1788,0.09445,0.1948,0.18655,0.201,0.2099,0.2119,0.3116,0.1855
00000000000000000070_0,0,0.1983,0.15905,0.1648,0.2797,0.1903,0.1546,0.1545,0.18225,0.1688,0.1693
00000000000000000157_0,0,0.17375,0.14415,0.1532,0.14885,0.14945,0.18185,0.1769,0.15555,0.1317,0.1079
00000000000000000447_0,0,0.1994,0.2047,0.2227,0.2018,0.2062,0.19595,0.2186,0.1985,0.2272,0.2112
00000000000000000460_0,0,0.1892,0.164,0.1998,0.2243,0.18195,0.2052,0.1717,0.17345,0.18365,0.13865
0000000000000000043f_0,0,0.1853,0.1642,0.1714,0.1661,0.15165,0.1699999999999999,0.1602,0.1768,0.2282,0.26055
00000000000000000483_0,0,0.198,0.1547,0.21225,0.1763,0.15075,0.16785,0.16225,0.1674,0.1786,0.1632
00000000000000000086_0,0,0.0952,0.05515,0.0774,0.07055,0.0552,0.0554,0.0672,0.0698,0.1318,0.0668
000000000000000004d7_0,0,0.1972,0.1901,0.1977,0.23795,0.21115,0.2207,0.2068,0.2065,0.3018,0.2426
000000000000000004c3_0,0,0.2071,0.19105,0.2284,0.1892,0.2127,0.20585,0.1912,0.174,0.2235,0.1748
00000000000000000467_0,0,0.21385,0.1879,0.1867,0.19405,0.1711,0.1475,0.1517,0.24135,0.2494,0.1743
00000000000000000454_0,0,0.16075,0.128,0.1491,0.1543,0.15955,0.2124,0.1795,0.1751,0.1993,0.1838
000000000000000000c9_0,0,0.18915,0.1961,0.2235,0.1511,0.2325,0.1584,0.15295,0.14055,0.2369,0.1561
0000000000000000049b_0,0,0.21905,0.2152,0.2171,0.2204,0.2171,0.2304,0.2581,0.2286,0.2864,0.2346
000000000000000004c4_0,0,0.2184,0.1846,0.2151,0.1786,0.1747,0.1948,0.26045,0.2058,0.2627,0.1815
00000000000000000959_0,0,0.1083,0.13475,0.1505,0.1198,0.13805,0.10485,0.1356,0.0935,0.0902,0.0961
00000000000000000a58_0,0,0.18045,0.20615,0.1787,0.1625,0.1666,0.2081,0.1894,0.1947,0.2177,0.1322
00000000000000000474_0,0,0.11535,0.1393,0.2707,0.0606,0.057,0.0712,0.0582,0.07185,0.1072,0.0909
000000000000000000cc_0,0,0.1032,0.1085,0.0971,0.179,0.138,0.1838,0.1818,0.13855,0.25055,0.1651
00000000000000000105_0,0,0.19815,0.21165,0.227,0.21,0.1941,0.1872,0.1766,0.1877,0.1816,0.212
00000000000000000016_0,0,0.0455,0.0317,0.0321,0.0478,0.0425,0.03425,0.0605,0.0357,0.045,0.0359
0000000000000000045f_0,0,0.2099,0.1972,0.1963,0.1915,0.17175,0.1974,0.1818,0.17925,0.2037,0.1643
00000000000000000009_0,0,0.2074,0.1709999999999999,0.1982,0.1812,0.1849,0.1849,0.2234,0.20505,0.2025,0.1825
0000000000000000000d_0,0,0.20765,0.156,0.17875,0.1596,0.1629,0.15065,0.17165,0.1529999999999999,0.1749,0.1847
00000000000000000011_0,0,0.0423,0.0355,0.04255,0.03565,0.044,0.0386,0.0339,0.0439,0.0547,0.0262
0000000000000000095a_0,0,0.1391,0.1579,0.1449,0.1617,0.1313,0.1587,0.15475,0.1727,0.1459,0.14245
0000000000000000095b_0,0,0.19295,0.1721,0.1662,0.1582,0.1621,0.1442,0.1685,0.1408,0.1682,0.1386
0000000000000000009a_0,0,0.1601,0.1298,0.1508,0.1477,0.1633,0.1608,0.188,0.1978,0.2429,0.16195
00000000000000000477_0,0,0.17575,0.1534,0.1615,0.1519,0.1517,0.1659,0.2006,0.1587,0.1786,0.1503
00000000000000000882_0,0,0.1908,0.16785,0.17565,0.1683,0.19635,0.19255,0.1699999999999999,0.1733,0.3015,0.1991
00000000000000000060_0,0,0.18735,0.16495,0.192,0.19065,0.1856,0.193,0.20695,0.2015,0.1853,0.16255
0000000000000000095c_0,0,0.1416,0.14795,0.14415,0.11585,0.1302,0.1221,0.1346,0.126,0.1173,0.1182
000000000000000004c9_0,0,0.2288,0.17965,0.1656,0.2893,0.2266,0.2682,0.2681,0.26535,0.2696,0.232
00000000000000000914_0,0,0.09215,0.10785,0.10665,0.1183,0.1864,0.2329,0.2528,0.2274,0.2538,0.2072
0000000000000000015f_0,0,0.273,0.2385,0.2848,0.2576,0.23245,0.2542,0.3316,0.24095,0.3084,0.1999
000000000000000001e3_0,0,0.0685,0.0354,0.0252,0.0404,0.037,0.0436,0.0607,0.04,0.0744,0.0334
00000000000000000941_0,0,0.1398,0.17325,0.1478,0.1219,0.137,0.1064,0.13455,0.12785,0.1608,0.1148
00000000000000000010_0,0,0.2295,0.1702,0.1784,0.1572,0.258,0.183,0.1772,0.1643,0.1894,0.2722
00000000000000000063_0,0,0.3084,0.1893,0.2016,0.1787,0.1171,0.15845,0.1436,0.1442,0.1515,0.0931
000000000000000008f2_0,0,0.1373,0.2034,0.1758,0.1701,0.1526,0.1452,0.1327,0.1319,0.15145,0.2143
00000000000000000859_0,0,0.19095,0.18925,0.2004,0.23255,0.2205,0.1876,0.1945,0.209,0.2012,0.1835
00000000000000000000_0,0,0.0439,0.02745,0.02555,0.0238,0.0325,0.0445,0.1035,0.03545,0.0524,0.04395
0000000000000000045d_0,0,0.27555,0.1999,0.214,0.2157,0.20905,0.2204,0.195,0.2214,0.2041,0.1972
00000000000000000435_0,0,0.2055,0.1388,0.14655,0.1489,0.13395,0.1518,0.14775,0.1586,0.1855,0.2815
00000000000000000039_0,0,0.01685,0.01365,0.011,0.0133,0.0165,0.011,0.014,0.0149,0.019,0.0162
00000000000000000456_0,0,0.2341,0.1514,0.1575,0.1873,0.1766,0.1665,0.15775,0.14095,0.15455,0.1238
00000000000000000917_0,0,0.2499,0.1983,0.2048,0.1981,0.20585,0.2111,0.2305,0.2059,0.2169,0.1979
00000000000000000064_0,0,0.101,0.042,0.0346,0.1135,0.04335,0.06365,0.0369,0.04645,0.0698,0.0747
00000000000000000188_0,0,0.2855499999999999,0.2394,0.2631,0.2505,0.24015,0.21855,0.2445,0.22365,0.275,0.2165
0000000000000000084e_0,0,0.1679,0.18245,0.1994,0.1743,0.2041,0.1752,0.1868,0.1767,0.1675,0.1485
00000000000000000253_0,0,0.2583499999999999,0.22495,0.2439,0.24095,0.2357,0.29235,0.2878,0.2457,0.2938,0.2937
00000000000000000058_0,0,0.213,0.1835,0.1724,0.1807,0.1765499999999999,0.1731,0.19285,0.1834,0.17945,0.151
000000000000000000f5_0,0,0.20385,0.1402,0.0997,0.1092,0.2131,0.069,0.0761,0.09375,0.1183,0.0612
0000000000000000017e_0,0,0.1599,0.1766,0.1676,0.1802,0.16625,0.1625,0.169,0.1868,0.1726,0.1858
000000000000000004a0_0,0,0.12975,0.1209,0.1289,0.1239,0.1044,0.12385,0.1087,0.1241,0.1397,0.0957
00000000000000000061_0,0,0.2162,0.2103,0.2378,0.2068,0.2055999999999999,0.2141,0.1931,0.25575,0.2801,0.2128
000000000000000004c5_0,0,0.1433,0.1977,0.2125,0.1651,0.16875,0.1643,0.1722,0.1302,0.1936,0.12705
000000000000000005da_0,0,0.24925,0.1756,0.1638,0.3645,0.2906,0.324,0.3088,0.2807,0.3324,0.2614
00000000000000000a54_0,0,0.202,0.1883,0.202,0.2163,0.1966,0.16585,0.16605,0.1842,0.1800999999999999,0.15685
0000000000000000008f_0,0,0.20605,0.1814,0.1915,0.18655,0.1658,0.2024,0.2062,0.21005,0.2149,0.2316
00000000000000000838_0,0,0.0515,0.01445,0.0154,0.05425,0.01185,0.0119,0.019,0.01185,0.0272,0.009
0000000000000000000a_0,0,0.2156,0.1739,0.1549,0.15345,0.1541,0.2019,0.1637,0.1638,0.175,0.1955
000000000000000008e0_0,0,0.2179,0.197,0.21945,0.20875,0.1701,0.15805,0.1674,0.1906,0.20295,0.1663
000000000000000000a5_0,0,0.24345,0.22915,0.216,0.2255,0.2532,0.2486,0.1996,0.179,0.2005,0.1641
0000000000000000095d_0,0,0.0379,0.0526,0.0379,0.0435,0.03865,0.044,0.054,0.0378,0.03695,0.031
0000000000000000095e_0,0,0.0072,0.0142,0.01725,0.0127,0.011,0.0096,0.0319,0.0123,0.0081,0.0116
0000000000000000044e_0,0,0.3139,0.20185,0.221,0.1422,0.1606,0.1462,0.1531,0.1704,0.1777,0.171
0000000000000000044f_0,0,0.1482,0.1354,0.146,0.1279,0.13445,0.1435,0.17,0.1829,0.17565,0.167
00000000000000000108_0,0,0.3387,0.2436,0.2463,0.19605,0.17705,0.19155,0.1771,0.19,0.3285,0.2267
000000000000000004a8_0,0,0.1573,0.15075,0.0604,0.02435,0.0197,0.13555,0.1797,0.1105,0.1196,0.1208
00000000000000000015_0,0,0.15465,0.1228,0.1265,0.14995,0.1467,0.11845,0.1382,0.2307,0.14685,0.1626
000000000000000008ef_0,0,0.1964,0.1608,0.1592,0.1575,0.2478,0.1731,0.161,0.1753,0.1659,0.1731
00000000000000000078_0,0,0.2238,0.1965,0.1917,0.2042,0.1799,0.216,0.17605,0.22995,0.21095,0.1623
000000000000000000b6_0,0,0.21425,0.2089,0.2021,0.1846,0.15365,0.1707,0.1581,0.187,0.1828,0.1689
000000000000000008a9_0,0,0.1533,0.1865,0.1719,0.1743,0.1709,0.19955,0.1761,0.1801,0.1708,0.1965
000000000000000004ee_0,0,0.1924,0.1791,0.1746,0.0912,0.09175,0.10925,0.119,0.0965,0.12245,0.0655999999999999
000000000000000008bb_0,0,0.16795,0.1531,0.1855,0.1956,0.1634,0.1711,0.1699,0.16785,0.1524,0.1455
00000000000000000861_0,0,0.15015,0.1588,0.15915,0.1857,0.1283,0.187,0.175,0.1982,0.1535,0.1948
0000000000000000001c_0,0,0.29735,0.1629,0.1672,0.16225,0.18905,0.1405,0.1937,0.2163,0.20635,0.2302
0000000000000000008a_0,0,0.0656,0.0664,0.0515,0.0499,0.1004,0.0448,0.0462,0.0492,0.0853,0.0332999999999999
00000000000000000885_0,0,0.2548,0.2051,0.14,0.17345,0.149,0.2621,0.11335,0.1881,0.0749,0.2469
00000000000000000831_0,0,0.1867,0.18915,0.1931,0.19705,0.1914,0.1767,0.1819,0.1181,0.2095,0.1601
0000000000000000046a_0,0,0.1895,0.1771,0.184,0.18575,0.1839,0.1791,0.17385,0.2018,0.2208,0.1987
000000000000000004c0_0,0,0.2381,0.1927,0.247,0.2275,0.2304,0.2495,0.2352,0.2354,0.23535,0.20565
0000000000000000053b_0,0,0.1683,0.1775,0.1727,0.1712,0.2277,0.17675,0.2683,0.18155,0.2466,0.2077
000000000000000008b9_0,0,0.0831,0.0105,0.0035,0.0202,0.0068,0.00685,0.012,0.0143,0.0286,0.006
000000000000000000bd_0,0,0.2659,0.2222,0.2313,0.2444,0.253,0.2085,0.1906,0.2509,0.3323,0.2237
