,mangrove,vegetation,plough,paddyfield,water,architecture
98,0.0252,0.0365,0.05145,0.0402,0.0777,0.1072
99,0.0275,0.02655,0.0501,0.0643,0.0846,0.0777
100,0.0256999999999999,0.0476,0.0346,0.04695,0.0947,0.4223
101,0.0268,0.0317,0.0881,0.0341,0.0812,0.0806
102,0.0222,0.02645,0.04345,0.0633,0.09865,0.0546
103,0.0371,0.0973,0.0491,0.0508,0.09015,0.07775
104,0.0474,0.0381,0.07105,0.04245,0.0881,0.1686
105,0.0178,0.02725,0.09705,0.05625,0.0775,0.0802
106,0.0085,0.0275,0.053,0.05965,0.0423,0.12635
107,0.0241,0.02955,0.09385,0.0596,0.1075,0.1007
108,0.0211,0.0233,0.0427,0.06675,0.1038,0.1142
109,0.0427,0.0324,0.04195,0.0985,0.09895,0.39455
110,0.0183,0.03485,0.04665,0.06315,0.0817,0.1364
111,0.0448,0.0274,0.0462,0.05345,0.08815,0.07685
112,0.0305,0.02075,0.0434,0.04215,0.0992,0.1278
113,0.05455,0.0212,0.0568,0.04395,0.0955,0.1321
114,0.04685,0.03905,0.0404,0.0612,0.1044,0.2132
115,0.0303,0.0260999999999999,0.05045,0.052,0.13005,0.349
116,0.0327,0.0295,0.0456499999999999,0.04925,0.1082,0.1348
