,mangrove,vegetation,plough,paddyfield,water,architecture
99,0.0521,0.05725,0.0801,0.09065,0.1021,0.1025
100,0.0525,0.0753,0.0555,0.06635,0.1025,0.4733
101,0.0422,0.0582,0.112,0.0693,0.0772,0.0953
102,0.0491,0.0588,0.0619,0.09025,0.10915,0.08105
103,0.0598,0.1305,0.0817,0.07815,0.1109,0.11495
104,0.0731,0.06835,0.09465,0.06405,0.10455,0.2268
105,0.0481,0.05325,0.119,0.0826,0.0652,0.10815
106,0.0389,0.0567,0.08205,0.08185,0.0338,0.15115
107,0.0536,0.0587,0.12485,0.079,0.118,0.145
108,0.0422,0.04375,0.063,0.0948,0.1085,0.1286
109,0.0751,0.0646,0.0582,0.1207,0.1221,0.4496
110,0.0442,0.06515,0.0599,0.0932,0.0888,0.151
111,0.0659,0.0539,0.0655,0.0811,0.1112,0.1077
112,0.0481,0.0423,0.0644,0.07015,0.1229,0.1413
113,0.06375,0.0362,0.0808,0.0633,0.1257,0.1616
114,0.05965,0.06695,0.0608,0.10185,0.11115,0.26815
115,0.0479,0.0471,0.07565,0.07735,0.15,0.2774
116,0.0499,0.0443,0.06215,0.0692,0.1208,0.1634
