,mangrove,vegetation,plough,paddyfield,water,architecture
99,0.2159,0.40415,0.24795,0.0883,0.0272,0.2044
100,0.2456,0.3534,0.3004,0.11495,0.0291,0.6067
101,0.1738,0.3729,0.2744,0.0846,0.0318,0.18565
102,0.2935,0.34245,0.3355,0.067,0.04785,0.23165
103,0.2111,0.2874,0.2084,0.09125,0.03975,0.29045
104,0.1766,0.3631,0.275,0.0633,0.047,0.3579
105,0.2494,0.3891,0.2752,0.0347,0.035,0.22485
106,0.3198,0.3837,0.19805,0.1279,0.0094,0.27765
107,0.222,0.39085,0.3041,0.0242,0.0677,0.2242
108,0.2724,0.28545,0.4372,0.0206,0.049,0.2441
109,0.1884,0.48675,0.1461,0.1363,0.0295,0.6358
110,0.3116,0.48125,0.43485,0.16525,0.0246,0.197
111,0.2876,0.4368,0.2326,0.0526,0.0411,0.2568
112,0.3427,0.21255,0.4369,0.0196,0.04625,0.2606
113,0.24325,0.1972,0.4696,0.0364499999999999,0.10295,0.2566
114,0.27385,0.45765,0.48045,0.02805,0.10505,0.3077
115,0.344,0.3023,0.22115,0.12505,0.09905,0.4468
116,0.3082,0.2294,0.2693,0.0980999999999999,0.0816,0.2815
