,mangrove,vegetation,plough,paddyfield,water,architecture
99,0.0869,0.21615,0.1944,0.07015,0.0116,0.2543
100,0.0828,0.2487,0.14995,0.06065,0.019,0.6758000000000001
101,0.0384,0.2397,0.2982,0.074,0.02415,0.2182
102,0.1021,0.16695,0.17725,0.05125,0.0381,0.22115
103,0.0679,0.276,0.2006,0.0959,0.03245,0.22805
104,0.1043,0.20745,0.3103,0.0755,0.03915,0.4635
105,0.0855,0.1873,0.39565,0.0253,0.0192,0.22925
106,0.0782,0.2099,0.14685,0.1131,0.0067,0.26725
107,0.0897,0.21705,0.3854,0.0189,0.0615,0.3517
108,0.1488,0.1752,0.161,0.01625,0.0452,0.3257
109,0.1047,0.25975,0.1677,0.0608,0.015,0.6746000000000001
110,0.0891,0.23455,0.1353,0.12,0.0077,0.2368
111,0.1386,0.2144,0.1906,0.0443,0.0129,0.3222
112,0.137,0.11275,0.1524,0.01355,0.03185,0.3701
113,0.0622,0.0986,0.2408,0.03525,0.0125,0.3423
114,0.06205,0.2192,0.1525,0.0175,0.09765,0.43145
115,0.1397,0.1661,0.1909,0.0788,0.11105,0.4246
116,0.1083,0.1048,0.1977,0.06445,0.0773,0.2982
