,mangrove,vegetation,plough,paddyfield,water,architecture
0,0.0435,0.0926,0.089,0.0272,0.01575,0.1641
1,0.0394,0.0687,0.1756,0.0179,0.00925,0.0147
2,0.03715,0.1334,0.06445,0.02415,0.03785,0.1869
3,0.0498,0.061,0.0974,0.0186,0.01985,0.2138
4,0.04615,0.06855,0.06805,0.0082,0.0871,0.1681
5,0.04315,0.0731,0.0651,0.0132,0.0147,0.3637
6,0.0531,0.1289,0.10505,0.0251,0.00345,0.55128
7,0.0355,0.0583,0.0641,0.0075,0.06115,0.1742
8,0.0458,0.2345,0.10435,0.0105,0.0107,0.2057
9,0.02695,0.064,0.0822,0.0372,0.02285,0.0787
10,0.033,0.0669,0.1044,0.0066,0.0055,0.16995
11,0.0206,0.16575,0.08045,0.0713999999999999,0.0072,0.1871
12,0.0513999999999999,0.07255,0.1351,0.0429,0.0086,0.5149
13,0.0461,0.10905,0.10695,0.1287,0.0091,0.1489
14,0.1132,0.08715,0.1241,0.0628,0.0108,0.0986
15,0.0395,0.0568,0.16885,0.0691,0.0081,0.2126
16,0.03075,0.058,0.0913,0.0733,0.0098999999999999,0.0358
17,0.1283,0.0883,0.1962,0.03685,0.0161,0.2139
18,0.0455,0.08795,0.1251,0.05515,0.0895,0.20248
19,0.043,0.1166,0.1057,0.0429,0.00485,0.2732400000000001
20,0.0374,0.052,0.0856,0.11105,0.0072,0.2891
21,0.03445,0.0974,0.1888,0.1,0.0079,0.0866
22,0.03015,0.06655,0.15785,0.04085,0.0143,0.1763
23,0.03745,0.0844999999999999,0.0756,0.04815,0.0105,0.188
24,0.0383,0.1499,0.0372,0.0582,0.0071,0.2835
25,0.0411,0.0708999999999999,0.1856,0.1076,0.00815,0.19305
26,0.0385,0.1279,0.03215,0.0406,0.0208,0.1726
27,0.1408,0.0943,0.0431,0.0191,0.0181,0.1935
28,0.0435,0.076,0.09245,0.0236,0.02055,0.3414400000000001
29,0.0389,0.0553,0.17815,0.05195,0.01845,0.2102
30,0.0475,0.0655999999999999,0.0654,0.16805,0.02115,0.19
31,0.0482,0.07775,0.0607,0.0839,0.0191,0.0585
32,0.0531,0.0721,0.11055,0.106,0.0227,0.34725
33,0.0408,0.03795,0.0885,0.05485,0.0093,0.25385
34,0.0476,0.0818,0.14475,0.0236,0.02955,0.2027
35,0.04205,0.06435,0.11045,0.0782,0.0113,0.3175
36,0.0402,0.15005,0.0667,0.0251,0.0105,0.1438
37,0.0506,0.27695,0.0407,0.0532,0.0097,0.0821
38,0.03105,0.0967,0.1016,0.0053,0.00715,0.20725
39,0.0411,0.1414,0.124,0.0231,0.0075,0.0678
40,0.05655,0.18225,0.1482,0.0308,0.0071,0.1778
41,0.0414,0.2314,0.0643,0.0114,0.0167,0.1751
42,0.0511,0.2859,0.0264,0.0158,0.01805,0.1137
43,0.0442,0.0846,0.0643,0.0107,0.0127,0.3778
44,0.0359,0.1477,0.0899,0.032,0.02275,0.1193
45,0.0651,0.08825,0.1606,0.028,0.02155,0.31
46,0.07515,0.10305,0.1108,0.0213,0.0201,0.2322
47,0.0247,0.15625,0.0876,0.0513999999999999,0.0245,0.161
48,0.0239,0.09265,0.2127,0.0344,0.0487,0.1747
49,0.03645,0.1466,0.2081,0.0124,0.0286,0.061
50,0.0512,0.09,0.1615,0.005,0.009,0.13315
51,0.0592,0.16885,0.22635,0.0053,0.0081,0.1824
52,0.0317,0.0953,0.23295,0.0076,0.0073,0.1135
53,0.0507,0.114,0.21225,0.0578,0.012,0.19425
54,0.0268,0.0609,0.3029,0.0393,0.0085,0.3894
55,0.03215,0.07425,0.2361,0.0559,0.0067,0.3143
56,0.0286,0.0688,0.26565,0.0055,0.0064,0.18225
57,0.0801,0.06995,0.243,0.0042,0.0071,0.15585
58,0.179,0.0797,0.2372,0.0051,0.00725,0.42375
59,0.03735,0.0752,0.2716,0.0044,0.0071,0.2741
60,0.03145,0.1739,0.2733,0.0061,0.005,0.2593
61,0.0669,0.1125,0.2397,0.0062,0.0073,0.4349
62,0.07995,0.1106999999999999,0.1546,0.0055,0.0051,0.15035
63,0.055,0.1612,0.1297,0.0066,0.0059,0.0907
64,0.0453999999999999,0.1231,0.0992,0.0062,0.0098,0.24765
65,0.02915,0.1318,0.1933,0.0049,0.0092,0.2799
66,0.0287,0.06795,0.1557,0.0069,0.0087,0.2661
67,0.0805,0.06955,0.1372,0.0075,0.0077,0.3907
68,0.0941,0.1212,0.1155,0.0047,0.0073,0.3143
69,0.0661,0.0884,0.102,0.0049,0.00395,0.3392
70,0.0763,0.09815,0.1105,0.0058,0.0116,0.3442
71,0.0258,0.1267,0.1056,0.0057,0.0093,0.4074
72,0.0594,0.07995,0.1113,0.0057,0.0227,0.3303
73,0.0279,0.26475,0.0828,0.0166,0.0137,0.18315
74,0.0192,0.1914,0.1201,0.0046,0.0103,0.2808
75,0.03045,0.0948,0.1027,0.0056,0.0465,0.1951
76,0.0428,0.095,0.1847,0.0051,0.0786,0.2422
77,0.09635,0.0786,0.0927,0.0051,0.0496,0.2055999999999999
78,0.0368,0.0894,0.1309,0.0047,0.0518,0.26185
79,0.03875,0.0977,0.2026,0.0139,0.0363,0.2082
80,0.0622,0.0932,0.1608,0.0048,0.0149,0.2623
81,0.0265,0.08665,0.1729,0.0044,0.04465,0.23765
82,0.1044,0.1067,0.1649,0.0058,0.0037,0.2111
83,0.0588,0.0953,0.1135,0.1621,0.0043,0.1188
84,0.0451,0.0914,0.2182,0.1092,0.004,0.14925
85,0.02545,0.1138,0.2651,0.0145,0.0055,0.4229
86,0.0365,0.1526,0.04475,0.0165,0.05095,0.2142
87,0.027,0.09965,0.03405,0.007,0.0074,0.47285
88,0.0308,0.10075,0.1384,0.0347,0.0073,0.2988
89,0.0293,0.0764,0.116,0.0057,0.0178,0.24985
90,0.0596,0.1192,0.0528,0.0202,0.01335,0.1373
91,0.1202,0.0813,0.1997,0.0064,0.0086,0.1866
92,0.0711,0.1615,0.1174,0.0066,0.0078,0.1282
93,0.0393,0.1066,0.1312,0.0076,0.011,0.0853
94,0.0412,0.0973,0.19775,0.0056,0.0131,0.2938
95,0.0366,0.0786,0.2226,0.0046,0.0097,0.4261
96,0.0433,0.171,0.1764,0.0541,0.0087,0.024
97,0.0337,0.0889,0.13545,0.0071,0.00815,0.02745
98,0.0322,0.103,0.14345,0.0086,0.0049,0.2067
99,0.0361,0.09435,0.12275,0.05645,0.0102,0.1875
100,0.0366,0.1482,0.08495,0.03635,0.0155,0.6488
101,0.018,0.126,0.1958,0.0511,0.02035,0.1937
102,0.0425,0.0782,0.101,0.0402,0.03445,0.18575
103,0.0293,0.2023,0.14225,0.06815,0.02865,0.17365
104,0.0571,0.10415,0.2177,0.0503,0.0362,0.4461
105,0.0394,0.07785,0.30985,0.0193,0.0155,0.20325
106,0.0296,0.0975,0.1145,0.07735,0.0055,0.2342
107,0.0433,0.10215,0.2881,0.016,0.0553,0.3317
108,0.0683,0.0837,0.0777,0.01265,0.0413,0.2451
109,0.0568,0.12135,0.13855,0.0243,0.0124,0.49215
110,0.0359,0.1045,0.0576,0.0682,0.0056,0.2286
111,0.0663,0.0919,0.1532,0.0391,0.0091,0.2362
112,0.0536,0.0497,0.0634,0.0107,0.0266,0.326
113,0.0295,0.0428,0.1099,0.0321,0.0092,0.2668
114,0.02445,0.0921,0.06195,0.0129,0.0885,0.4865
115,0.0543,0.07395,0.14485,0.0553,0.09715,0.3642
116,0.041,0.0448,0.1141,0.0396,0.0689,0.2681
